protected,f0,accuracy
0.0,-0.4981,0.6993
0.0,-0.5011,0.7009
0.0,-0.4966,0.7079
0.0,-0.5007,0.701
0.0,-0.4914,0.692
0.0,-0.502,0.6998
0.0,-0.4983,0.7003
0.0,-0.4955,0.6896
0.0,-0.4984,0.7035
0.0,-0.5007,0.6969
0.0,-0.5023,0.6988
0.0,-0.4925,0.6953
0.0,-0.4988,0.6954
0.0,-0.5023,0.7077
0.0,-0.4992,0.6939
0.0,-0.4973,0.6933
0.0,-0.4985,0.6972
0.0,-0.4994,0.6955
0.0,-0.5015,0.6951
0.0,-0.5116,0.7032
0.0,-0.5095,0.6942
0.0,-0.497,0.702
0.0,-0.4966,0.7036
0.0,-0.497,0.7074
0.0,-0.5078,0.7011
0.0,-0.5036,0.6996
0.0,-0.4936,0.6933
0.0,-0.5015,0.6928
0.0,-0.4967,0.7092
0.0,-0.5016,0.7062
0.0,-0.504,0.6952
0.0,-0.4895,0.7065
0.0,-0.5031,0.7035
0.0,-0.4976,0.6988
0.0,-0.4914,0.6922
0.0,-0.4949,0.7093
0.0,-0.4985,0.6978
0.0,-0.5047,0.6949
0.0,-0.501,0.6928
0.0,-0.5018,0.7047
0.0,-0.5029,0.6925
0.0,-0.5018,0.706
0.0,-0.4901,0.6998
0.0,-0.4959,0.701
0.0,-0.5014,0.6961
0.0,-0.4922,0.7015
0.0,-0.5022,0.6996
0.0,-0.5033,0.6972
0.0,-0.4957,0.6975
0.0,-0.496,0.6997
0.0,-0.5052,0.7038
0.0,-0.5043,0.6923
0.0,-0.5016,0.6989
0.0,-0.4987,0.6995
0.0,-0.492,0.6917
0.0,-0.5045,0.7069
0.0,-0.4969,0.6969
0.0,-0.4987,0.706
0.0,-0.5018,0.6999
0.0,-0.4967,0.7017
0.0,-0.4983,0.6991
0.0,-0.5006,0.6983
0.0,-0.4964,0.7061
0.0,-0.4933,0.6924
0.0,-0.5026,0.6963
0.0,-0.499,0.6988
0.0,-0.4922,0.6986
0.0,-0.4941,0.7035
0.0,-0.5001,0.6996
0.0,-0.4931,0.6904
0.0,-0.4906,0.6882
0.0,-0.5012,0.6971
0.0,-0.5017,0.7074
0.0,-0.5038,0.6986
0.0,-0.5001,0.6933
0.0,-0.5009,0.6994
0.0,-0.5027,0.6888
0.0,-0.4989,0.6936
0.0,-0.493,0.6966
0.0,-0.4962,0.6988
0.0,-0.4988,0.7016
0.0,-0.4917,0.7065
0.0,-0.5021,0.6974
0.0,-0.4924,0.7032
0.0,-0.5101,0.6925
0.0,-0.5031,0.7022
0.0,-0.4948,0.7021
0.0,-0.5043,0.7012
0.0,-0.4992,0.6997
0.0,-0.5044,0.7026
0.0,-0.5064,0.6953
0.0,-0.5001,0.6919
0.0,-0.5027,0.6955
0.0,-0.5052,0.6992
0.0,-0.5097,0.7072
0.0,-0.4952,0.7054
0.0,-0.5049,0.7066
0.0,-0.5021,0.6986
0.0,-0.494,0.7015
0.0,-0.5078,0.7046
