protected,f0,accuracy
0.0,0.5001,0.6933
0.0,0.5067,0.7051
0.0,0.4941,0.6952
0.0,0.5081,0.6948
0.0,0.5007,0.7014
0.0,0.4943,0.7025
0.0,0.4996,0.7029
0.0,0.5011,0.7009
0.0,0.5046,0.6945
0.0,0.4958,0.6951
0.0,0.4951,0.6965
0.0,0.5032,0.6969
0.0,0.4983,0.7067
0.0,0.5033,0.6927
0.0,0.4966,0.7075
0.0,0.4951,0.7018
0.0,0.4934,0.7142
0.0,0.4891,0.6884
0.0,0.5075,0.7018
0.0,0.5016,0.7071
0.0,0.5075,0.7039
0.0,0.5034,0.6915
0.0,0.5008,0.6983
0.0,0.4953,0.6889
0.0,0.5052,0.6968
0.0,0.4985,0.6989
0.0,0.5016,0.6957
0.0,0.5017,0.7016
0.0,0.4921,0.7051
0.0,0.5079,0.6983
0.0,0.4974,0.6992
0.0,0.5071,0.7033
0.0,0.5103,0.7047
0.0,0.5041,0.7031
0.0,0.4947,0.6945
0.0,0.4981,0.7072
0.0,0.505,0.6951
0.0,0.4982,0.7052
0.0,0.4983,0.7007
0.0,0.4995,0.693
0.0,0.4989,0.7001
0.0,0.4903,0.7003
0.0,0.4961,0.6968
0.0,0.4931,0.6981
0.0,0.4989,0.6931
0.0,0.4965,0.7024
0.0,0.4982,0.6972
0.0,0.4985,0.7001
0.0,0.4988,0.7038
0.0,0.4933,0.6926
0.0,0.5,0.7052
0.0,0.4955,0.7015
0.0,0.4968,0.6985
0.0,0.5047,0.6979
0.0,0.5014,0.7046
0.0,0.4972,0.6957
0.0,0.5039,0.7035
0.0,0.5062,0.7014
0.0,0.5038,0.6963
0.0,0.4964,0.6999
0.0,0.506,0.6968
0.0,0.5062,0.7015
0.0,0.5023,0.7017
0.2514,0.5047,0.6974
0.0,0.4969,0.6945
0.0,0.4962,0.6964
0.0,0.4944,0.7019
0.0,0.4952,0.701
0.0,0.503,0.7046
0.0,0.5025,0.6998
0.0,0.5093,0.7001
0.0,0.4987,0.6962
0.0,0.5027,0.6927
0.0,0.505,0.7014
0.0,0.4935,0.7009
0.0,0.4967,0.699
0.0,0.501,0.7068
0.0,0.4985,0.7035
0.0,0.4957,0.7016
0.0,0.5056,0.6999
0.0,0.4985,0.6972
0.0,0.4996,0.7065
0.0,0.5007,0.6967
0.0,0.4967,0.7
0.0,0.516,0.7035
0.0,0.4915,0.6996
0.0,0.4971,0.6912
0.0,0.4973,0.7055
0.0,0.5087,0.7019
0.0,0.4899,0.6951
0.0,0.493,0.6972
0.0,0.4923,0.7014
0.0,0.4977,0.7028
0.0,0.4981,0.6998
0.0,0.4971,0.7035
0.0,0.5006,0.7007
0.0,0.504,0.697
0.0,0.5047,0.6976
0.2538,0.5014,0.7063
0.0,0.4969,0.6975
