protected,f0,accuracy
0.2534,0.5025,0.7049
0.2481,0.5016,0.699
0.255,0.5002,0.7042
0.2419,0.4957,0.7033
0.2387,0.4926,0.6968
0.2495,0.4951,0.7063
0.2448,0.505,0.7007
0.2482,0.4926,0.7056
0.2508,0.5029,0.694
0.2499,0.4997,0.6987
0.2494,0.5086,0.6896
0.2481,0.4999,0.6982
0.2532,0.5043,0.7019
0.247,0.4975,0.6991
0.2567,0.5072,0.7003
0.2473,0.4952,0.6955
0.2481,0.5054,0.7046
0.2427,0.5003,0.7006
0.2472,0.5018,0.7037
0.244,0.4949,0.7029
0.2506,0.5043,0.7064
0.2522,0.4958,0.6978
0.2488,0.4948,0.7065
0.247,0.4975,0.7128
0.2589,0.5012,0.7002
0.2507,0.4998,0.6991
0.2471,0.4991,0.6974
0.2542,0.4957,0.7054
0.2447,0.4982,0.7053
0.258,0.5051,0.7047
0.25,0.5095,0.6925
0.2543,0.5004,0.7025
0.2504,0.5002,0.6968
0.2532,0.4985,0.6995
0.2461,0.497,0.7031
0.2418,0.4938,0.6916
0.2516,0.5016,0.6985
0.2447,0.4844,0.6996
0.2497,0.4962,0.6958
0.2434,0.497,0.7045
0.2459,0.494,0.6967
0.2598,0.5128,0.6897
0.25,0.5031,0.7012
0.2466,0.4974,0.6975
0.2537,0.5017,0.6959
0.2625,0.5022,0.7058
0.2524,0.5033,0.6951
0.2508,0.503,0.7004
0.2473,0.4951,0.7034
0.2489,0.4979,0.6999
-0.2476,0.5036,0.6928
0.2416,0.4939,0.6944
0.2455,0.4985,0.7091
0.2514,0.5064,0.7054
0.2583,0.5019,0.6985
0.2506,0.5068,0.7008
0.2529,0.5096,0.7086
0.2542,0.5041,0.7032
0.2561,0.5062,0.6966
0.2454,0.5035,0.6945
0.2443,0.4914,0.6981
0.256,0.5027,0.6976
0.2466,0.4977,0.6989
0.249,0.4969,0.6953
0.2564,0.5069,0.6974
0.251,0.5004,0.6992
0.2513,0.5036,0.6976
0.2517,0.4985,0.7007
0.2524,0.4952,0.692
0.2514,0.5015,0.7123
0.2572,0.4997,0.6995
0.2492,0.4953,0.7032
0.2509,0.4987,0.6986
0.255,0.4991,0.7039
0.251,0.5008,0.6998
0.2366,0.4869,0.6941
0.2408,0.4993,0.6966
0.2494,0.4998,0.7071
0.247,0.5044,0.6987
0.2522,0.5021,0.7006
0.2483,0.4966,0.6995
0.2468,0.4929,0.7019
0.2488,0.4974,0.707
0.2444,0.4948,0.6933
0.2584,0.5095,0.7076
0.2473,0.4916,0.6971
0.2406,0.495,0.7035
0.243,0.4881,0.6986
0.2483,0.5015,0.6979
0.2516,0.5043,0.6985
0.2463,0.4947,0.7079
0.2503,0.5016,0.6926
0.2531,0.5045,0.6953
0.2577,0.5059,0.7002
0.2427,0.4968,0.697
0.2549,0.5004,0.7027
0.2413,0.4916,0.7036
0.2486,0.4976,0.6992
0.2484,0.5011,0.6944
0.2483,0.4994,0.7045
