f0,f1,f2,f3,f4,f5,f6,protected
0.0,0.0669,0.0802,0.0765,-0.0287,-0.0204,0.0683,-0.014
-0.4989,-0.4558,-0.4473,0.4108,0.4334,-0.4962,-0.4772,0.4074
0.0,-0.0385,-0.0074,-0.0395,-0.0387,0.0676,0.0511,0.0999
0.0,-0.0259,0.0,0.0,0.0575,0.0486,0.0411,0.0433
0.0,0.0632,-0.0222,-0.0256,0.0878,-0.025,0.0646,-0.0228
0.0,-0.0032,0.1126,-0.0456,0.0656,0.081,0.0656,-0.0473
0.0,0.1535,-0.095,0.1724,-0.0763,0.1298,0.182,-0.1027
0.0,0.0,0.0,-0.0036,-0.0096,0.0259,0.0168,0.0207
-0.4965,0.3749,-0.4598,-0.4311,-0.4651,-0.4063,0.3776,0.3745
-0.5018,-0.4278,-0.4502,0.4097,-0.4421,-0.448,-0.467,-0.4982
0.0,0.0111,0.0,0.0,-0.0035,0.0,0.0149,-0.004
-0.5063,-0.4923,-0.4437,0.4247,-0.5017,-0.4429,0.4205,-0.4336
0.0,-0.0603,0.0844,-0.0133,0.1385,-0.0713,0.0794,0.0842
0.0,0.0642,0.048,0.0606,0.0486,-0.0226,-0.0076,-0.0319
-0.5058,0.3456,-0.4217,-0.4171,-0.4442,0.3997,0.3798,-0.4593
-0.5022,0.3708,-0.4211,-0.4339,-0.3963,-0.4459,0.3481,0.3588
-0.5011,0.2847,-0.3395,-0.4127,0.326,-0.3357,0.319,-0.3459
0.0,0.089,0.0886,-0.0289,-0.0457,0.0847,0.0877,-0.0466
-0.4939,-0.3204,-0.3426,0.2889,-0.3123,-0.3242,-0.2975,0.256
-0.4989,0.4111,0.4222,-0.5054,-0.467,0.4193,0.406,-0.4308
0.0,0.1542,0.14,-0.0305,0.1394,0.1169,0.1118,-0.0965
0.0,0.0,0.0,0.0071,0.0148,0.0,-0.0066,0.0
0.0,-0.07,-0.0425,0.0796,0.1214,-0.0731,0.1445,0.1272
-0.4977,-0.4115,0.362,-0.4591,0.3539,-0.4015,0.3725,-0.4209
-0.5063,-0.5091,-0.4968,0.4396,-0.4436,0.4427,0.4456,-0.4438
0.0,0.0466,-0.0113,0.0764,0.0658,-0.0414,-0.019,0.0688
-0.5104,-0.496,-0.5048,-0.4975,-0.466,-0.4663,0.4702,0.4672
0.0,0.0441,-0.0312,-0.0314,0.0717,0.0,0.0641,0.0419
0.0,0.1267,-0.1277,-0.1265,0.1256,0.1316,0.1304,0.2548
0.0,0.0,0.0,0.0041,0.0,0.0041,0.0041,0.0041
0.0,-0.0658,-0.0692,-0.072,-0.0625,-0.082,0.1286,0.1666
-0.5003,0.245,-0.2954,0.2447,-0.3125,-0.2905,-0.2814,0.2891
0.0,-0.0153,0.0196,-0.0037,0.0,-0.0168,0.0351,0.0
0.0,0.0964,0.0624,0.0523,0.0519,-0.0289,-0.0431,-0.0033
-0.5043,-0.5055,0.4638,-0.4951,-0.4854,0.4853,-0.5003,-0.4897
-0.5091,-0.4897,-0.4763,-0.4417,0.4096,-0.4644,0.4183,0.3992
0.0,0.0801,0.062,0.0,0.0626,-0.0373,-0.0192,0.0651
