        f0      f1      f2      f3      f4      f5      f6  protected        max
0   0.0000  0.0669  0.0802  0.0765  0.0287  0.0204  0.0683     0.0140         f2
1   0.4989  0.4558  0.4473  0.4108  0.4334  0.4962  0.4772     0.4074         f0
2   0.0000  0.0385  0.0074  0.0395  0.0387  0.0676  0.0511     0.0999  protected
3   0.0000  0.0259  0.0000  0.0000  0.0575  0.0486  0.0411     0.0433         f4
4   0.0000  0.0632  0.0222  0.0256  0.0878  0.0250  0.0646     0.0228         f4
5   0.0000  0.0032  0.1126  0.0456  0.0656  0.0810  0.0656     0.0473         f2
6   0.0000  0.1535  0.0950  0.1724  0.0763  0.1298  0.1820     0.1027         f6
7   0.0000  0.0000  0.0000  0.0036  0.0096  0.0259  0.0168     0.0207         f5
8   0.4965  0.3749  0.4598  0.4311  0.4651  0.4063  0.3776     0.3745         f0
9   0.5018  0.4278  0.4502  0.4097  0.4421  0.4480  0.4670     0.4982         f0
10  0.0000  0.0111  0.0000  0.0000  0.0035  0.0000  0.0149     0.0040         f6
11  0.5063  0.4923  0.4437  0.4247  0.5017  0.4429  0.4205     0.4336         f0
12  0.0000  0.0603  0.0844  0.0133  0.1385  0.0713  0.0794     0.0842         f4
13  0.0000  0.0642  0.0480  0.0606  0.0486  0.0226  0.0076     0.0319         f1
14  0.5058  0.3456  0.4217  0.4171  0.4442  0.3997  0.3798     0.4593         f0
15  0.5022  0.3708  0.4211  0.4339  0.3963  0.4459  0.3481     0.3588         f0
16  0.5011  0.2847  0.3395  0.4127  0.3260  0.3357  0.3190     0.3459         f0
17  0.0000  0.0890  0.0886  0.0289  0.0457  0.0847  0.0877     0.0466         f1
18  0.4939  0.3204  0.3426  0.2889  0.3123  0.3242  0.2975     0.2560         f0
19  0.4989  0.4111  0.4222  0.5054  0.4670  0.4193  0.4060     0.4308         f3
20  0.0000  0.1542  0.1400  0.0305  0.1394  0.1169  0.1118     0.0965         f1
21  0.0000  0.0000  0.0000  0.0071  0.0148  0.0000  0.0066     0.0000         f4
22  0.0000  0.0700  0.0425  0.0796  0.1214  0.0731  0.1445     0.1272         f6
23  0.4977  0.4115  0.3620  0.4591  0.3539  0.4015  0.3725     0.4209         f0
24  0.5063  0.5091  0.4968  0.4396  0.4436  0.4427  0.4456     0.4438         f1
25  0.0000  0.0466  0.0113  0.0764  0.0658  0.0414  0.0190     0.0688         f3
26  0.5104  0.4960  0.5048  0.4975  0.4660  0.4663  0.4702     0.4672         f0
27  0.0000  0.0441  0.0312  0.0314  0.0717  0.0000  0.0641     0.0419         f4
28  0.0000  0.1267  0.1277  0.1265  0.1256  0.1316  0.1304     0.2548  protected
29  0.0000  0.0000  0.0000  0.0041  0.0000  0.0041  0.0041     0.0041         f3
..     ...     ...     ...     ...     ...     ...     ...        ...        ...
70  0.0000  0.0375  0.0498  0.0289  0.0122  0.0193  0.0498     0.0106         f2
71  0.0000  0.1050  0.1392  0.0776  0.1818  0.1183  0.0600     0.1227         f4
72  0.0000  0.2192  0.2412  0.1738  0.1949  0.1937  0.2328     0.2154         f2
73  0.0000  0.0608  0.0606  0.0471  0.0000  0.0289  0.0331     0.0846  protected
74  0.0000  0.0356  0.1063  0.0394  0.0862  0.0315  0.0814     0.0466         f2
75  0.4945  0.4946  0.4417  0.4537  0.4819  0.5077  0.4539     0.4825         f5
76  0.4944  0.3661  0.4706  0.4010  0.3714  0.3709  0.3798     0.4331         f0
77  0.4963  0.4409  0.4309  0.4484  0.4342  0.4640  0.5024     0.4611         f6
78  0.0000  0.1389  0.1231  0.1837  0.1039  0.1625  0.1669     0.1375         f3
79  0.4883  0.3664  0.2993  0.3332  0.4238  0.3932  0.3312     0.3225         f0
80  0.0000  0.1208  0.0461  0.0912  0.1468  0.0476  0.1333     0.0903         f4
81  0.4960  0.4200  0.4353  0.4061  0.4107  0.3635  0.3503     0.4721         f0
82  0.4939  0.3751  0.3788  0.4308  0.4412  0.4336  0.4375     0.4708         f0
83  0.0000  0.0846  0.0825  0.0787  0.0812  0.0892  0.0790     0.0228         f5
84  0.0000  0.0487  0.1363  0.0591  0.1037  0.0933  0.1222     0.0634         f2
85  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
86  0.0000  0.0139  0.0138  0.0283  0.0000  0.0000  0.0129     0.0283         f3
87  0.0000  0.0982  0.0234  0.0328  0.1218  0.0572  0.0675     0.0783         f4
88  0.0000  0.1715  0.1493  0.2194  0.1703  0.1089  0.1058     0.1191         f3
89  0.0000  0.1259  0.1981  0.0901  0.0958  0.0789  0.0907     0.1436         f2
90  0.5053  0.3719  0.3353  0.3724  0.3981  0.3032  0.4171     0.3995         f0
91  0.4960  0.3838  0.3743  0.2471  0.3452  0.3688  0.3559     0.3627         f0
92  0.4981  0.4247  0.4551  0.4291  0.4352  0.3352  0.3954     0.4182         f0
93  0.0000  0.0740  0.0893  0.1345  0.0666  0.1424  0.0662     0.0799         f5
94  0.4924  0.4630  0.4030  0.4312  0.4404  0.4548  0.4004     0.4959  protected
95  0.4942  0.3142  0.4015  0.4378  0.3622  0.3700  0.3509     0.3516         f0
96  0.4985  0.4532  0.5072  0.4928  0.4356  0.4731  0.4358     0.4783         f2
97  0.0000  0.0649  0.1289  0.0674  0.1096  0.1306  0.1289     0.1869  protected
98  0.4921  0.3291  0.3957  0.4175  0.3459  0.4204  0.3359     0.3877         f0
99  0.5021  0.3092  0.3781  0.4353  0.3902  0.4487  0.3845     0.3688         f0

[100 rows x 9 columns]


Num. FP: 7
