protected,f0
-0.2452,-0.498
0.2458,-0.5008
0.2515,-0.5004
0.2525,-0.4987
0.2532,-0.4987
0.2559,-0.5105
0.2447,-0.4977
0.2512,-0.4956
0.2553,-0.4987
0.2559,-0.5079
-0.25,-0.5004
0.249,-0.4971
-0.2557,-0.503
0.2508,-0.5008
0.2464,-0.4991
0.2441,-0.4915
0.2501,-0.502
0.2502,-0.4963
0.2537,-0.5101
0.2546,-0.5
0.2537,-0.4998
0.2467,-0.4938
0.2558,-0.5007
0.2558,-0.5046
0.2463,-0.4917
0.2483,-0.5022
0.249,-0.4916
0.2532,-0.4932
0.2486,-0.4977
0.2497,-0.4986
-0.2497,-0.4969
0.251,-0.4989
0.2482,-0.4886
0.2465,-0.5022
0.2497,-0.4973
0.2489,-0.4923
0.2661,-0.5173
0.2419,-0.4888
0.2568,-0.5078
0.2527,-0.5019
0.2498,-0.4993
0.2574,-0.5012
0.256,-0.5
0.2446,-0.497
0.2576,-0.5034
0.2419,-0.4943
0.2474,-0.507
0.255,-0.505
0.2478,-0.5023
0.2448,-0.4993
0.2569,-0.5026
0.2478,-0.4997
0.2544,-0.5012
-0.2471,-0.5029
0.2501,-0.5008
0.2545,-0.502
0.2444,-0.4983
0.2581,-0.5026
0.2513,-0.5047
0.2467,-0.4961
-0.248,-0.5062
0.2536,-0.4921
0.2603,-0.5021
0.2482,-0.5008
0.2517,-0.5004
0.2487,-0.4982
0.2414,-0.5021
0.247,-0.4999
0.2516,-0.5038
0.2519,-0.4982
0.247,-0.5002
0.2485,-0.4927
0.2545,-0.5044
0.2473,-0.4989
0.2471,-0.4992
0.2557,-0.4998
0.2489,-0.4982
0.2506,-0.5035
0.2504,-0.5018
0.2426,-0.4929
0.2505,-0.4972
0.243,-0.4949
0.243,-0.5029
-0.5015,-0.4984
0.2552,-0.4993
0.2538,-0.4941
0.25,-0.499
0.2486,-0.4968
0.2458,-0.4965
0.2551,-0.5098
-0.2451,-0.4955
0.2521,-0.5027
0.2408,-0.4936
0.2431,-0.4894
0.2367,-0.4939
0.2508,-0.5032
0.2555,-0.5112
0.2475,-0.4917
0.2514,-0.4982
0.2533,-0.496
