protected,f0,accuracy
0.2543,0.0,0.6521
0.2568,0.0,0.6563
0.2523,0.0,0.6565
0.2444,0.0,0.6455
0.2471,0.0,0.6467
0.2536,0.0,0.6423
0.2506,0.0,0.6472
0.2509,0.0,0.6392
0.25,0.0,0.6511
0.2498,0.0,0.6491
0.2435,0.0,0.6506
0.2545,0.0,0.6511
0.2522,0.0,0.6446
0.2565,0.0,0.6497
0.2543,0.0,0.6486
0.2551,0.0,0.6491
0.2482,0.0,0.6528
0.2541,0.0,0.6429
0.2475,0.0,0.6563
0.251,0.0,0.6513
0.2399,0.0,0.6461
0.248,0.0,0.6515
0.2429,0.0,0.6472
0.2552,0.0,0.6541
0.2551,0.0,0.6479
0.2499,0.0,0.6465
0.2425,0.0,0.6504
0.2514,0.0,0.6493
0.2474,0.0,0.6455
0.251,0.0,0.6479
0.2545,0.0,0.6523
0.2513,0.0,0.6526
0.2517,0.0,0.6515
0.2531,0.0,0.6581
0.2458,0.0,0.6474
0.2521,0.0,0.6451
0.2541,0.0,0.6393
0.2552,0.0,0.6578
0.2364,0.0,0.6519
0.2525,0.0,0.6498
0.2525,0.0,0.6525
0.2462,0.0,0.6516
0.2414,0.0,0.6412
0.2517,0.0,0.6491
0.25,0.0,0.6523
0.2543,0.0,0.6502
0.2486,0.0,0.6513
0.2424,0.0,0.6478
0.2496,0.0,0.6477
0.2499,0.0,0.6495
0.2451,0.0,0.6399
0.2494,0.0,0.6461
0.2558,0.0,0.6506
0.2466,0.0,0.648
0.2463,0.0,0.6461
0.2438,0.0,0.6488
0.2547,0.0,0.6423
0.2512,0.0,0.6407
0.248,0.0,0.6667
0.2572,0.0,0.642
0.253,0.0,0.6499
0.2495,0.0,0.656
0.2538,0.0,0.6463
0.2484,0.0,0.6461
0.2529,0.0,0.6518
0.2504,0.0,0.6528
0.2535,0.0,0.6494
0.2572,0.0,0.6447
0.2552,0.0,0.6522
0.2447,0.0,0.6559
0.2426,0.0,0.6542
0.2447,0.0,0.6552
0.2451,0.0,0.6482
0.2556,0.0,0.6506
0.248,0.0,0.6487
0.2558,0.0,0.6457
0.2468,0.0,0.6497
0.2526,0.0,0.6489
0.2447,0.0,0.647
0.2512,0.0,0.6472
0.2554,0.0,0.6527
0.2501,0.0,0.6542
0.2489,0.0,0.6594
0.2476,0.0,0.6454
0.2464,0.0,0.6489
0.2571,0.0,0.6539
0.2486,0.0,0.6453
0.2502,0.0,0.6487
0.2596,0.0,0.642
0.2588,0.0,0.6464
0.2518,0.0,0.6542
0.2485,0.0,0.6475
0.2521,0.0,0.6516
0.2542,0.0,0.6494
0.2541,0.0,0.6533
0.2525,0.0,0.6515
0.245,0.0,0.6564
0.249,0.0,0.6404
0.2473,0.0,0.6533
0.2459,0.0,0.655
