protected,f0,accuracy
0.0,-0.503,0.9031
0.0,-0.5023,0.9022
0.0,-0.4974,0.902
0.0,-0.5036,0.898
0.0,-0.5039,0.9011
0.0,-0.493,0.8988
0.0,-0.5004,0.8957
0.0,-0.504,0.8995
0.0,-0.4991,0.9008
0.0,-0.501,0.898
0.0,-0.5048,0.8961
0.0,-0.5019,0.8979
0.0,-0.4997,0.9023
0.0,-0.4976,0.9022
0.0,-0.5116,0.9025
0.0,-0.4999,0.9003
0.0,-0.4945,0.9026
0.0,-0.504,0.9003
0.0,-0.5021,0.9008
0.0,-0.498,0.8984
0.0,-0.5019,0.9045
0.0,-0.4932,0.9022
0.0,-0.5031,0.8957
0.0,-0.5067,0.9032
0.0,-0.4983,0.8952
0.0,-0.4939,0.8989
0.0,-0.4874,0.9006
0.0,-0.5086,0.9035
0.0,-0.502,0.8974
0.0,-0.5009,0.8988
0.0,-0.4974,0.8998
0.0,-0.5045,0.901
0.0,-0.5016,0.9004
0.0,-0.499,0.8967
0.0,-0.4999,0.9043
0.0,-0.4957,0.9017
0.0,-0.4971,0.8946
0.0,-0.5055,0.897
0.0,-0.5017,0.9033
0.0,-0.5027,0.9035
0.0,-0.5012,0.8975
0.0,-0.4956,0.8977
0.0,-0.4974,0.8975
0.0,-0.5003,0.9033
0.0,-0.5024,0.9024
0.0,-0.4989,0.9035
0.0,-0.5009,0.9003
0.0,-0.4985,0.8976
0.0,-0.4958,0.8979
0.0,-0.4994,0.8997
0.0,-0.5037,0.8952
0.0,-0.502,0.8967
0.0,-0.4948,0.9028
0.0,-0.5023,0.9034
0.0,-0.4993,0.9003
0.0,-0.5039,0.9032
0.0,-0.5035,0.8996
0.0,-0.4955,0.8975
0.0,-0.4979,0.9028
0.0,-0.4968,0.9035
0.0,-0.5029,0.9005
0.0,-0.5005,0.8978
0.0,-0.4965,0.8961
0.0,-0.4938,0.8995
0.0,-0.5023,0.8983
0.0,-0.5014,0.9002
0.0,-0.4893,0.8942
0.0,-0.5062,0.9016
0.0,-0.4838,0.898
0.0,-0.5036,0.9015
0.0,-0.5035,0.9003
0.0,-0.5017,0.9015
0.0,-0.5003,0.9012
0.0,-0.4989,0.901
0.0,-0.5005,0.9024
0.0,-0.4904,0.8954
0.0,-0.5021,0.9013
0.0,-0.5019,0.8986
0.0,-0.5078,0.9013
0.0,-0.4989,0.8984
0.0,-0.4949,0.9046
0.0,-0.5047,0.8942
0.0,-0.4991,0.9023
0.0,-0.4968,0.9014
0.0,-0.4951,0.8981
0.0,-0.4994,0.9016
0.0,-0.4996,0.8901
0.0,-0.5005,0.8977
0.0,-0.5039,0.8973
0.0,-0.4896,0.898
0.0,-0.4965,0.904
0.0,-0.5025,0.8994
0.0,-0.4946,0.8991
0.0,-0.509,0.899
0.0,-0.4973,0.9019
0.0,-0.5019,0.8936
0.0,-0.4973,0.9005
0.0,-0.5017,0.9034
0.0,-0.5055,0.9022
0.0,-0.4987,0.8971
