p0,p1,accuracy,FP
0.5,0.1,0.701,0
0.6,0.1,0.75,0
0.7,0.1,0.8,0
0.9,0.1,0.9,0
0.8,0.1,0.85,0
0.4,0.1,0.75,0
0.2,0.1,0.85,0
0.3,0.1,0.801,0
0.1,0.2,0.85,0
0.6,0.2,0.701,0
0.5,0.2,0.65,0
0.7,0.2,0.75,0
0.9,0.2,0.85,0
0.8,0.2,0.8,0
0.2,0.3,0.75,0
0.4,0.2,0.7,0
0.3,0.2,0.75,0
0.1,0.3,0.8,0
0.6,0.3,0.65,0
0.5,0.3,0.6,0
0.7,0.3,0.7,0
0.8,0.3,0.75,0
0.9,0.3,0.8,0
0.4,0.3,0.65,0
0.3,0.4,0.65,0
0.2,0.4,0.7,44
0.1,0.4,0.75,100
0.5,0.4,0.55,0
0.6,0.4,0.6,0
0.7,0.4,0.65,0
0.9,0.4,0.751,0
0.4,0.5,0.549,76
0.8,0.4,0.701,0
0.3,0.5,0.601,93
0.2,0.5,0.649,100
0.1,0.5,0.699,100
0.5,0.6,0.55,0
0.6,0.5,0.55,70
0.7,0.5,0.6,89
0.9,0.5,0.701,100
0.4,0.6,0.601,0
0.8,0.5,0.65,99
0.3,0.6,0.649,0
0.2,0.6,0.7,0
0.1,0.6,0.75,0
0.5,0.7,0.6,0
0.6,0.7,0.65,0
0.7,0.6,0.65,0
0.9,0.6,0.75,100
0.4,0.7,0.651,0
0.2,0.7,0.75,0
0.8,0.6,0.7,49
0.3,0.7,0.7,0
0.1,0.7,0.8,0
0.5,0.8,0.65,0
0.6,0.8,0.7,0
0.7,0.8,0.75,0
0.4,0.8,0.7,0
0.9,0.7,0.8,0
0.8,0.7,0.75,0
0.3,0.8,0.749,0
0.2,0.8,0.8,0
0.1,0.8,0.85,0
0.5,0.9,0.7,0
0.6,0.9,0.749,0
0.7,0.9,0.8,0
0.4,0.9,0.75,0
0.9,0.8,0.85,0
0.3,0.9,0.8,0
0.8,0.9,0.85,0
0.2,0.9,0.85,0
0.1,0.9,0.9,0
