        f0      f1      f2      f3      f4      f5    ...         f11     f12     f13     f14  protected        max
0   0.0000  0.0596  0.0232  0.0179  0.0524  0.0572    ...      0.0394  0.0297  0.0040  0.0201     0.0466         f1
1   0.0000  0.1198  0.1472  0.1362  0.1341  0.1038    ...      0.1487  0.1326  0.1137  0.1911     0.1257        f14
2   0.0000  0.0208  0.0070  0.0173  0.0143  0.0103    ...      0.0079  0.0176  0.0107  0.0319     0.0185        f14
3   0.0000  0.0537  0.0200  0.0169  0.0279  0.0175    ...      0.0398  0.0458  0.0654  0.0142     0.0439        f13
4   0.0000  0.0177  0.0432  0.0651  0.0227  0.0523    ...      0.0444  0.0394  0.0478  0.0513     0.0323         f6
5   0.4991  0.4654  0.4020  0.4108  0.4274  0.4167    ...      0.4549  0.4270  0.4022  0.4460     0.4455         f0
6   0.0000  0.0209  0.0389  0.0294  0.0085  0.0324    ...      0.0435  0.0178  0.0334  0.0477     0.0200        f14
7   0.0000  0.0008  0.0215  0.0181  0.0266  0.0326    ...      0.0210  0.0072  0.0261  0.0076     0.0140         f5
8   0.0000  0.1176  0.1295  0.0876  0.1312  0.1750    ...      0.1293  0.1517  0.1446  0.1481     0.1672         f5
9   0.0000  0.0965  0.1333  0.0832  0.0474  0.1321    ...      0.0985  0.1002  0.0779  0.0711     0.1017         f2
10  0.0000  0.0944  0.0869  0.0702  0.1123  0.0964    ...      0.1100  0.1220  0.0660  0.0692     0.1593  protected
11  0.0000  0.0121  0.0661  0.0547  0.0485  0.1106    ...      0.0407  0.0538  0.0620  0.0648     0.0754         f5
12  0.0000  0.0266  0.0342  0.0368  0.0287  0.0687    ...      0.0387  0.0446  0.0492  0.0344     0.0295         f5
13  0.0000  0.0787  0.0964  0.0914  0.0877  0.0868    ...      0.1053  0.1207  0.0897  0.1047     0.1305         f7
14  0.0000  0.0177  0.0140  0.0004  0.0141  0.0232    ...      0.0058  0.0223  0.0161  0.0069     0.0257  protected
15  0.0000  0.0532  0.0536  0.0467  0.0475  0.0643    ...      0.0232  0.0837  0.0410  0.0569     0.0947  protected
16  0.0000  0.0244  0.0525  0.0657  0.0123  0.0590    ...      0.0064  0.0425  0.0549  0.0448     0.0434         f3
17  0.0000  0.0254  0.0458  0.0437  0.0522  0.0832    ...      0.0290  0.0606  0.0638  0.0325     0.0604         f5
18  0.0000  0.0123  0.0177  0.0157  0.0164  0.0071    ...      0.0070  0.0240  0.0187  0.0177     0.0057        f12
19  0.0000  0.0731  0.1180  0.0815  0.0427  0.1085    ...      0.0623  0.0627  0.0619  0.0703     0.0993         f2
20  0.0000  0.0622  0.0694  0.1058  0.0527  0.0688    ...      0.0497  0.0894  0.0889  0.0354     0.0614         f3
21  0.0000  0.0375  0.0234  0.0346  0.0626  0.0564    ...      0.0543  0.0504  0.0395  0.0519     0.0631  protected
22  0.0000  0.0417  0.0325  0.0769  0.0568  0.0615    ...      0.0829  0.0469  0.1034  0.0869     0.0917        f13
23  0.0000  0.0255  0.0379  0.0413  0.0712  0.0602    ...      0.0897  0.0633  0.0398  0.0812     0.0574         f6
24  0.4956  0.3601  0.4005  0.4182  0.3955  0.4203    ...      0.4205  0.4151  0.4105  0.4211     0.3918         f0
25  0.0000  0.0203  0.0367  0.0430  0.0300  0.0248    ...      0.0191  0.0225  0.0077  0.0372     0.0461  protected
26  0.4957  0.4561  0.4936  0.4482  0.4155  0.4416    ...      0.4207  0.4362  0.4491  0.4747     0.4291         f0
27  0.4959  0.4734  0.4382  0.4499  0.4422  0.4588    ...      0.4269  0.4233  0.4195  0.4435     0.4782         f0
28  0.0000  0.0462  0.0494  0.0702  0.0235  0.0729    ...      0.0820  0.0927  0.0204  0.0425     0.0500        f12
29  0.0000  0.1062  0.1266  0.0814  0.1333  0.0982    ...      0.1283  0.1147  0.0241  0.0719     0.1068         f4
..     ...     ...     ...     ...     ...     ...    ...         ...     ...     ...     ...        ...        ...
70  0.0000  0.1558  0.0973  0.1105  0.1357  0.0741    ...      0.0738  0.1002  0.0796  0.1072     0.0901         f1
71  0.4987  0.4404  0.4040  0.4519  0.4190  0.4098    ...      0.3915  0.4329  0.4231  0.4249     0.4002         f0
72  0.0000  0.0294  0.0975  0.0774  0.0753  0.1040    ...      0.0699  0.1027  0.0897  0.0643     0.1040         f5
73  0.0000  0.0225  0.0280  0.0444  0.0869  0.0317    ...      0.0442  0.0445  0.0509  0.0632     0.0842         f4
74  0.5012  0.4624  0.4530  0.4633  0.4465  0.4541    ...      0.4774  0.4751  0.4975  0.4795     0.4667         f0
75  0.0000  0.0380  0.0366  0.0401  0.0374  0.0327    ...      0.0362  0.0096  0.0179  0.0249     0.0081         f3
76  0.5015  0.4945  0.4613  0.4898  0.4805  0.4833    ...      0.4521  0.4435  0.4638  0.4908     0.4712         f0
77  0.5012  0.4227  0.4948  0.4807  0.4218  0.4415    ...      0.4620  0.4398  0.4170  0.4559     0.4204         f0
78  0.0000  0.0989  0.0563  0.1259  0.0935  0.0758    ...      0.1245  0.0695  0.0887  0.1184     0.0957        f10
79  0.0000  0.0213  0.0102  0.0136  0.0195  0.0264    ...      0.0098  0.0143  0.0095  0.0217     0.0261         f8
80  0.5026  0.4183  0.4151  0.4135  0.4032  0.3648    ...      0.3726  0.4060  0.3617  0.3501     0.3627         f0
81  0.0000  0.0617  0.0704  0.1042  0.0794  0.0870    ...      0.0919  0.1016  0.1069  0.1281     0.1433  protected
82  0.5035  0.4655  0.4665  0.4409  0.4147  0.4310    ...      0.4784  0.4628  0.4701  0.4342     0.4448         f0
83  0.0000  0.0724  0.0627  0.0291  0.0639  0.1099    ...      0.0565  0.0727  0.0432  0.0583     0.0970         f5
84  0.0000  0.0608  0.0366  0.0506  0.0565  0.0125    ...      0.0516  0.0482  0.0239  0.0510     0.0098         f1
85  0.0000  0.0406  0.0613  0.0821  0.1180  0.0697    ...      0.0867  0.0941  0.0967  0.0900     0.1444  protected
86  0.0000  0.0641  0.0144  0.0333  0.0323  0.0173    ...      0.0639  0.0330  0.0407  0.0376     0.0691  protected
87  0.0000  0.0112  0.0967  0.0459  0.0452  0.0824    ...      0.0576  0.0421  0.0745  0.0593     0.0737         f2
88  0.4979  0.4000  0.4024  0.4298  0.3928  0.3485    ...      0.4011  0.4233  0.4067  0.4448     0.4154         f0
89  0.0000  0.0399  0.0673  0.1115  0.0801  0.0739    ...      0.0589  0.0557  0.0429  0.0244     0.0756         f3
90  0.0000  0.0615  0.0626  0.0562  0.0842  0.0879    ...      0.0600  0.0686  0.0525  0.0760     0.0279         f6
91  0.0000  0.0422  0.0811  0.0603  0.0666  0.0932    ...      0.0924  0.0533  0.0155  0.0622     0.0431         f5
92  0.0000  0.0365  0.0493  0.0283  0.0362  0.0070    ...      0.0144  0.0333  0.0270  0.0234     0.0343         f8
93  0.0000  0.0242  0.0417  0.0031  0.0366  0.0387    ...      0.0361  0.0561  0.0529  0.0525     0.0061         f9
94  0.0000  0.0614  0.0768  0.0485  0.0565  0.0167    ...      0.0655  0.0604  0.0687  0.0343     0.0672         f7
95  0.0000  0.0977  0.0630  0.0712  0.0996  0.0524    ...      0.0610  0.0362  0.0443  0.0511     0.0200         f4
96  0.0000  0.0089  0.0026  0.0021  0.0108  0.0023    ...      0.0123  0.0024  0.0119  0.0000     0.0012        f11
97  0.0000  0.0400  0.0103  0.0511  0.0511  0.0411    ...      0.0552  0.0267  0.0560  0.0699     0.0281        f14
98  0.4955  0.4588  0.4576  0.4878  0.4735  0.4790    ...      0.4489  0.4869  0.4589  0.4694     0.4611         f0
99  0.0000  0.0599  0.0625  0.0646  0.0337  0.0685    ...      0.0229  0.0051  0.0648  0.0513     0.0497         f5

[100 rows x 17 columns]


Num. FP: 8
