protected,f0
-0.2415,0.4973
0.2513,0.4992
0.2543,0.4985
0.2472,0.5001
-0.2463,0.4995
0.251,0.4977
-0.2514,0.4962
0.2506,0.5025
0.2538,0.4982
-0.2467,0.5041
0.2471,0.4977
0.2549,0.499
0.2531,0.4953
0.2502,0.4882
0.248,0.5033
0.2454,0.4963
0.2538,0.5074
0.2487,0.4998
0.2467,0.498
0.2413,0.4956
0.2512,0.5024
0.2632,0.516
0.2447,0.4946
-0.2498,0.5011
0.2445,0.5018
-0.2483,0.4975
0.2503,0.5046
0.2484,0.4983
0.2504,0.5024
-0.2499,0.503
0.2468,0.4889
0.2499,0.5023
0.2469,0.5017
0.2474,0.5045
0.2448,0.4963
0.2579,0.5035
0.2547,0.5031
-0.2499,0.5048
-0.2538,0.5015
0.2516,0.5093
0.2593,0.503
0.252,0.5034
0.2537,0.5002
-0.2493,0.4956
0.2415,0.498
0.246,0.4814
0.2521,0.4994
0.2388,0.4887
0.2488,0.4967
-0.246,0.5024
-0.2405,0.4865
0.2538,0.5039
0.2489,0.4993
0.2556,0.5126
0.2539,0.4976
0.2505,0.5012
0.2576,0.5055
0.2421,0.5031
-0.244,0.4962
0.2516,0.5009
0.2485,0.5022
-0.2491,0.5052
-0.2505,0.4946
0.2469,0.4931
0.2462,0.4975
0.2528,0.5104
0.2545,0.5058
0.2524,0.5028
0.25,0.5059
-0.2559,0.5019
0.2529,0.507
0.2479,0.4974
0.2439,0.4933
0.2509,0.4974
0.2501,0.5015
-0.2473,0.5012
0.2454,0.4937
0.2483,0.4928
0.2509,0.4995
0.251,0.5099
0.2489,0.5022
0.2498,0.4955
0.2484,0.5001
-0.2499,0.5004
0.253,0.5019
0.2482,0.5033
-0.2458,0.4887
-0.2489,0.4977
0.2448,0.4981
0.2502,0.5003
0.2499,0.4988
0.2514,0.4966
0.2397,0.4907
0.2437,0.4921
0.2483,0.5013
0.2446,0.4966
0.2583,0.5047
0.2411,0.4964
0.2506,0.5022
-0.2503,0.496
