        f0      f1      f2      f3      f4      f5      f6      f7      f8      f9  protected        max
0   0.0000  0.0600  0.0775  0.1079  0.1176  0.0511  0.1082  0.0776  0.0853  0.0325     0.1206  protected
1   0.4997  0.3232  0.3500  0.3452  0.3125  0.3519  0.3443  0.3681  0.4277  0.3413     0.3897         f0
2   0.0000  0.1392  0.1440  0.0852  0.1464  0.1672  0.1229  0.1250  0.0789  0.1623     0.0767         f5
3   0.0000  0.1055  0.0794  0.1146  0.1541  0.0823  0.0845  0.0651  0.0611  0.0780     0.0402         f4
4   0.0000  0.1090  0.1542  0.1107  0.1729  0.1170  0.1914  0.1508  0.1386  0.0779     0.1361         f6
5   0.4991  0.3630  0.3601  0.2678  0.3282  0.3354  0.3091  0.3737  0.3549  0.3657     0.3234         f0
6   0.4973  0.4103  0.4054  0.4837  0.4571  0.4473  0.3935  0.4464  0.4177  0.3710     0.4228         f0
7   0.5008  0.3283  0.3614  0.3475  0.3544  0.3888  0.3556  0.4020  0.4283  0.3514     0.3263         f0
8   0.0000  0.0134  0.0907  0.0901  0.0983  0.0679  0.0587  0.1003  0.0663  0.0684     0.1055  protected
9   0.4971  0.3813  0.3763  0.3294  0.3661  0.3330  0.3813  0.4289  0.3615  0.4057     0.4177         f0
10  0.0000  0.1673  0.0922  0.0719  0.1220  0.0952  0.0876  0.1132  0.1381  0.1291     0.1676  protected
11  0.4938  0.4081  0.4340  0.4430  0.4566  0.4672  0.3907  0.4233  0.3750  0.4375     0.4398         f0
12  0.5074  0.3806  0.4086  0.3972  0.4047  0.4603  0.3474  0.3905  0.3952  0.4359     0.3689         f0
13  0.0000  0.1095  0.0773  0.0779  0.1089  0.0999  0.0946  0.0848  0.0717  0.1911     0.0995         f9
14  0.0000  0.0596  0.0711  0.0545  0.0842  0.1352  0.0998  0.1288  0.1300  0.0774     0.1183         f5
15  0.0000  0.0964  0.1037  0.1426  0.1491  0.1227  0.1576  0.0508  0.1290  0.1064     0.0814         f6
16  0.5054  0.3081  0.4310  0.3780  0.3733  0.3539  0.3399  0.3760  0.3985  0.3508     0.3657         f0
17  0.0000  0.0895  0.1357  0.1508  0.1388  0.0822  0.1377  0.0888  0.1678  0.1131     0.1033         f8
18  0.5006  0.4388  0.4194  0.4678  0.4348  0.4526  0.4514  0.4937  0.4158  0.4410     0.4695         f0
19  0.0000  0.1021  0.0579  0.1220  0.0853  0.0701  0.0708  0.1034  0.1474  0.0549     0.0586         f8
20  0.0000  0.0009  0.0010  0.0207  0.0094  0.0012  0.0097  0.0201  0.0146  0.0250     0.0080         f9
21  0.4936  0.4415  0.3555  0.4081  0.4462  0.4123  0.3910  0.4549  0.3697  0.4436     0.4108         f0
22  0.5012  0.3080  0.3743  0.3199  0.3644  0.4384  0.3506  0.3564  0.3666  0.3793     0.3519         f0
23  0.0000  0.0013  0.0270  0.0133  0.0242  0.0225  0.0096  0.0109  0.0222  0.0438     0.0066         f9
24  0.5035  0.4971  0.4112  0.4346  0.4192  0.4522  0.4471  0.4110  0.4270  0.4087     0.3930         f0
25  0.0000  0.1238  0.1433  0.1384  0.1522  0.1415  0.1310  0.1407  0.2473  0.1359     0.1380         f8
26  0.0000  0.0097  0.0439  0.0844  0.0763  0.0595  0.0700  0.0732  0.0153  0.0548     0.0430         f3
27  0.0000  0.0872  0.0483  0.1377  0.0835  0.0839  0.1183  0.0268  0.0980  0.0859     0.0849         f3
28  0.0000  0.0329  0.0137  0.0579  0.0189  0.0284  0.0747  0.0442  0.0497  0.0310     0.0138         f6
29  0.0000  0.1062  0.0569  0.1220  0.0803  0.1057  0.1343  0.1205  0.1257  0.0330     0.1154         f6
..     ...     ...     ...     ...     ...     ...     ...     ...     ...     ...        ...        ...
70  0.0000  0.0341  0.0107  0.0075  0.0258  0.0238  0.0333  0.0232  0.0078  0.0000     0.0239         f1
71  0.0000  0.0579  0.0502  0.0541  0.0725  0.0610  0.0298  0.0101  0.0511  0.0459     0.0189         f4
72  0.4958  0.4133  0.4359  0.4398  0.3539  0.4049  0.3481  0.3745  0.3716  0.3816     0.3909         f0
73  0.0000  0.0092  0.0132  0.0460  0.0103  0.0054  0.0150  0.0282  0.0252  0.0121     0.0187         f3
74  0.0000  0.1132  0.1135  0.1407  0.1246  0.2013  0.1211  0.0953  0.1444  0.0807     0.1085         f5
75  0.0000  0.0882  0.0731  0.1165  0.0864  0.0664  0.0298  0.0793  0.1182  0.1475     0.0877         f9
76  0.5054  0.3953  0.3465  0.3451  0.3560  0.3127  0.3337  0.3806  0.4096  0.3362     0.3360         f0
77  0.0000  0.0550  0.0692  0.0426  0.0167  0.0855  0.0477  0.0492  0.0276  0.0276     0.0297         f5
78  0.0000  0.0949  0.0794  0.0916  0.0610  0.0692  0.0729  0.0424  0.0613  0.0860     0.1208  protected
79  0.4905  0.4090  0.4073  0.4320  0.4509  0.4155  0.4149  0.4003  0.4512  0.4138     0.4994  protected
80  0.5011  0.3588  0.3664  0.3816  0.3590  0.3917  0.4732  0.3670  0.3921  0.4063     0.4032         f0
81  0.5051  0.4669  0.4344  0.3991  0.3920  0.4901  0.4044  0.4210  0.4243  0.4063     0.4262         f0
82  0.0000  0.0274  0.0807  0.0886  0.0533  0.0141  0.0517  0.0710  0.0445  0.0915     0.0588         f9
