f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,protected
0.0,0.06,0.0775,-0.1079,-0.1176,0.0511,-0.1082,0.0776,-0.0853,0.0325,-0.1206
0.4997,-0.3232,-0.35,-0.3452,-0.3125,0.3519,-0.3443,0.3681,0.4277,-0.3413,0.3897
0.0,-0.1392,-0.144,0.0852,-0.1464,-0.1672,-0.1229,-0.125,0.0789,-0.1623,0.0767
0.0,-0.1055,0.0794,-0.1146,-0.1541,0.0823,-0.0845,0.0651,0.0611,0.078,0.0402
0.0,0.109,-0.1542,0.1107,-0.1729,0.117,-0.1914,-0.1508,-0.1386,0.0779,-0.1361
0.4991,0.363,0.3601,-0.2678,-0.3282,-0.3354,-0.3091,0.3737,0.3549,0.3657,-0.3234
0.4973,-0.4103,-0.4054,0.4837,0.4571,0.4473,-0.3935,0.4464,0.4177,-0.371,0.4228
0.5008,-0.3283,-0.3614,-0.3475,-0.3544,0.3888,0.3556,0.402,0.4283,-0.3514,-0.3263
0.0,0.0134,-0.0907,-0.0901,-0.0983,0.0679,0.0587,-0.1003,0.0663,0.0684,-0.1055
0.4971,0.3813,-0.3763,-0.3294,-0.3661,-0.333,0.3813,0.4289,-0.3615,0.4057,0.4177
0.0,-0.1673,0.0922,0.0719,-0.122,0.0952,0.0876,0.1132,-0.1381,-0.1291,-0.1676
0.4938,-0.4081,0.434,0.443,0.4566,0.4672,-0.3907,-0.4233,-0.375,0.4375,0.4398
0.5074,-0.3806,0.4086,0.3972,0.4047,0.4603,-0.3474,-0.3905,0.3952,0.4359,-0.3689
0.0,-0.1095,0.0773,0.0779,-0.1089,-0.0999,-0.0946,0.0848,0.0717,-0.1911,-0.0995
0.0,0.0596,0.0711,0.0545,0.0842,-0.1352,-0.0998,-0.1288,-0.13,0.0774,-0.1183
0.0,0.0964,0.1037,-0.1426,-0.1491,-0.1227,-0.1576,0.0508,-0.129,-0.1064,0.0814
0.5054,-0.3081,0.431,0.378,0.3733,-0.3539,-0.3399,0.376,0.3985,-0.3508,-0.3657
0.0,0.0895,-0.1357,-0.1508,-0.1388,0.0822,-0.1377,0.0888,-0.1678,-0.1131,0.1033
0.5006,0.4388,-0.4194,0.4678,-0.4348,0.4526,0.4514,0.4937,-0.4158,0.441,0.4695
0.0,-0.1021,0.0579,-0.122,-0.0853,0.0701,0.0708,-0.1034,-0.1474,0.0549,0.0586
0.0,0.0009,0.001,-0.0207,0.0094,0.0012,0.0097,-0.0201,0.0146,-0.025,0.008
0.4936,0.4415,-0.3555,0.4081,0.4462,0.4123,-0.391,0.4549,-0.3697,0.4436,0.4108
0.5012,-0.308,0.3743,-0.3199,0.3644,0.4384,-0.3506,0.3564,0.3666,0.3793,-0.3519
0.0,0.0013,-0.027,0.0133,-0.0242,-0.0225,0.0096,0.0109,0.0222,-0.0438,0.0066
0.5035,0.4971,-0.4112,0.4346,0.4192,0.4522,0.4471,-0.411,0.427,-0.4087,-0.393
0.0,0.1238,-0.1433,-0.1384,-0.1522,-0.1415,0.131,-0.1407,-0.2473,0.1359,0.138
0.0,0.0097,0.0439,-0.0844,-0.0763,-0.0595,-0.07,-0.0732,0.0153,0.0548,0.043
0.0,0.0872,0.0483,-0.1377,0.0835,0.0839,-0.1183,0.0268,-0.098,0.0859,0.0849
