protected,f0
0.258,0.4998
0.2488,0.5066
0.2517,0.5024
0.2568,0.5018
0.2534,0.4995
0.2537,0.4967
0.2474,0.4959
0.2455,0.5032
0.245,0.4904
0.247,0.4974
0.2532,0.5042
0.2476,0.5042
0.2528,0.5009
0.2553,0.5092
0.2501,0.494
0.2419,0.4933
0.2477,0.5045
0.2466,0.4985
0.2572,0.5099
0.2505,0.5043
0.2557,0.4966
0.2465,0.4932
0.2473,0.4918
0.501,0.4948
0.2491,0.4957
0.2509,0.5055
0.2578,0.5057
0.2434,0.4947
0.248,0.4986
0.2511,0.5004
0.25,0.4991
0.2481,0.4996
0.2539,0.5024
0.2524,0.499
0.2478,0.4982
0.2503,0.4941
0.2513,0.4963
0.2543,0.5071
0.2448,0.4904
0.2487,0.4984
0.2596,0.5038
0.2493,0.5028
0.2466,0.4994
0.2485,0.4944
0.2436,0.4919
0.2526,0.5107
0.2488,0.4985
0.2478,0.4984
0.25,0.5071
0.2428,0.498
0.246,0.4936
0.2531,0.5033
0.257,0.5013
0.2602,0.504
0.2509,0.5088
0.2532,0.4979
0.243,0.4934
0.2496,0.5034
0.2525,0.4987
0.2509,0.4999
0.2439,0.4894
0.2526,0.5044
0.2511,0.5076
0.2546,0.4972
0.2512,0.5029
0.2529,0.5063
0.256,0.5066
0.2509,0.4954
0.2512,0.5018
0.2524,0.5011
0.2522,0.5053
0.252,0.5087
0.2476,0.4963
0.257,0.5046
0.2514,0.5052
0.2496,0.5045
0.2449,0.5033
0.2545,0.5002
-0.2463,0.0
0.2487,0.4995
0.2509,0.4997
0.2447,0.4946
0.2536,0.4994
0.2456,0.4997
0.251,0.4992
0.2525,0.5017
0.2519,0.4963
0.2435,0.4982
0.254,0.5086
0.2545,0.5007
0.2487,0.4998
0.251,0.494
0.2454,0.4934
0.2481,0.5082
0.2597,0.5097
0.2449,0.4942
0.2456,0.4982
0.2466,0.501
0.2511,0.5077
0.2486,0.4989
