protected,f0
0.2502,-0.4989
0.2492,-0.5061
0.2422,-0.4959
0.2466,-0.5011
0.2591,-0.5064
0.2552,-0.5054
0.2463,-0.4951
0.2489,-0.5005
0.2468,-0.4937
0.2464,-0.5012
0.249,-0.4999
0.2472,-0.4985
0.2518,-0.5057
0.2522,-0.4981
0.2499,-0.5048
0.2469,-0.4994
0.2432,-0.4876
0.2459,-0.4907
0.2425,-0.4883
0.2436,-0.5011
0.2447,-0.4969
0.2468,-0.4913
0.2507,-0.4981
0.2502,-0.5006
0.2426,-0.4852
0.2492,-0.5026
0.2569,-0.508
0.2531,-0.501
0.2527,-0.503
0.257,-0.5053
0.2483,-0.4954
0.2512,-0.5009
0.2505,-0.5009
0.2506,-0.5015
0.2415,-0.4892
0.2502,-0.5063
0.2493,-0.5002
0.2452,-0.501
0.2488,-0.4943
0.2481,-0.4938
0.2485,-0.5003
0.248,-0.51
0.248,-0.4976
0.2531,-0.507
0.2546,-0.5015
0.2551,-0.505
0.2577,-0.5084
0.2537,-0.5077
0.2504,-0.498
0.2472,-0.5026
0.2525,-0.5075
0.2522,-0.5028
0.2433,-0.4961
0.25,-0.504
0.253,-0.4977
0.246,-0.4995
0.25,-0.5015
0.2576,-0.5085
0.2488,-0.4963
0.2493,-0.4954
0.2526,-0.497
0.2523,-0.5016
0.2561,-0.5031
0.2511,-0.5014
0.2446,-0.4952
0.2492,-0.4863
0.2483,-0.4983
0.2471,-0.4979
0.2558,-0.4995
0.2524,-0.5095
0.25,-0.5037
0.2517,-0.5027
0.2451,-0.4984
0.2501,-0.494
0.248,-0.4956
0.2451,-0.4947
0.2483,-0.5037
0.2508,-0.5048
0.2487,-0.5011
0.2328,-0.4891
0.251,-0.5036
0.2516,-0.502
0.2528,-0.5006
0.2556,-0.5118
0.2458,-0.4972
0.245,-0.4909
0.2513,-0.5018
0.2508,-0.5024
0.2528,-0.507
0.2563,-0.5052
0.2508,-0.5032
0.2401,-0.4987
0.2525,-0.4967
0.2459,-0.5032
0.2425,-0.4981
0.2548,-0.5067
0.2381,-0.4824
0.2516,-0.4956
0.253,-0.5042
0.2524,-0.5008
