protected,f0,accuracy,correlation
0.0,0.5094,0.8495,0.72
0.0,0.5014,0.8508,0.69
0.0,0.4963,0.8518,0.71
0.0,0.4987,0.849,0.7
0.0,0.5015,0.852,0.72
0.0,0.503,0.8593,0.7
0.0,0.5005,0.8488,0.69
0.0,0.5051,0.8553,0.7
0.0,0.5032,0.8471,0.7
0.0,0.4935,0.8522,0.7
0.0,0.5005,0.848,0.7
0.0,0.4981,0.8556,0.69
0.0,0.5024,0.8524,0.71
0.0,0.5038,0.8546,0.69
0.0,0.4992,0.8478,0.7
0.0,0.5068,0.849,0.69
0.0,0.499,0.8495,0.7
0.0,0.4879,0.8566,0.7
0.0,0.5016,0.8438,0.71
0.0,0.4929,0.8514,0.71
0.0,0.4958,0.8507,0.7
0.0,0.5034,0.8472,0.7
0.0,0.5092,0.8493,0.71
0.0,0.4908,0.856,0.71
0.0,0.5042,0.855,0.71
0.0,0.5115,0.8564,0.7
0.0,0.5015,0.847,0.7
0.0,0.4994,0.8495,0.7
0.0,0.497,0.8484,0.7
0.0,0.4987,0.8553,0.7
0.0,0.4983,0.8518,0.7
0.0,0.4952,0.85,0.7
0.0,0.4965,0.86,0.7
0.0,0.4882,0.8489,0.71
0.0,0.4922,0.847,0.69
0.0,0.4996,0.85,0.68
0.0,0.4964,0.8532,0.71
0.0,0.4941,0.8567,0.7
0.0,0.4992,0.8502,0.7
0.0,0.4997,0.8521,0.69
0.0,0.497,0.847,0.71
0.0,0.5013,0.8521,0.69
0.0,0.5074,0.8459,0.7
0.0,0.4891,0.8549,0.71
0.0,0.5026,0.8478,0.7
0.0,0.4974,0.8528,0.7
0.0,0.5045,0.8482,0.71
0.0,0.5075,0.8527,0.72
0.0,0.4997,0.8525,0.71
0.0,0.4995,0.853,0.7
0.0,0.5033,0.8482,0.7
0.0,0.502,0.8492,0.71
0.0,0.503,0.8501,0.7
0.0,0.5052,0.844,0.7
0.0,0.4924,0.8575,0.71
0.0,0.4948,0.8495,0.71
0.0,0.5033,0.8507,0.7
0.0,0.4996,0.847,0.71
0.0,0.4999,0.8499,0.7
0.0,0.4986,0.8568,0.69
0.0,0.4933,0.8536,0.69
0.0,0.4963,0.848,0.69
0.0,0.4931,0.8468,0.71
0.0,0.5013,0.8423,0.69
0.0,0.4998,0.8427,0.7
0.0,0.5047,0.8565,0.7
0.0,0.4984,0.8523,0.69
0.0,0.4999,0.8502,0.7
0.0,0.5143,0.8482,0.69
0.0,0.495,0.8487,0.71
0.0,0.5045,0.8469,0.71
0.0,0.4933,0.8432,0.71
0.0,0.5024,0.8507,0.7
0.0,0.5033,0.8479,0.69
0.0,0.5016,0.8506,0.7
0.0,0.4962,0.8461,0.69
0.0,0.4984,0.8533,0.69
0.0,0.5036,0.8499,0.69
0.0,0.5044,0.8493,0.71
0.0,0.4957,0.8452,0.71
0.0,0.4975,0.8506,0.71
0.0,0.501,0.8464,0.7
0.0,0.4989,0.8521,0.71
0.0,0.4973,0.8479,0.69
0.0,0.5047,0.8532,0.69
0.0,0.495,0.8498,0.69
0.0,0.4941,0.8508,0.7
0.0,0.5051,0.8466,0.7
0.0,0.4955,0.8514,0.69
0.0,0.4908,0.8498,0.69
0.0,0.4988,0.8525,0.69
0.0,0.5005,0.852,0.7
0.0,0.4989,0.8502,0.71
0.0,0.5034,0.8511,0.69
0.0,0.493,0.8525,0.7
0.0,0.4989,0.8489,0.71
0.0,0.5009,0.8462,0.7
0.0,0.4974,0.8539,0.71
0.0,0.4921,0.85,0.71
0.0,0.5015,0.8445,0.69
