protected,f0,accuracy,correlation
0.0,0.4995,0.9503,0.91
0.0,0.4979,0.9531,0.91
0.0,0.5016,0.9502,0.9
0.0,0.5095,0.9465,0.9
0.0,0.5069,0.9552,0.9
0.0,0.4994,0.9472,0.9
0.0,0.499,0.9506,0.9
0.0,0.4949,0.9453,0.89
0.0,0.5017,0.9528,0.9
0.0,0.5022,0.9525,0.9
0.0,0.5082,0.9504,0.9
0.0,0.5007,0.9546,0.89
0.0,0.5073,0.9491,0.9
0.0,0.5008,0.9474,0.9
0.0,0.5067,0.9512,0.9
0.0,0.499,0.9491,0.9
0.0,0.5029,0.9464,0.9
0.0,0.4827,0.9506,0.9
0.0,0.4948,0.9504,0.9
0.0,0.4998,0.9503,0.91
0.0,0.5022,0.9482,0.9
0.0,0.5002,0.9488,0.89
0.0,0.4986,0.9497,0.91
0.0,0.5031,0.9521,0.9
0.0,0.5022,0.9519,0.9
0.0,0.5017,0.9501,0.9
0.0,0.5025,0.9539,0.91
0.0,0.4994,0.9533,0.89
0.0,0.496,0.9554,0.89
0.0,0.4993,0.9489,0.9
0.0,0.505,0.9533,0.9
0.0,0.495,0.9482,0.89
0.0,0.4928,0.9467,0.9
0.0,0.501,0.9491,0.9
0.0,0.5118,0.9497,0.9
0.0,0.4996,0.9522,0.9
0.0,0.4988,0.9494,0.9
0.0,0.4939,0.9528,0.89
0.0,0.4935,0.9508,0.9
0.0,0.4962,0.9523,0.9
0.0,0.4981,0.9511,0.9
0.0,0.5026,0.9513,0.9
0.0,0.4951,0.9477,0.91
0.0,0.4981,0.9501,0.9
0.0,0.4969,0.9486,0.91
0.0,0.5042,0.9493,0.9
0.0,0.5105,0.9512,0.9
0.0,0.5042,0.9512,0.91
0.0,0.4997,0.949,0.9
0.0,0.5089,0.9489,0.9
0.0,0.4946,0.9473,0.9
0.0,0.509,0.9501,0.89
0.0,0.4959,0.9481,0.9
0.0,0.5011,0.9499,0.91
0.0,0.5018,0.9502,0.9
0.0,0.4944,0.9504,0.9
0.0,0.4998,0.9478,0.89
0.0,0.5086,0.9468,0.9
0.0,0.5071,0.9475,0.9
0.0,0.4997,0.9533,0.91
0.0,0.5,0.951,0.9
0.0,0.5065,0.9501,0.9
0.0,0.4909,0.9476,0.9
0.0,0.4935,0.9486,0.89
0.0,0.4879,0.9482,0.9
0.0,0.508,0.9507,0.9
0.0,0.4979,0.9457,0.91
0.0,0.4908,0.9482,0.89
0.0,0.5005,0.9515,0.91
0.0,0.5029,0.9486,0.9
0.0,0.4967,0.9515,0.89
0.0,0.4928,0.9522,0.9
0.0,0.5097,0.9524,0.89
0.0,0.4957,0.9482,0.9
0.0,0.4953,0.9492,0.9
0.0,0.4995,0.9491,0.9
0.0,0.5025,0.9502,0.9
0.0,0.5102,0.9541,0.9
0.0,0.5031,0.9498,0.89
0.0,0.5013,0.9497,0.9
0.0,0.4982,0.9539,0.89
0.0,0.4971,0.9493,0.9
0.0,0.5116,0.9514,0.9
0.0,0.5001,0.9486,0.9
0.0,0.4986,0.9487,0.9
0.0,0.5058,0.9532,0.9
0.0,0.5039,0.9503,0.9
0.0,0.4995,0.9492,0.9
0.0,0.4969,0.9518,0.9
0.0,0.5098,0.9535,0.9
0.0,0.489,0.9519,0.91
0.0,0.4931,0.9503,0.9
0.0,0.497,0.9503,0.9
0.0,0.5028,0.9493,0.9
0.0,0.5018,0.9503,0.9
0.0,0.4986,0.9503,0.9
0.0,0.5046,0.9497,0.89
0.0,0.5,0.953,0.9
0.0,0.5016,0.9524,0.91
0.0,0.5065,0.95,0.91
