protected,f0,accuracy,correlation
0.0,-0.5093,0.651,-0.27
0.0,-0.504,0.6517,-0.31
0.0,-0.4913,0.6573,-0.31
0.0,-0.5034,0.6553,-0.29
0.0,-0.5072,0.657,-0.3
0.0,-0.5093,0.6495,-0.29
0.0,-0.5061,0.6504,-0.31
0.0,-0.4933,0.6493,-0.3
0.0,-0.4973,0.6426,-0.3
0.0,-0.5059,0.6569,-0.3
0.0,-0.504,0.6392,-0.31
0.0,-0.495,0.6452,-0.31
0.0,-0.5032,0.6445,-0.3
0.0,-0.5006,0.6607,-0.31
0.0,-0.4985,0.6461,-0.3
0.0,-0.4973,0.6525,-0.3
0.0,-0.5051,0.6427,-0.31
0.0,-0.4992,0.6561,-0.31
0.0,-0.5032,0.6485,-0.3
0.0,-0.4945,0.6503,-0.31
0.0,-0.5126,0.6435,-0.31
0.0,-0.5058,0.6537,-0.29
0.0,-0.5038,0.6446,-0.32
0.0,-0.5127,0.6503,-0.3
0.0,-0.4941,0.6542,-0.3
0.0,-0.4952,0.6464,-0.28
0.0,-0.4985,0.6431,-0.3
0.0,-0.4979,0.6556,-0.3
0.0,-0.5019,0.6387,-0.3
0.0,-0.5031,0.6465,-0.3
0.0,-0.5032,0.6507,-0.31
0.0,-0.4992,0.6484,-0.29
0.0,-0.5049,0.6487,-0.3
0.0,-0.5091,0.6409,-0.28
0.0,-0.5013,0.652,-0.3
0.0,-0.499,0.6497,-0.31
0.2555,-0.5021,0.6499,-0.28
0.0,-0.4955,0.6576,-0.3
0.0,-0.5117,0.6531,-0.3
0.2426,-0.4928,0.6582,-0.3
0.0,-0.4924,0.6463,-0.29
0.0,-0.4973,0.6457,-0.31
0.0,-0.4911,0.6523,-0.31
0.0,-0.4957,0.646,-0.31
0.0,-0.4924,0.6519,-0.32
0.0,-0.4991,0.6477,-0.32
0.0,-0.4947,0.638,-0.29
0.0,-0.4906,0.6509,-0.29
0.0,-0.4895,0.6482,-0.31
0.0,-0.5016,0.6422,-0.31
0.0,-0.5085,0.6504,-0.29
0.0,-0.5067,0.6509,-0.3
0.0,-0.5106,0.6562,-0.32
0.0,-0.4965,0.6535,-0.31
0.0,-0.4991,0.6458,-0.28
0.2497,-0.5025,0.648,-0.3
0.0,-0.5074,0.6591,-0.29
0.242,-0.4981,0.6457,-0.28
0.0,-0.5024,0.6558,-0.31
0.2566,-0.4998,0.6553,-0.3
0.0,-0.4932,0.6553,-0.3
0.0,-0.4943,0.6572,-0.31
0.0,-0.5031,0.6488,-0.3
0.0,-0.5021,0.6509,-0.3
0.0,-0.5065,0.6473,-0.3
0.0,-0.4992,0.6511,-0.3
0.0,-0.4927,0.6567,-0.29
0.0,-0.5,0.6496,-0.3
0.0,-0.4952,0.6481,-0.29
0.0,-0.5013,0.6474,-0.3
0.0,-0.4943,0.647,-0.29
0.2439,-0.4984,0.6507,-0.3
0.0,-0.5031,0.6555,-0.32
0.0,-0.4916,0.6539,-0.29
0.0,-0.4973,0.6513,-0.3
0.0,-0.5008,0.6493,-0.3
0.0,-0.499,0.6472,-0.29
0.0,-0.4988,0.6428,-0.3
0.0,-0.5029,0.6498,-0.3
0.0,-0.5,0.6501,-0.29
0.0,-0.5025,0.6466,-0.3
0.0,-0.5041,0.656,-0.29
0.0,-0.4984,0.65,-0.3
0.0,-0.5006,0.6474,-0.31
0.0,-0.501,0.6551,-0.29
0.0,-0.502,0.6475,-0.3
0.0,-0.4958,0.6473,-0.32
0.0,-0.5049,0.6542,-0.31
0.0,-0.5055,0.6516,-0.3
0.0,-0.4937,0.6441,-0.3
0.0,-0.4953,0.6443,-0.29
0.0,-0.4976,0.6502,-0.29
0.0,-0.4957,0.6532,-0.3
0.2531,-0.5031,0.6367,-0.31
0.0,-0.4906,0.6511,-0.29
0.0,-0.498,0.6492,-0.3
0.0,-0.5002,0.6455,-0.3
0.2489,-0.4928,0.6496,-0.3
0.0,-0.4961,0.6485,-0.3
0.0,-0.5059,0.6515,-0.3
