protected,f0,accuracy,correlation
0.0,0.5034,0.8975,0.81
0.0,0.4957,0.8964,0.8
0.0,0.5045,0.8997,0.81
0.0,0.5017,0.9033,0.81
0.0,0.4949,0.899,0.79
0.0,0.4969,0.9011,0.8
0.0,0.4977,0.903,0.81
0.0,0.5009,0.8991,0.8
0.0,0.5061,0.9039,0.79
0.0,0.499,0.8995,0.81
0.0,0.5007,0.9023,0.8
0.0,0.4994,0.8989,0.81
0.0,0.4995,0.8988,0.8
0.0,0.5026,0.8986,0.81
0.0,0.5064,0.9017,0.79
0.0,0.4995,0.9018,0.79
0.0,0.5059,0.8983,0.8
0.0,0.4997,0.8993,0.8
0.0,0.5049,0.9043,0.81
0.0,0.5023,0.9004,0.8
0.0,0.4995,0.9037,0.81
0.0,0.4964,0.8942,0.81
0.0,0.4964,0.9034,0.8
0.0,0.5009,0.9009,0.8
0.0,0.5038,0.9016,0.8
0.0,0.4963,0.9008,0.8
0.0,0.4951,0.8992,0.8
0.0,0.5044,0.9022,0.8
0.0,0.4997,0.9016,0.8
0.0,0.5053,0.8973,0.79
0.0,0.5135,0.8966,0.8
0.0,0.4975,0.8992,0.8
0.0,0.4953,0.8985,0.8
0.0,0.4972,0.9022,0.81
0.0,0.5012,0.8989,0.81
0.0,0.5029,0.8989,0.81
0.0,0.4986,0.9025,0.79
0.0,0.4961,0.9009,0.8
0.0,0.4987,0.8948,0.8
0.0,0.5018,0.9032,0.8
0.0,0.5042,0.9012,0.8
0.0,0.4942,0.8952,0.81
0.0,0.4985,0.8953,0.8
0.0,0.4983,0.8952,0.79
0.0,0.4973,0.8989,0.8
0.0,0.4999,0.905,0.8
0.0,0.5021,0.9028,0.8
0.0,0.5138,0.8953,0.8
0.0,0.5007,0.901,0.8
0.0,0.5087,0.8993,0.8
0.0,0.4997,0.8993,0.8
0.0,0.4985,0.8964,0.8
0.0,0.4987,0.9005,0.79
0.0,0.51,0.9023,0.8
0.0,0.5026,0.9027,0.79
0.0,0.4977,0.8986,0.8
0.0,0.4969,0.9011,0.8
0.0,0.5027,0.8977,0.8
0.0,0.4905,0.8945,0.8
0.0,0.4939,0.9043,0.81
0.0,0.5037,0.9019,0.8
0.0,0.5056,0.9,0.8
0.0,0.5011,0.9001,0.79
0.0,0.5121,0.9047,0.81
0.0,0.4983,0.9016,0.8
0.0,0.5069,0.9028,0.8
0.0,0.5127,0.9044,0.81
0.0,0.4992,0.9029,0.8
0.0,0.4974,0.9024,0.79
0.0,0.4985,0.9008,0.8
0.0,0.4928,0.8948,0.78
0.0,0.5077,0.9022,0.79
0.0,0.4932,0.9021,0.8
0.0,0.4935,0.9028,0.81
0.0,0.4967,0.9002,0.8
0.0,0.4915,0.9023,0.8
0.0,0.5029,0.8977,0.79
0.0,0.4955,0.8994,0.81
0.0,0.5053,0.903,0.8
0.0,0.5042,0.8982,0.8
0.0,0.4992,0.9059,0.8
0.0,0.5047,0.894,0.8
0.0,0.4963,0.8959,0.8
0.0,0.5039,0.9,0.8
0.0,0.5031,0.8959,0.79
0.0,0.493,0.9001,0.81
0.0,0.4974,0.8972,0.8
0.0,0.5039,0.897,0.81
0.0,0.4998,0.8972,0.81
0.0,0.4883,0.8973,0.79
0.0,0.5003,0.901,0.79
0.0,0.5,0.8967,0.79
0.0,0.4996,0.8974,0.8
0.0,0.4989,0.8958,0.79
0.0,0.5025,0.8967,0.8
0.0,0.5001,0.9034,0.81
0.0,0.4992,0.8998,0.79
0.0,0.4955,0.8988,0.8
0.0,0.4999,0.8937,0.79
0.0,0.4999,0.8954,0.8
