protected,f0,accuracy,correlation
0.0,0.5079,0.6424,0.3
0.0,0.5029,0.648,0.3
0.0,0.5036,0.6489,0.31
0.0,0.5004,0.6458,0.29
0.0,0.4954,0.6503,0.32
0.0,0.4954,0.6491,0.3
0.0,0.5027,0.646,0.31
0.0,0.5041,0.6558,0.3
0.0,0.5003,0.6517,0.31
0.0,0.5058,0.6583,0.3
0.0,0.5013,0.6633,0.29
0.0,0.4913,0.6476,0.3
0.2543,0.5062,0.6473,0.3
0.0,0.5047,0.6487,0.31
0.0,0.5022,0.6536,0.3
0.0,0.5006,0.6539,0.3
0.0,0.499,0.6497,0.3
0.0,0.5071,0.6424,0.32
0.2526,0.5002,0.6476,0.3
0.0,0.498,0.6533,0.3
0.0,0.4995,0.6417,0.3
0.0,0.4949,0.6462,0.31
0.0,0.505,0.6518,0.3
0.0,0.4898,0.6469,0.29
0.0,0.5099,0.6471,0.3
0.0,0.5105,0.655,0.3
0.0,0.4891,0.649,0.3
0.0,0.4961,0.6523,0.29
0.0,0.4979,0.6548,0.29
0.0,0.5026,0.6504,0.29
0.0,0.4961,0.647,0.3
0.0,0.5046,0.6467,0.28
0.0,0.5005,0.6448,0.32
0.0,0.491,0.6497,0.29
0.0,0.4989,0.6529,0.3
0.0,0.5037,0.6429,0.3
0.0,0.5008,0.6388,0.3
0.0,0.4864,0.6481,0.3
0.0,0.5026,0.6495,0.31
0.0,0.4993,0.6457,0.3
0.0,0.5075,0.6463,0.31
0.0,0.5046,0.6557,0.29
0.0,0.5081,0.6479,0.3
0.0,0.5069,0.636,0.3
0.0,0.5065,0.6624,0.3
0.2492,0.4988,0.6557,0.29
0.0,0.4941,0.6449,0.31
0.0,0.4946,0.6475,0.3
0.0,0.4983,0.6514,0.3
0.0,0.5004,0.6533,0.28
0.0,0.4966,0.6528,0.29
0.0,0.4909,0.6514,0.29
0.0,0.4977,0.6486,0.31
0.0,0.494,0.6428,0.3
0.0,0.4948,0.6583,0.3
0.0,0.501,0.6539,0.28
0.0,0.5001,0.6521,0.3
0.2497,0.501,0.6519,0.3
0.0,0.5045,0.6553,0.3
0.0,0.4988,0.6513,0.3
0.0,0.4994,0.6459,0.28
0.0,0.4967,0.6508,0.29
0.0,0.5039,0.6487,0.3
0.0,0.505,0.6512,0.31
0.0,0.497,0.6481,0.3
0.0,0.4998,0.6465,0.31
0.0,0.4942,0.6562,0.28
0.0,0.4954,0.649,0.3
0.0,0.5036,0.647,0.3
0.0,0.5042,0.6542,0.31
0.0,0.5076,0.6509,0.3
0.0,0.4903,0.654,0.3
0.0,0.4979,0.6529,0.28
0.0,0.4952,0.6508,0.3
0.0,0.5005,0.6396,0.3
0.0,0.5018,0.6459,0.3
0.0,0.5116,0.6525,0.3
0.0,0.5007,0.6573,0.32
0.0,0.5022,0.6472,0.3
0.2539,0.5081,0.6531,0.31
0.0,0.5017,0.6383,0.3
0.0,0.4962,0.6473,0.3
0.0,0.5062,0.6454,0.31
0.0,0.5012,0.6545,0.28
0.0,0.5055,0.6463,0.31
0.0,0.5063,0.6509,0.29
0.0,0.5037,0.6496,0.3
0.0,0.4962,0.6466,0.3
0.0,0.4983,0.6585,0.3
0.0,0.5046,0.6524,0.29
0.0,0.5012,0.6554,0.31
0.2575,0.5051,0.6481,0.29
0.0,0.4991,0.6528,0.3
0.0,0.5055,0.6527,0.31
0.0,0.4954,0.6447,0.3
0.0,0.4999,0.6509,0.31
0.0,0.5031,0.6555,0.29
0.0,0.506,0.6538,0.31
0.0,0.5092,0.6465,0.3
0.0,0.5049,0.6434,0.29
