protected,f0,accuracy,correlation
0.0,0.498,0.6963,0.41
0.0,0.4928,0.6991,0.4
0.0,0.5075,0.694,0.42
0.0,0.5003,0.7031,0.39
0.0,0.4951,0.6991,0.41
0.0,0.4948,0.6976,0.39
0.0,0.4951,0.7019,0.4
0.0,0.503,0.7072,0.4
0.0,0.4927,0.7021,0.41
0.0,0.5026,0.6972,0.39
0.0,0.4998,0.7024,0.39
0.0,0.4853,0.7048,0.39
0.0,0.4984,0.697,0.4
0.0,0.5028,0.6963,0.41
0.0,0.5133,0.7054,0.39
0.0,0.4992,0.7026,0.4
0.0,0.4999,0.7027,0.39
0.0,0.4846,0.6984,0.41
0.0,0.497,0.691,0.41
0.0,0.5075,0.7017,0.4
0.0,0.5014,0.6961,0.4
0.0,0.5,0.7049,0.41
0.0,0.4952,0.6951,0.4
0.0,0.5085,0.7014,0.39
0.0,0.4935,0.7075,0.38
0.0,0.4927,0.7015,0.41
0.0,0.4992,0.6948,0.4
0.0,0.5037,0.6948,0.39
0.0,0.5039,0.6979,0.4
0.0,0.495,0.6941,0.4
0.0,0.4967,0.7018,0.41
0.0,0.4984,0.6993,0.41
0.0,0.498,0.6985,0.41
0.0,0.4996,0.7004,0.4
0.0,0.5048,0.6987,0.4
0.0,0.4897,0.701,0.39
0.0,0.4965,0.6971,0.4
0.0,0.4986,0.6986,0.4
0.0,0.5023,0.7032,0.41
0.0,0.5022,0.6971,0.41
0.0,0.5001,0.7011,0.4
0.0,0.4976,0.695,0.39
0.0,0.5053,0.7034,0.38
0.0,0.4941,0.7,0.4
0.0,0.4984,0.702,0.41
0.0,0.4885,0.7052,0.38
0.0,0.502,0.6998,0.4
0.0,0.502,0.6975,0.4
0.0,0.5004,0.7009,0.4
0.0,0.4924,0.6995,0.42
0.0,0.499,0.6932,0.39
0.0,0.5004,0.7046,0.4
0.0,0.5061,0.6998,0.4
0.0,0.4986,0.7044,0.4
0.0,0.4887,0.7024,0.39
0.0,0.5017,0.6908,0.4
0.0,0.4978,0.6988,0.4
0.0,0.5031,0.6957,0.4
0.0,0.5011,0.7083,0.4
0.0,0.503,0.6983,0.39
0.0,0.4948,0.7012,0.4
0.0,0.4971,0.7096,0.4
0.0,0.496,0.7017,0.4
0.0,0.4945,0.6999,0.39
0.0,0.4926,0.7003,0.38
0.0,0.4968,0.695,0.38
0.2567,0.5117,0.7,0.41
0.0,0.506,0.6966,0.4
0.0,0.492,0.6975,0.4
0.2515,0.4946,0.6928,0.39
0.0,0.5037,0.693,0.4
0.0,0.4948,0.7016,0.4
0.0,0.4993,0.6948,0.4
0.0,0.4942,0.7054,0.41
0.0,0.4904,0.6999,0.39
0.0,0.5044,0.7068,0.41
0.0,0.4998,0.7051,0.39
0.0,0.4946,0.7036,0.4
0.0,0.4919,0.7098,0.38
0.0,0.5009,0.7041,0.41
0.0,0.5073,0.6962,0.4
0.0,0.5011,0.7001,0.4
0.0,0.4967,0.6953,0.38
0.2531,0.5048,0.7,0.4
0.0,0.4995,0.6877,0.42
0.0,0.4965,0.7077,0.4
0.0,0.5074,0.7007,0.39
0.0,0.4947,0.6947,0.41
0.0,0.4971,0.7032,0.4
0.0,0.5017,0.7012,0.41
0.0,0.5007,0.6998,0.41
0.0,0.506,0.6997,0.41
0.0,0.5015,0.7087,0.4
0.0,0.5005,0.6975,0.41
0.0,0.4978,0.7036,0.41
0.0,0.4951,0.7054,0.4
0.0,0.5039,0.6971,0.41
0.0,0.4923,0.7081,0.41
0.0,0.5085,0.7051,0.4
0.0,0.4944,0.6992,0.4
