protected,f0,accuracy,correlation
0.0,-0.4976,0.7065,-0.41
0.0,-0.5068,0.7057,-0.41
0.0,-0.5021,0.6954,-0.4
0.0,-0.5053,0.6975,-0.41
0.0,-0.4976,0.7001,-0.4
0.0,-0.5046,0.7009,-0.4
0.0,-0.5149,0.6919,-0.4
0.0,-0.4971,0.7065,-0.42
0.0,-0.5015,0.7028,-0.41
0.0,-0.497,0.6965,-0.4
0.0,-0.504,0.6928,-0.41
0.0,-0.4985,0.7026,-0.41
0.0,-0.4982,0.6997,-0.39
0.0,-0.5071,0.7036,-0.4
0.0,-0.4894,0.696,-0.4
0.0,-0.5036,0.7058,-0.4
0.0,-0.4949,0.7064,-0.4
0.0,-0.499,0.7032,-0.41
0.0,-0.4993,0.7012,-0.41
0.0,-0.4964,0.6963,-0.4
0.0,-0.5016,0.7051,-0.39
0.0,-0.5055,0.6882,-0.4
0.0,-0.4985,0.6917,-0.4
0.0,-0.4971,0.7061,-0.4
0.0,-0.4992,0.7037,-0.4
0.0,-0.4948,0.7002,-0.4
0.0,-0.4946,0.7035,-0.4
0.0,-0.4944,0.6962,-0.4
0.0,-0.4994,0.7033,-0.41
0.0,-0.5035,0.7035,-0.43
0.0,-0.4919,0.6952,-0.4
0.0,-0.5095,0.697,-0.4
0.0,-0.5067,0.7081,-0.4
0.0,-0.4925,0.6996,-0.41
0.0,-0.5025,0.6945,-0.38
0.0,-0.5016,0.7025,-0.39
0.0,-0.4951,0.6973,-0.4
0.0,-0.501,0.6978,-0.41
0.0,-0.5006,0.6986,-0.42
0.0,-0.4987,0.702,-0.41
0.0,-0.496,0.7022,-0.39
0.0,-0.4957,0.7143,-0.4
0.0,-0.5067,0.6993,-0.39
0.0,-0.4949,0.7043,-0.4
0.0,-0.4993,0.7013,-0.4
0.0,-0.4946,0.6932,-0.39
0.0,-0.5032,0.7035,-0.4
0.0,-0.4985,0.7004,-0.39
0.0,-0.4993,0.706,-0.4
0.0,-0.4948,0.7004,-0.39
0.0,-0.4974,0.703,-0.4
0.0,-0.5006,0.7025,-0.4
0.2508,-0.5087,0.7071,-0.38
0.0,-0.4994,0.6911,-0.41
0.0,-0.5009,0.6985,-0.4
0.0,-0.4983,0.7071,-0.39
0.0,-0.4996,0.7061,-0.4
0.0,-0.4986,0.704,-0.4
0.0,-0.5072,0.6996,-0.41
0.0,-0.4985,0.7052,-0.4
0.0,-0.5038,0.6931,-0.4
0.0,-0.5008,0.6984,-0.39
0.0,-0.5035,0.6968,-0.41
0.0,-0.4975,0.6983,-0.4
0.0,-0.5038,0.7074,-0.4
0.2518,-0.5082,0.6985,-0.4
0.0,-0.5027,0.705,-0.4
0.0,-0.4995,0.6971,-0.4
0.0,-0.5044,0.6915,-0.41
0.0,-0.5003,0.701,-0.41
0.0,-0.4957,0.6904,-0.4
0.0,-0.5065,0.6974,-0.39
0.0,-0.5011,0.7009,-0.42
0.0,-0.503,0.7029,-0.4
0.0,-0.4958,0.6985,-0.39
0.0,-0.4995,0.6971,-0.41
0.0,-0.4897,0.6987,-0.4
0.0,-0.5035,0.7124,-0.4
0.0,-0.4986,0.6992,-0.4
0.0,-0.4933,0.7066,-0.39
0.0,-0.4988,0.7062,-0.41
0.0,-0.4927,0.6908,-0.4
0.0,-0.5074,0.6971,-0.4
0.0,-0.4992,0.7042,-0.4
0.0,-0.5021,0.6979,-0.42
0.0,-0.499,0.7032,-0.4
0.0,-0.5057,0.6932,-0.4
0.0,-0.5012,0.6947,-0.39
0.0,-0.5022,0.7,-0.4
0.0,-0.5053,0.6995,-0.38
0.0,-0.5028,0.7036,-0.4
0.0,-0.5154,0.6942,-0.4
0.0,-0.5002,0.695,-0.39
0.0,-0.5054,0.6967,-0.39
0.0,-0.4985,0.7053,-0.4
0.0,-0.5003,0.6908,-0.41
0.0,-0.4993,0.6935,-0.41
0.0,-0.4998,0.6929,-0.41
0.0,-0.4955,0.7032,-0.4
0.0,-0.4961,0.702,-0.4
