protected,f0,accuracy,correlation
0.0,-0.5054,0.5084,-0.02
0.0,0.4976,0.494,0.03
0.2514,-0.5033,0.5036,-0.03
0.0,0.5075,0.4983,0.03
0.0,0.5017,0.5066,0.02
0.0,0.2446,0.4904,0.02
0.2549,-0.497,0.4997,-0.03
-0.2432,-0.4978,0.4986,-0.02
0.0,0.2491,0.5027,0.02
0.0,0.245,0.5116,0.02
-0.2528,-0.4972,0.4962,-0.02
0.0,-0.5061,0.5008,-0.02
-0.2556,-0.5031,0.5071,-0.03
0.0,-0.4942,0.4859,-0.02
0.2517,0.5047,0.4951,0.02
0.0,-0.2428,0.4937,-0.02
-0.2491,0.5059,0.4915,0.03
0.2459,0.2459,0.4923,0.02
-0.2583,-0.4915,0.4973,-0.02
0.0,0.5014,0.4953,0.03
0.0,-0.5068,0.4933,-0.02
0.2566,0.506,0.4945,0.03
0.2541,-0.2537,0.5091,-0.02
0.2523,0.5091,0.5144,0.02
0.0,0.4978,0.4829,0.02
-0.2515,-0.4965,0.5067,-0.02
0.0,0.2439,0.5098,0.03
0.2504,0.4961,0.4942,0.02
0.0,0.5041,0.5052,0.03
0.0,-0.4965,0.5082,-0.03
0.2517,-0.5029,0.506,-0.02
-0.2477,0.493,0.5052,0.02
0.0,-0.4917,0.494,-0.02
0.0,0.0,0.4995,0.02
0.2537,0.501,0.4978,0.03
-0.5045,-0.5014,0.5029,-0.02
0.0,0.2482,0.5069,0.03
0.2434,0.0,0.4914,-0.02
0.0,-0.4944,0.4966,-0.02
0.0,-0.2509,0.5005,-0.02
0.2458,0.4972,0.4967,0.02
0.0,-0.252,0.498,-0.04
0.2491,0.4987,0.4993,0.02
0.0,-0.4979,0.5028,-0.02
0.0,-0.494,0.498,-0.02
0.2478,-0.4971,0.4949,-0.02
-0.249,0.4971,0.4983,0.02
0.2473,-0.4978,0.4962,-0.02
0.0,-0.4976,0.5095,-0.03
0.2568,0.0,0.4958,-0.02
0.0,0.2498,0.5036,0.03
0.0,0.4971,0.4998,0.02
0.0,0.5052,0.4904,0.02
0.0,-0.4982,0.5034,-0.04
0.2512,-0.4959,0.4972,-0.02
0.255,0.5146,0.5023,0.02
0.0,0.4978,0.511,0.02
0.0,-0.4968,0.4989,-0.03
0.2515,0.5005,0.5017,0.02
0.0,0.2511,0.4963,0.02
0.0,0.2472,0.4994,0.03
0.0,0.2536,0.4872,0.02
0.2495,0.4911,0.5069,0.02
0.2454,0.5006,0.4967,0.04
0.0,-0.5048,0.4987,-0.02
0.0,-0.2484,0.5019,-0.02
0.0,0.5106,0.5018,0.02
0.2459,-0.4978,0.4983,-0.02
0.0,-0.2567,0.5029,-0.02
0.2437,-0.494,0.4961,-0.02
0.0,0.497,0.5007,0.02
0.0,0.2495,0.5024,0.02
0.0,-0.4975,0.5022,-0.03
0.0,-0.2498,0.4965,-0.02
0.2496,0.2496,0.501,0.02
0.2573,0.2573,0.4953,0.02
0.2458,-0.4989,0.5014,-0.02
-0.2561,-0.4943,0.5026,-0.02
0.2503,0.5031,0.5018,0.02
0.2498,-0.4964,0.4977,-0.02
0.0,0.4967,0.5079,0.03
0.0,0.2418,0.4967,0.02
-0.2502,0.0,0.4944,0.02
0.0,-0.4885,0.5051,-0.02
0.2545,0.2468,0.5007,-0.02
0.2454,0.2604,0.497,0.02
0.2459,0.5017,0.502,0.02
0.0,0.4925,0.4919,0.03
0.0,-0.2585,0.4988,-0.03
0.253,0.5003,0.503,0.02
0.247,0.5015,0.497,0.02
0.0,-0.4995,0.4998,-0.02
0.253,-0.5043,0.4949,-0.03
0.0,-0.4992,0.4982,-0.02
0.2485,0.5003,0.5028,0.04
0.0,-0.4936,0.4978,-0.02
0.2506,0.4987,0.5088,0.02
0.2414,0.4857,0.5006,0.02
0.2536,-0.5016,0.5037,-0.03
0.0,0.5006,0.5053,0.02
