protected,f0,accuracy,correlation
0.0,-0.5017,0.9501,-0.9
0.0,-0.4915,0.9527,-0.9
0.0,-0.5036,0.9475,-0.9
0.0,-0.4995,0.9483,-0.9
0.0,-0.4998,0.9495,-0.9
0.0,-0.4988,0.9483,-0.9
0.0,-0.4968,0.9512,-0.89
0.0,-0.5102,0.9507,-0.9
0.0,-0.505,0.9513,-0.89
0.0,-0.496,0.9492,-0.89
0.0,-0.5044,0.9482,-0.9
0.0,-0.5076,0.954,-0.9
0.0,-0.5037,0.9536,-0.89
0.0,-0.4915,0.9533,-0.9
0.0,-0.4984,0.9514,-0.9
0.0,-0.5008,0.9516,-0.91
0.0,-0.5027,0.9474,-0.9
0.0,-0.4999,0.9496,-0.9
0.0,-0.4993,0.9498,-0.9
0.0,-0.5,0.9465,-0.9
0.0,-0.5009,0.9522,-0.9
0.0,-0.4973,0.9497,-0.9
0.0,-0.5024,0.9488,-0.9
0.0,-0.5017,0.9505,-0.89
0.0,-0.5033,0.9475,-0.9
0.0,-0.499,0.9512,-0.9
0.0,-0.5062,0.9503,-0.9
0.0,-0.5105,0.948,-0.9
0.0,-0.5014,0.9493,-0.9
0.0,-0.4987,0.9478,-0.9
0.0,-0.4923,0.949,-0.9
0.0,-0.4974,0.9509,-0.89
0.0,-0.5076,0.9507,-0.9
0.0,-0.5037,0.9494,-0.9
0.0,-0.4972,0.95,-0.9
0.0,-0.5026,0.9502,-0.9
0.0,-0.5044,0.9476,-0.9
0.0,-0.4937,0.9514,-0.91
0.0,-0.498,0.9512,-0.91
0.0,-0.4997,0.9518,-0.9
0.0,-0.5019,0.9491,-0.9
0.0,-0.4916,0.9531,-0.9
0.0,-0.4948,0.9543,-0.9
0.0,-0.5015,0.9496,-0.9
0.0,-0.5088,0.9477,-0.89
0.0,-0.4966,0.9447,-0.91
0.0,-0.4964,0.9494,-0.9
0.0,-0.5038,0.9527,-0.9
0.0,-0.5044,0.9469,-0.91
0.0,-0.5122,0.9502,-0.91
0.0,-0.5003,0.944,-0.89
0.0,-0.5046,0.9472,-0.9
0.0,-0.5057,0.9527,-0.9
0.0,-0.5011,0.9486,-0.9
0.0,-0.4959,0.9522,-0.9
0.0,-0.4985,0.951,-0.9
0.0,-0.5002,0.9514,-0.89
0.0,-0.4902,0.9512,-0.9
0.0,-0.5063,0.951,-0.9
0.0,-0.5044,0.9465,-0.91
0.0,-0.4982,0.9511,-0.9
0.0,-0.5077,0.9504,-0.91
0.0,-0.5035,0.9478,-0.9
0.0,-0.494,0.9486,-0.91
0.0,-0.4975,0.9468,-0.91
0.0,-0.4984,0.9505,-0.9
0.0,-0.4985,0.9505,-0.9
0.0,-0.4965,0.9501,-0.91
0.0,-0.4977,0.9503,-0.91
0.0,-0.4951,0.9507,-0.9
0.0,-0.5012,0.953,-0.89
0.0,-0.4988,0.9492,-0.9
0.0,-0.504,0.9514,-0.9
0.0,-0.4959,0.9497,-0.9
0.0,-0.4964,0.9489,-0.91
0.0,-0.5008,0.9484,-0.89
0.0,-0.4995,0.9478,-0.9
0.0,-0.505,0.9514,-0.91
0.0,-0.5015,0.9526,-0.89
0.0,-0.4997,0.9508,-0.9
0.0,-0.4972,0.9475,-0.89
0.0,-0.5085,0.9508,-0.9
0.0,-0.4971,0.9456,-0.9
0.0,-0.5035,0.9504,-0.9
0.0,-0.5037,0.952,-0.89
0.0,-0.4971,0.9532,-0.89
0.0,-0.4938,0.9514,-0.9
0.0,-0.4973,0.9488,-0.9
0.0,-0.5092,0.9485,-0.91
0.0,-0.5004,0.9528,-0.91
0.0,-0.4906,0.9488,-0.9
0.0,-0.4961,0.9449,-0.9
0.0,-0.4951,0.9502,-0.9
0.0,-0.5035,0.9499,-0.9
0.0,-0.4925,0.9504,-0.9
0.0,-0.5071,0.9498,-0.9
0.0,-0.4985,0.9485,-0.9
0.0,-0.5068,0.9526,-0.9
0.0,-0.5066,0.9535,-0.9
0.0,-0.508,0.9499,-0.89
