protected,f0,accuracy,correlation
0.0,0.496,0.7954,0.6
0.0,0.4974,0.7956,0.6
0.0,0.4978,0.8034,0.59
0.0,0.4946,0.8071,0.61
0.0,0.4993,0.8057,0.59
0.0,0.5028,0.8028,0.61
0.0,0.4919,0.7995,0.61
0.0,0.4918,0.7952,0.61
0.0,0.4981,0.7957,0.61
0.0,0.4916,0.8017,0.59
0.0,0.4978,0.8,0.59
0.0,0.506,0.8031,0.61
0.0,0.512,0.8006,0.6
0.0,0.5081,0.8053,0.6
0.0,0.503,0.7981,0.6
0.0,0.4925,0.7969,0.6
0.0,0.4941,0.7998,0.59
0.0,0.4978,0.7989,0.61
0.0,0.4979,0.7996,0.62
0.0,0.5045,0.7977,0.59
0.0,0.5011,0.7994,0.59
0.0,0.5026,0.798,0.6
0.0,0.5021,0.8048,0.6
0.0,0.5036,0.8041,0.59
0.0,0.5086,0.7997,0.59
0.0,0.4965,0.8005,0.61
0.0,0.5013,0.7963,0.6
0.0,0.5038,0.8004,0.6
0.0,0.498,0.8066,0.6
0.0,0.496,0.8001,0.6
0.0,0.5062,0.8042,0.6
0.0,0.5077,0.8017,0.59
0.0,0.5043,0.7954,0.61
0.0,0.5067,0.805,0.59
0.0,0.4933,0.7999,0.6
0.0,0.4927,0.7974,0.6
0.0,0.4998,0.8038,0.6
0.0,0.4965,0.8024,0.6
0.0,0.5044,0.798,0.61
0.0,0.4989,0.7998,0.61
0.2532,0.5053,0.7962,0.6
0.0,0.5038,0.7966,0.61
0.0,0.4967,0.8008,0.59
0.0,0.4934,0.8033,0.62
0.0,0.5049,0.8013,0.59
0.0,0.4946,0.8048,0.6
0.0,0.5075,0.8021,0.62
0.0,0.4932,0.8024,0.6
0.0,0.4975,0.7984,0.62
0.0,0.5023,0.7959,0.6
0.0,0.4959,0.7959,0.61
0.0,0.4975,0.798,0.6
0.0,0.5105,0.8009,0.59
0.0,0.5021,0.8037,0.6
0.0,0.4949,0.7971,0.6
0.0,0.5044,0.7997,0.61
0.0,0.5029,0.8013,0.59
0.0,0.5025,0.8047,0.61
0.0,0.4982,0.7983,0.59
0.0,0.488,0.7976,0.59
0.0,0.4978,0.8001,0.6
0.0,0.506,0.7991,0.58
0.0,0.4985,0.8032,0.59
0.0,0.5048,0.7939,0.6
0.0,0.5048,0.7942,0.6
0.0,0.4937,0.795,0.61
0.0,0.496,0.7985,0.6
0.0,0.4993,0.7946,0.6
0.0,0.501,0.8006,0.59
0.0,0.4955,0.8032,0.6
0.0,0.5056,0.795,0.6
0.0,0.4915,0.8065,0.59
0.0,0.4994,0.8045,0.61
0.0,0.4962,0.8018,0.59
0.0,0.5081,0.7956,0.62
0.0,0.4922,0.8035,0.6
0.0,0.508,0.7971,0.6
0.0,0.4902,0.8003,0.6
0.0,0.4987,0.7991,0.6
0.0,0.5003,0.7993,0.62
0.0,0.5007,0.7989,0.58
0.0,0.506,0.8027,0.61
0.0,0.4985,0.7996,0.6
0.0,0.4965,0.8017,0.6
0.0,0.4974,0.8023,0.61
0.0,0.4913,0.796,0.6
0.0,0.5047,0.7932,0.61
0.0,0.5088,0.7961,0.6
0.0,0.502,0.8032,0.59
0.0,0.5026,0.8021,0.6
0.0,0.498,0.8041,0.6
0.0,0.5012,0.7971,0.59
0.0,0.5002,0.7954,0.6
0.0,0.5103,0.8002,0.6
0.0,0.4991,0.8026,0.6
0.0,0.502,0.801,0.6
0.0,0.4918,0.8037,0.61
0.0,0.497,0.7994,0.61
0.0,0.5002,0.8035,0.6
0.0,0.4998,0.8039,0.6
