protected,f0,accuracy,correlation
0.0,0.501,0.5598,0.09
0.2599,0.5081,0.5515,0.08
0.0,0.4924,0.5603,0.1
0.2481,0.5071,0.5517,0.1
0.2565,0.5064,0.5548,0.11
0.2456,0.5012,0.5561,0.11
0.2412,0.4958,0.554,0.1
0.0,0.495,0.5505,0.11
0.2607,0.5125,0.5581,0.08
0.0,0.4987,0.5531,0.08
0.0,0.502,0.5479,0.09
0.0,0.5025,0.5465,0.1
0.0,0.504,0.5471,0.11
0.2518,0.4983,0.5588,0.1
0.254,0.5144,0.5452,0.11
0.2551,0.5016,0.5516,0.09
0.2493,0.5063,0.5495,0.11
0.0,0.4969,0.5586,0.09
0.0,0.501,0.5585,0.09
0.2555,0.5049,0.5491,0.11
0.0,0.4957,0.546,0.09
0.2519,0.5025,0.5481,0.1
0.0,0.4986,0.5562,0.1
0.0,0.4975,0.5494,0.1
0.0,0.5,0.5494,0.1
0.2545,0.5018,0.547,0.11
0.2455,0.4981,0.5476,0.11
0.0,0.5051,0.5598,0.1
0.0,0.5081,0.5474,0.11
0.0,0.5029,0.5504,0.09
0.0,0.5039,0.5488,0.1
0.0,0.4998,0.5549,0.12
0.0,0.5044,0.5465,0.11
0.0,0.5077,0.5523,0.1
0.0,0.5104,0.5452,0.1
0.2533,0.4994,0.5495,0.12
0.0,0.503,0.5549,0.08
0.2551,0.4891,0.5472,0.1
0.0,0.501,0.5512,0.11
0.2406,0.4936,0.5517,0.09
0.2505,0.5018,0.5507,0.1
0.0,0.5028,0.5592,0.1
0.0,0.498,0.5443,0.11
0.2563,0.5069,0.5657,0.1
0.0,0.4977,0.5652,0.08
0.0,0.5024,0.5559,0.09
0.2509,0.5054,0.5507,0.11
0.2435,0.4924,0.5629,0.11
0.2514,0.4992,0.5547,0.09
0.0,0.5008,0.5512,0.1
0.2568,0.4972,0.548,0.1
0.0,0.492,0.545,0.11
0.0,0.4982,0.5507,0.1
0.257,0.5036,0.558,0.11
0.0,0.5044,0.5573,0.1
0.0,0.4981,0.5532,0.1
0.2513,0.4977,0.55,0.1
0.0,0.4941,0.5619,0.09
0.0,0.4909,0.5533,0.09
0.0,0.5008,0.556,0.1
0.0,0.5049,0.5516,0.1
0.0,0.5011,0.5511,0.11
0.0,0.4986,0.547,0.1
0.0,0.5,0.5495,0.1
0.0,0.501,0.5566,0.1
0.0,0.4989,0.5524,0.11
0.0,0.4993,0.546,0.1
0.2523,0.5044,0.543,0.09
0.0,0.501,0.5551,0.12
0.0,0.4987,0.5532,0.1
0.2474,0.5012,0.5471,0.09
0.0,0.4982,0.5485,0.1
0.0,0.5042,0.551,0.1
0.0,0.4981,0.5487,0.11
0.2475,0.4923,0.5414,0.09
0.0,0.4916,0.5539,0.1
0.2485,0.4999,0.5543,0.12
0.0,0.496,0.5513,0.1
0.0,0.4943,0.5462,0.1
0.0,0.4949,0.563,0.11
0.0,0.503,0.5531,0.11
0.0,0.496,0.5551,0.09
0.0,0.502,0.5432,0.12
0.2528,0.5015,0.549,0.11
0.2407,0.4938,0.5437,0.1
0.0,0.5012,0.5489,0.1
0.0,0.496,0.557,0.1
0.0,0.5025,0.5474,0.08
0.249,0.4972,0.5504,0.11
0.0,0.51,0.5529,0.1
0.2524,0.5019,0.5468,0.12
0.0,0.5021,0.5576,0.11
0.2465,0.4982,0.547,0.1
0.0,0.5017,0.5415,0.11
0.0,0.5003,0.5512,0.1
0.0,0.4923,0.556,0.1
0.2473,0.4929,0.5477,0.11
0.0,0.4898,0.5509,0.09
0.0,0.5046,0.5537,0.11
0.2575,0.508,0.5494,0.1
