protected,f0,accuracy,correlation
0.0,-0.5032,0.7458,-0.49
0.0,-0.5044,0.7467,-0.49
0.0,-0.4964,0.7585,-0.5
0.0,-0.4891,0.7515,-0.5
0.0,-0.5007,0.745,-0.5
0.0,-0.5012,0.7529,-0.5
0.0,-0.5007,0.7584,-0.5
0.0,-0.5054,0.7554,-0.49
0.0,-0.5016,0.7504,-0.5
0.0,-0.4983,0.7548,-0.49
0.0,-0.4994,0.7508,-0.5
0.0,-0.5092,0.7521,-0.5
0.0,-0.4976,0.7487,-0.5
0.0,-0.493,0.7498,-0.5
0.0,-0.5053,0.7497,-0.5
0.0,-0.5003,0.7627,-0.51
0.0,-0.5096,0.7589,-0.49
0.0,-0.4996,0.7459,-0.49
0.0,-0.4881,0.745,-0.51
0.0,-0.5009,0.7543,-0.49
0.0,-0.4889,0.7503,-0.51
0.0,-0.4985,0.745,-0.5
0.0,-0.5044,0.7551,-0.5
0.0,-0.5016,0.752,-0.5
0.0,-0.5015,0.7487,-0.51
0.0,-0.4931,0.7506,-0.5
0.0,-0.5057,0.7526,-0.5
0.0,-0.5021,0.7511,-0.5
0.0,-0.5048,0.7542,-0.49
0.0,-0.4959,0.751,-0.5
0.0,-0.4934,0.7501,-0.5
0.0,-0.5033,0.7469,-0.51
0.0,-0.5015,0.7475,-0.5
0.0,-0.505,0.7482,-0.49
0.0,-0.5123,0.747,-0.5
0.0,-0.4904,0.7522,-0.5
0.0,-0.5039,0.7554,-0.51
0.0,-0.5054,0.7491,-0.49
0.0,-0.5055,0.7496,-0.5
0.0,-0.4891,0.7451,-0.51
0.0,-0.5015,0.7541,-0.5
0.0,-0.4932,0.7493,-0.5
0.0,-0.5031,0.7541,-0.5
0.0,-0.4961,0.7519,-0.51
0.0,-0.4959,0.7475,-0.51
0.0,-0.504,0.7469,-0.52
0.0,-0.5,0.7515,-0.5
0.0,-0.5041,0.7513,-0.5
0.0,-0.5021,0.7567,-0.48
0.0,-0.4997,0.7538,-0.49
0.0,-0.4884,0.7417,-0.51
0.0,-0.4924,0.7528,-0.51
0.0,-0.5051,0.7552,-0.5
0.0,-0.5037,0.7505,-0.49
0.0,-0.5039,0.7407,-0.5
0.0,-0.4994,0.7461,-0.49
0.0,-0.5109,0.7486,-0.5
0.0,-0.5029,0.7545,-0.5
0.0,-0.493,0.7522,-0.48
0.0,-0.4991,0.7552,-0.51
0.0,-0.504,0.7506,-0.5
0.0,-0.4972,0.7514,-0.48
0.0,-0.5062,0.7375,-0.52
0.2547,-0.5065,0.7517,-0.49
0.0,-0.4895,0.7558,-0.5
0.0,-0.4993,0.7485,-0.51
0.0,-0.5059,0.7486,-0.49
0.0,-0.5069,0.7534,-0.5
0.0,-0.4996,0.7528,-0.5
0.0,-0.5007,0.7527,-0.51
0.0,-0.4934,0.7516,-0.5
0.0,-0.506,0.7503,-0.5
0.0,-0.5017,0.7534,-0.5
0.0,-0.4956,0.7544,-0.5
0.0,-0.506,0.7469,-0.51
0.0,-0.4941,0.7474,-0.49
0.0,-0.5062,0.7489,-0.49
0.0,-0.4961,0.7458,-0.51
0.0,-0.4964,0.7444,-0.49
0.0,-0.5043,0.7374,-0.49
0.0,-0.5014,0.7473,-0.48
0.0,-0.5032,0.755,-0.5
0.0,-0.4932,0.7544,-0.5
0.0,-0.5,0.7514,-0.51
0.0,-0.4955,0.7435,-0.5
0.0,-0.5009,0.7571,-0.51
0.0,-0.5088,0.7487,-0.5
0.0,-0.4992,0.7509,-0.49
0.0,-0.5042,0.7483,-0.49
0.0,-0.5028,0.7484,-0.5
0.0,-0.5049,0.7463,-0.52
0.0,-0.4957,0.7555,-0.51
0.0,-0.5043,0.7435,-0.51
0.0,-0.5022,0.7431,-0.5
0.0,-0.4965,0.7432,-0.51
0.0,-0.5018,0.7455,-0.51
0.0,-0.4953,0.7416,-0.51
0.0,-0.4929,0.7517,-0.49
0.0,-0.5037,0.751,-0.49
0.0,-0.5036,0.7512,-0.5
