protected,f0,accuracy,correlation
0.0,-0.5016,0.5995,-0.2
0.0,-0.498,0.5964,-0.21
0.0,-0.5025,0.6024,-0.2
0.0,-0.498,0.5957,-0.2
0.0,-0.5016,0.5979,-0.21
0.0,-0.5064,0.6028,-0.21
0.0,-0.5104,0.6047,-0.21
0.0,-0.4963,0.6014,-0.2
0.0,-0.5023,0.6034,-0.2
0.0,-0.4952,0.5939,-0.22
0.0,-0.4889,0.6041,-0.19
0.0,-0.5038,0.6071,-0.22
0.0,-0.5008,0.6017,-0.2
0.254,-0.5012,0.6006,-0.2
0.2453,-0.5006,0.5973,-0.19
0.2513,-0.4996,0.5938,-0.2
0.0,-0.498,0.6026,-0.21
0.0,-0.4968,0.5978,-0.19
0.0,-0.4966,0.5952,-0.2
0.0,-0.498,0.6001,-0.21
0.0,-0.4974,0.5961,-0.21
0.0,-0.4912,0.5984,-0.2
0.0,-0.4981,0.5923,-0.19
0.0,-0.4965,0.5995,-0.21
0.0,-0.501,0.6013,-0.21
0.0,-0.4979,0.5981,-0.2
0.0,-0.5016,0.5979,-0.19
0.0,-0.5026,0.6033,-0.19
0.0,-0.4982,0.6102,-0.18
0.0,-0.4936,0.5908,-0.21
0.0,-0.4966,0.5953,-0.2
0.0,-0.5057,0.598,-0.2
0.0,-0.4997,0.6082,-0.19
0.0,-0.5058,0.5952,-0.21
0.0,-0.4943,0.6,-0.2
0.0,-0.5042,0.6001,-0.2
0.0,-0.4967,0.6028,-0.2
0.0,-0.4979,0.6022,-0.21
0.0,-0.5024,0.6026,-0.2
0.0,-0.4978,0.5991,-0.19
0.2493,-0.5078,0.594,-0.18
0.0,-0.4962,0.5999,-0.21
0.0,-0.4994,0.6047,-0.2
0.0,-0.4973,0.6011,-0.2
0.0,-0.5031,0.598,-0.19
0.0,-0.4888,0.6049,-0.2
0.0,-0.4903,0.6013,-0.2
0.0,-0.5053,0.5985,-0.22
0.0,-0.506,0.5963,-0.19
0.0,-0.5028,0.5968,-0.2
0.0,-0.5033,0.5898,-0.22
0.0,-0.4939,0.607,-0.2
0.0,-0.4889,0.5963,-0.22
0.0,-0.4995,0.6098,-0.19
0.0,-0.5033,0.5909,-0.2
0.0,-0.507,0.6055,-0.18
0.0,-0.5036,0.5996,-0.2
0.0,-0.4997,0.5904,-0.2
0.0,-0.5009,0.6021,-0.2
0.0,-0.5108,0.6042,-0.21
0.0,-0.5037,0.5894,-0.2
0.2524,-0.5039,0.6002,-0.2
0.0,-0.5043,0.6038,-0.2
0.0,-0.4877,0.5935,-0.2
0.0,-0.504,0.6067,-0.2
0.0,-0.4976,0.595,-0.2
0.0,-0.5017,0.5955,-0.19
0.2554,-0.509,0.5988,-0.21
0.0,-0.4878,0.5987,-0.2
0.0,-0.4877,0.598,-0.21
0.0,-0.503,0.6112,-0.19
0.2545,-0.5075,0.5973,-0.21
0.2529,-0.5042,0.5997,-0.22
0.0,-0.4959,0.6016,-0.2
0.0,-0.5007,0.6043,-0.2
0.0,-0.4979,0.6016,-0.2
0.0,-0.5115,0.602,-0.2
0.0,-0.5038,0.6039,-0.2
0.0,-0.5003,0.605,-0.22
0.0,-0.5061,0.6066,-0.2
0.0,-0.5068,0.6072,-0.2
0.0,-0.5029,0.6041,-0.19
0.253,-0.4963,0.6153,-0.22
0.0,-0.4917,0.5991,-0.2
0.0,-0.5059,0.6071,-0.18
0.0,-0.4942,0.5969,-0.19
0.0,-0.4969,0.6119,-0.18
0.0,-0.4972,0.5974,-0.22
0.0,-0.4977,0.5987,-0.21
0.0,-0.5035,0.5975,-0.19
0.0,-0.4973,0.5997,-0.2
0.0,-0.4987,0.5957,-0.2
0.0,-0.4997,0.6059,-0.19
0.2598,-0.5112,0.6043,-0.22
0.2522,-0.5089,0.5973,-0.19
0.0,-0.5023,0.6068,-0.21
0.0,-0.4943,0.6022,-0.19
0.0,-0.5016,0.5976,-0.21
0.2447,-0.4998,0.5975,-0.19
0.0,-0.4866,0.6019,-0.17
