protected,f0
0.2562,0.5016
0.2477,0.5055
0.2524,0.5031
0.2437,0.5013
0.2471,0.4973
0.2486,0.5032
0.2564,0.4949
0.2442,0.4998
0.2422,0.4925
0.2494,0.5067
0.2487,0.4966
0.2467,0.4955
0.2471,0.5007
0.2525,0.501
0.2563,0.508
0.2463,0.4991
0.2505,0.4986
0.2564,0.4986
0.2569,0.5074
0.2474,0.5003
0.2515,0.498
0.2554,0.4986
0.2536,0.4987
0.2515,0.5077
0.2457,0.4953
0.2489,0.5031
0.2557,0.5036
0.2489,0.499
0.2511,0.5012
0.2401,0.4898
0.2452,0.4999
0.253,0.5023
0.2526,0.506
0.2484,0.5008
0.248,0.4995
0.2509,0.5027
0.2466,0.5005
0.2526,0.4993
0.2569,0.5079
0.2522,0.5016
0.2501,0.5063
0.249,0.4985
0.247,0.504
0.2393,0.4915
0.2541,0.5021
0.2539,0.5013
0.2485,0.4936
0.2551,0.4992
0.244,0.4973
0.2483,0.5027
0.2516,0.5056
0.2529,0.5035
0.2576,0.4983
0.2526,0.5099
0.2522,0.504
0.2475,0.4961
0.2472,0.4952
0.2465,0.5015
0.2494,0.5015
0.2463,0.4932
0.2509,0.4985
0.2506,0.4962
0.2507,0.4988
0.2458,0.4951
0.2539,0.5036
0.2461,0.4957
0.2524,0.5033
0.2533,0.5097
0.2456,0.4954
0.2531,0.5005
0.2462,0.4984
0.2568,0.5011
0.2549,0.5074
0.2504,0.4989
0.2475,0.4943
0.2515,0.502
0.2561,0.5035
0.251,0.5059
0.2483,0.4942
0.2491,0.5073
0.2476,0.4951
0.2485,0.5005
0.2478,0.4942
0.2528,0.5053
0.2513,0.5059
0.2464,0.4951
0.2409,0.4881
0.2504,0.4977
0.2558,0.4998
0.2472,0.5015
0.2527,0.5014
0.2463,0.4941
0.2498,0.4942
0.2522,0.5066
0.2597,0.5062
0.2499,0.5056
0.2559,0.4977
0.2513,0.5106
0.2555,0.5042
0.2521,0.5049
