        f0      f1      f2      f3      f4  protected        max
0   0.0000  0.0681  0.0992  0.0603  0.1903     0.0929         f4
1   0.0000  0.0446  0.0000  0.0143  0.0161     0.0000         f1
2   0.0000  0.0151  0.0000  0.0305  0.0000     0.0000         f3
3   0.0000  0.0139  0.0625  0.0605  0.0640     0.0000         f4
4   0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
5   0.0000  0.0000  0.0329  0.0000  0.0157     0.0000         f2
6   0.5026  0.3982  0.5029  0.3894  0.4294     0.4218         f2
7   0.0000  0.0441  0.0743  0.0315  0.0000     0.0139         f2
8   0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
9   0.0000  0.0975  0.0315  0.0823  0.0000     0.0471         f1
10  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
11  0.0000  0.0000  0.0303  0.0636  0.0000     0.0321         f3
12  0.0000  0.0447  0.0435  0.0590  0.0144     0.0590         f3
13  0.0000  0.0000  0.0467  0.0480  0.0000     0.0460         f3
14  0.0000  0.0330  0.0000  0.0783  0.0633     0.0315         f3
15  0.0000  0.1292  0.1930  0.1875  0.1314     0.0653         f2
16  0.0000  0.0000  0.0157  0.0000  0.0290     0.0000         f4
17  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
18  0.0000  0.0178  0.0000  0.0178  0.0000     0.0000         f1
19  0.0000  0.0623  0.0616  0.0000  0.1228     0.0630         f4
20  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
21  0.0000  0.0149  0.0445  0.0445  0.0137     0.0445         f2
22  0.0000  0.0316  0.0154  0.0488  0.0000     0.0488         f3
23  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
24  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
25  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
26  0.0000  0.0598  0.0000  0.0000  0.0302     0.0298         f1
27  0.0000  0.0745  0.0155  0.0636  0.0917     0.0294         f4
28  0.5020  0.4670  0.4971  0.4643  0.4991     0.5065  protected
29  0.5019  0.5018  0.4729  0.4397  0.4631     0.5014         f0
..     ...     ...     ...     ...     ...        ...        ...
70  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
71  0.0000  0.0328  0.0000  0.0000  0.0160     0.0328         f1
72  0.0000  0.0312  0.0287  0.0605  0.0000     0.0000         f3
73  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
74  0.0000  0.0981  0.0320  0.1302  0.0330     0.0650         f3
75  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
76  0.0000  0.1096  0.0815  0.1602  0.0321     0.1125         f3
77  0.0000  0.0937  0.0618  0.0955  0.0000     0.0958  protected
78  0.0000  0.0480  0.0000  0.0160  0.0000     0.0165         f1
79  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
80  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
81  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
82  0.0000  0.0905  0.0000  0.0444  0.0593     0.0295         f1
83  0.0000  0.0489  0.0489  0.0181  0.0157     0.0000         f1
84  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
85  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
86  0.0000  0.0927  0.0609  0.1201  0.1807     0.0927         f4
87  0.5052  0.4500  0.3681  0.3483  0.3251     0.3242         f0
88  0.0000  0.1207  0.2145  0.1065  0.0892     0.0950         f2
89  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
90  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
91  0.4996  0.4746  0.4430  0.4022  0.5033     0.4723         f4
92  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
93  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
94  0.0000  0.0000  0.0309  0.0919  0.0617     0.0879         f3
95  0.0000  0.0000  0.0000  0.0439  0.0437     0.0150         f3
96  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
97  0.0000  0.0325  0.0000  0.0000  0.0176     0.0000         f1
98  0.0000  0.0000  0.0142  0.0000  0.0142     0.0142         f2
99  0.0000  0.0326  0.0326  0.0326  0.0150     0.0326         f1

[100 rows x 7 columns]


Num. FP: 5
