f0,f1,f2,f3,f4,protected
0.0,-0.0681,0.0992,-0.0603,0.1903,0.0929
0.0,0.0446,0.0,-0.0143,-0.0161,0.0
0.0,-0.0151,0.0,0.0305,0.0,0.0
0.0,-0.0139,0.0625,0.0605,0.064,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0329,0.0,0.0157,0.0
-0.5026,0.3982,-0.5029,0.3894,-0.4294,-0.4218
0.0,0.0441,0.0743,-0.0315,0.0,-0.0139
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0975,-0.0315,0.0823,0.0,-0.0471
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0303,0.0636,0.0,0.0321
0.0,0.0447,0.0435,0.059,-0.0144,0.059
0.0,0.0,0.0467,0.048,0.0,0.046
0.0,-0.033,0.0,0.0783,0.0633,-0.0315
0.0,-0.1292,0.193,0.1875,0.1314,-0.0653
0.0,0.0,0.0157,0.0,0.029,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0178,0.0,0.0178,0.0,0.0
0.0,0.0623,0.0616,0.0,0.1228,0.063
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0149,0.0445,0.0445,-0.0137,0.0445
0.0,0.0316,-0.0154,0.0488,0.0,0.0488
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0598,0.0,0.0,0.0302,0.0298
0.0,0.0745,-0.0155,0.0636,0.0917,-0.0294
-0.502,0.467,-0.4971,0.4643,-0.4991,-0.5065
-0.5019,-0.5018,-0.4729,0.4397,-0.4631,-0.5014
0.0,0.0151,0.0,0.0,0.0,0.0
0.0,0.0,0.016,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0305,-0.014
0.0,0.0,-0.0325,-0.0488,0.0958,-0.0308
0.0,0.0594,-0.0163,0.0591,-0.0141,0.0904
-0.502,-0.4538,-0.4975,-0.4592,-0.486,-0.4501
0.0,0.0904,0.0,0.0442,-0.0308,-0.0304
0.0,0.1731,-0.0613,-0.0601,-0.0627,-0.0686
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0279,0.0601,0.0601,0.03,0.0
-0.5068,-0.5029,0.4132,0.4004,0.4177,-0.4713
0.0,0.0882,0.0585,-0.0288,0.0882,0.0433
0.0,0.0159,0.0159,0.0159,0.0159,0.0
0.0,0.0155,0.0,0.0,0.0155,0.0
0.0,0.0,0.0334,0.0,0.0,0.0174
0.0,0.0,0.015,0.015,0.0,0.0
-0.4971,-0.4705,0.3366,0.3586,-0.4198,0.3757
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.015,0.0309,0.0309,0.0309,0.0309
0.0,0.0152,0.0,0.0,0.0,0.0292
0.0,0.0,0.0591,0.0281,0.0291,0.0
0.0,0.1387,0.0809,-0.0165,-0.0597,0.0766
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0971,0.0463,0.0643,0.066
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0642,0.0642,0.034,0.0316,0.0
0.0,0.0305,0.0608,-0.0316,0.0,0.0
0.0,-0.0644,-0.0577,0.0911,-0.0938,0.1841
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0313,0.0886,0.0,0.061,0.0442
0.0,-0.0285,-0.0149,0.1052,0.0896,0.1048
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1252,-0.0491,-0.0451,-0.0157,0.0792
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0328,0.0,0.0,0.016,0.0328
0.0,0.0312,0.0287,0.0605,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0981,-0.032,0.1302,-0.033,0.065
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1096,-0.0815,0.1602,-0.0321,0.1125
0.0,0.0937,-0.0618,0.0955,0.0,0.0958
0.0,0.048,0.0,-0.016,0.0,-0.0165
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0905,0.0,0.0444,0.0593,-0.0295
0.0,0.0489,0.0489,-0.0181,-0.0157,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0927,-0.0609,0.1201,0.1807,-0.0927
-0.5052,-0.45,-0.3681,0.3483,0.3251,0.3242
0.0,0.1207,0.2145,0.1065,-0.0892,-0.095
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
-0.4996,-0.4746,0.443,0.4022,-0.5033,-0.4723
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0309,0.0919,0.0617,0.0879
0.0,0.0,0.0,0.0439,0.0437,-0.015
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0325,0.0,0.0,0.0176,0.0
0.0,0.0,0.0142,0.0,0.0142,0.0142
0.0,0.0326,0.0326,0.0326,0.015,0.0326
