f0,f1,f2,f3,f4,protected
0.1433,-0.2602,-0.2715,-0.3874,0.1403,-0.2664
0.1236,0.0782,0.1505,-0.1808,-0.1979,-0.3222
0.1263,-0.1988,-0.1771,-0.3233,0.0727,-0.2093
-0.3046,-0.3108,0.1197,0.2505,-0.372,0.1846
0.2501,0.5035,0.2506,0.2525,0.2497,0.251
0.2642,0.2329,0.2474,-0.0273,0.2625,0.2621
0.2227,0.2218,-0.2845,-0.4667,-0.2772,0.253
0.233,0.2313,-0.0158,-0.1197,0.2347,0.2002
-0.4395,-0.3567,0.2456,-0.3764,0.2537,0.2537
-0.1593,0.0463,-0.2655,0.1253,-0.1672,0.0912
0.173,-0.0833,0.3039,0.237,0.2238,-0.1264
-0.0597,-0.0626,-0.0166,0.1391,0.0773,0.0
-0.3811,-0.4249,0.2873,-0.3639,-0.3522,-0.483
0.3329,0.2548,-0.0795,0.2613,0.3282,0.2515
-0.4421,0.374,0.3768,-0.4389,-0.4996,0.3066
0.4213,-0.3555,0.4514,0.4787,0.4428,-0.3258
0.0,0.0799,0.0661,-0.1255,0.0651,-0.1557
0.2018,-0.0904,0.1667,-0.0149,-0.0641,0.1712
-0.2188,0.155,0.1893,-0.4071,0.1892,0.1565
-0.3765,-0.4539,0.2398,0.2505,0.2965,-0.3732
0.2503,0.3884,0.3386,0.2808,-0.1994,-0.1508
-0.2354,-0.2469,-0.2653,-0.2348,-0.3414,0.0905
0.3302,-0.1591,-0.1525,0.2554,0.3471,-0.1435
0.2846,-0.3922,-0.3447,-0.4085,-0.4264,-0.4023
-0.0166,0.2654,-0.1763,0.2364,-0.1837,0.253
-0.1408,0.3746,-0.2514,-0.2537,-0.2562,0.3922
0.2973,-0.1791,0.3817,-0.1561,0.2188,-0.1623
-0.2603,0.418,0.4387,0.3661,-0.331,0.4547
0.2527,0.2549,0.3918,-0.1437,-0.2046,0.2695
0.3125,-0.1874,0.3128,0.4045,0.3115,-0.186
-0.3011,-0.2704,0.3282,0.5116,-0.2995,0.3746
0.3732,0.3139,0.4493,-0.2807,-0.2723,0.3732
0.1957,-0.4057,0.2424,-0.347,-0.3466,0.2186
-0.0501,0.1305,-0.0316,0.0981,0.1156,0.1127
-0.2806,-0.252,0.1568,-0.2783,-0.1882,0.0653
-0.3435,0.1232,-0.2663,0.1408,-0.2943,0.1725
-0.4975,-0.3767,-0.3186,0.2427,-0.3148,-0.3137
0.4409,0.2177,0.252,0.2566,-0.1896,0.2223
-0.3872,0.2655,-0.3132,0.2655,-0.3778,-0.4401
-0.2522,0.0,0.1247,0.1215,-0.1222,0.1261
0.3485,0.2539,-0.1262,0.3806,0.2373,-0.2197
-0.1506,0.0992,-0.2581,-0.194,0.0951,0.0319
0.3676,0.3352,0.3856,-0.31,0.4978,0.3278
0.1074,0.1475,-0.2078,-0.3482,-0.2212,0.1547
-0.2026,-0.1911,-0.1728,0.4144,0.2934,0.296
0.4373,0.4391,-0.2563,0.3465,0.3451,0.4423
0.3369,-0.309,0.496,-0.2936,-0.2441,0.3516
0.2072,0.2957,-0.326,-0.4633,-0.3775,-0.3267
-0.1219,-0.0913,0.3314,-0.1494,0.2114,0.1789
-0.1289,-0.0444,0.2125,0.2033,0.2329,0.2967
0.2782,0.2856,0.2509,-0.5056,-0.3141,0.2496
0.3315,-0.5012,-0.3607,-0.4236,-0.3839,-0.3421
-0.0927,-0.0644,0.0,0.0318,0.0,0.0469
-0.256,-0.288,0.4769,0.3499,0.317,0.3532
-0.252,-0.1237,0.3758,0.2716,0.2691,0.3774
0.2686,0.2227,0.3457,-0.1493,-0.1294,0.2876
-0.161,-0.1533,0.4107,0.2236,-0.186,0.2041
0.3477,0.3311,-0.379,-0.3578,-0.5003,-0.4581
0.2997,0.3757,0.404,-0.2811,-0.2498,0.4418
-0.2809,0.0933,0.126,-0.2321,0.1234,-0.2511
-0.378,0.3039,-0.4996,-0.4179,-0.3755,-0.4133
0.1204,-0.2006,0.1229,-0.2605,-0.3094,-0.2194
0.1509,0.1907,-0.2246,-0.4103,0.2045,-0.2485
0.1702,-0.2188,-0.2142,-0.4196,0.184,0.1758
-0.0636,-0.0371,0.1615,0.2261,-0.0646,0.1292
0.3785,0.3655,0.2523,0.2577,-0.1298,-0.2396
-0.1028,-0.1106,-0.0741,0.2161,0.2876,-0.1403
0.3401,0.3745,0.3531,0.5006,-0.2841,-0.3105
0.405,-0.1808,-0.1544,0.2205,-0.1562,0.2048
0.0329,0.0637,0.0,-0.0314,0.0,0.0637
-0.1772,-0.1876,0.3142,0.3926,0.3076,0.3444
0.2841,0.3644,0.3119,-0.1866,-0.2189,0.3586
-0.3993,0.1664,-0.2955,-0.2456,0.1534,0.2212
0.4037,0.3305,-0.2658,-0.2348,0.3749,-0.1691
-0.0608,-0.1227,-0.0627,0.2439,0.1373,0.2131
-0.2006,0.1541,-0.2667,-0.3374,0.1094,0.1525
