f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,protected
-0.1698,0.2259,0.248,0.2526,-0.1401,0.273,-0.2003,0.3207,-0.1461,0.2653,-0.1334
-0.2577,0.3136,0.3504,0.3838,0.3456,-0.211,0.3708,-0.2139,-0.2453,-0.277,0.3148
0.365,0.3613,-0.3224,0.4021,-0.2734,0.3703,0.3809,-0.2695,0.4485,0.3853,-0.3085
-0.1554,-0.1547,0.3289,-0.1277,0.2223,-0.1717,-0.1567,0.217,-0.1569,-0.1697,0.2454
0.3141,0.3067,0.3065,-0.2845,0.3053,0.4606,-0.2548,-0.2414,-0.2215,0.3209,0.2997
-0.2864,0.1557,-0.38,-0.2428,0.1875,0.2117,0.1656,-0.2678,-0.2753,-0.2609,-0.2651
0.129,-0.3595,-0.2183,0.1509,0.2042,-0.2308,0.1579,-0.2458,0.1693,-0.2345,0.1752
0.3446,0.3579,0.3471,0.3528,0.4059,-0.2245,0.3595,-0.2886,0.3737,0.387,0.3562
0.2443,-0.2717,-0.2768,0.2195,-0.3309,0.1487,-0.3657,0.2433,0.2282,-0.29,-0.3596
0.3023,-0.4097,-0.3615,0.3023,0.3387,-0.4272,0.2897,-0.3564,0.2686,-0.3544,-0.4325
0.2506,-0.3916,-0.2842,-0.2946,0.1587,0.2247,-0.301,-0.2693,-0.2715,-0.3653,-0.2798
0.3565,0.3157,-0.2926,-0.1817,0.3281,0.3596,0.3869,0.3776,0.3488,0.3448,0.3317
0.3459,0.3183,0.3739,-0.2381,0.4025,-0.2814,0.4094,0.3206,-0.2768,-0.2496,-0.2496
0.092,0.0248,0.0961,-0.1756,0.0854,-0.1674,0.0658,0.0741,0.0838,-0.1229,-0.1376
0.2597,-0.3297,-0.3344,-0.4306,-0.2795,0.2555,-0.2905,0.1959,-0.3131,-0.3158,-0.2938
-0.3907,0.1831,-0.2757,-0.2685,-0.3308,-0.3056,-0.2799,-0.2929,0.1852,0.2167,-0.2648
0.3574,0.4295,-0.2944,0.4194,0.3497,0.4349,0.3994,0.3776,-0.2875,0.3604,-0.3193
-0.3987,-0.3581,0.2523,-0.308,-0.3703,0.2651,-0.3403,0.2099,-0.3072,0.251,-0.3504
0.2019,-0.3235,-0.2148,0.1725,0.1049,-0.2579,0.2027,0.1548,-0.2348,-0.297,-0.229
-0.3101,-0.2973,0.2407,-0.2978,-0.3111,-0.2845,-0.3677,0.1673,-0.2883,-0.3252,0.1562
0.2731,0.1968,-0.1532,-0.19,-0.1246,0.2491,0.3246,0.2456,0.196,0.1878,-0.1539
0.2542,0.2976,0.2474,-0.1778,0.2362,-0.093,0.3032,0.2983,0.2405,0.2324,0.2902
0.0733,0.1727,0.1237,-0.2132,-0.247,-0.1823,-0.2164,-0.2652,-0.238,-0.1797,0.1281
-0.3755,-0.2175,0.2102,0.2009,0.1881,-0.2208,-0.2962,-0.2242,0.1688,0.1753,-0.2929
-0.2698,-0.2695,0.1087,0.1578,-0.3175,-0.2321,-0.2884,0.1949,-0.2697,-0.2259,0.1968
0.2218,-0.2842,-0.2866,-0.3753,0.2041,0.1634,0.2204,0.1755,0.1559,-0.2516,0.2239
0.288,0.2419,-0.1152,0.2907,-0.153,0.2792,0.2474,0.2815,0.3109,-0.2365,-0.1661
0.3208,-0.3461,0.2676,-0.3554,-0.3632,-0.3255,0.2681,-0.3602,0.3079,-0.3694,-0.4717
0.1909,-0.2641,0.242,-0.2857,0.116,-0.3346,-0.2655,-0.316,-0.2761,0.2116,-0.3066
-0.2018,-0.1616,0.2406,0.3065,-0.2252,-0.2248,-0.1035,-0.217,0.3194,0.2856,-0.2005
-0.1342,-0.0751,-0.1299,-0.1107,-0.1414,0.1785,0.1646,-0.0941,0.267,-0.1148,0.2112
0.2525,-0.3563,-0.3263,-0.4257,-0.4151,0.3184,-0.3438,-0.3447,-0.361,-0.3437,-0.4187
0.3343,0.3079,-0.1887,-0.2174,0.3245,-0.2584,-0.217,0.2942,0.4129,-0.2698,0.289
0.1714,-0.3854,-0.2672,-0.3397,0.2479,-0.2832,0.2385,-0.3207,0.1947,0.2524,0.2529
-0.2394,-0.2463,0.1269,-0.3257,0.1793,-0.249,-0.2389,0.1285,0.1367,-0.2178,0.1548
-0.0236,-0.0229,-0.0188,0.0488,0.0482,-0.0029,-0.0272,0.0381,0.0551,-0.0064,0.0585
-0.2337,0.2515,0.3511,-0.2023,-0.2089,0.3508,0.3136,0.3015,-0.1758,-0.2313,-0.2285
0.293,0.2894,0.2858,-0.1286,0.2941,-0.2536,0.2596,0.2912,0.3651,-0.1971,-0.2022
-0.1978,0.2452,-0.2308,-0.2441,0.3453,-0.2129,-0.1755,0.2841,-0.2143,0.3239,0.3665
0.2083,-0.3277,-0.3523,-0.2896,0.2283,-0.2893,-0.3382,0.1905,0.1722,-0.3181,-0.3116
-0.2498,-0.1795,0.3114,0.3722,-0.271,0.359,0.3885,-0.271,-0.2576,0.3411,-0.2668
-0.4518,0.3095,-0.4304,-0.3373,0.3112,0.2787,-0.341,0.2504,-0.3332,0.3067,-0.3506
-0.1932,0.1296,-0.2403,-0.1835,0.0812,-0.2523,0.1159,0.1073,0.1139,0.115,-0.1543
0.3504,-0.2544,0.2938,-0.183,-0.2463,-0.2279,0.321,-0.2112,0.2921,0.3648,-0.1805
-0.1883,0.4344,0.2411,-0.2255,-0.2094,-0.1773,-0.2145,-0.215,0.2363,-0.1883,0.236
0.224,0.2346,0.32,-0.1426,0.2178,-0.1577,0.275,0.2349,-0.1536,0.2744,-0.1326
-0.2837,0.3249,0.3581,0.3495,-0.2913,0.3875,-0.2608,0.3467,-0.2636,0.4673,-0.3144
-0.3528,0.223,0.2095,-0.285,-0.2774,0.2738,-0.4122,-0.2876,0.2689,-0.3206,-0.355
0.3651,0.2907,0.3638,0.4058,0.3122,0.2975,0.3145,-0.2004,0.2804,-0.2346,0.3183
0.1299,-0.1856,-0.18,-0.1566,0.1135,-0.1722,0.0032,-0.1781,-0.2042,-0.1465,0.137
0.4349,0.3375,-0.2469,-0.2812,-0.3078,0.3638,0.3147,0.3168,0.3909,-0.2793,0.3867
0.1673,-0.0409,0.1418,-0.1304,-0.0893,0.1682,0.1875,-0.0628,0.1912,-0.1214,0.1727
0.3792,0.2839,0.2556,0.2936,-0.1282,0.2463,-0.2381,0.2908,0.2509,-0.1852,0.2754
0.2703,-0.3154,-0.2918,-0.3733,-0.42,0.275,0.2247,0.2314,-0.3193,0.265,-0.3745
0.1158,0.1292,-0.1587,0.1293,0.1082,0.0311,-0.2672,0.1265,0.1298,-0.1523,-0.1754
-0.3812,0.3243,-0.3805,-0.3687,0.3008,-0.4506,0.3196,-0.4048,0.3192,-0.4346,-0.3938
-0.1039,0.2301,0.205,-0.1503,0.2712,0.1905,-0.1473,-0.1639,-0.1279,-0.0695,0.194
0.2838,-0.0489,0.2513,0.2434,-0.2252,-0.19,0.245,-0.2068,0.2377,-0.2237,0.2952
0.1024,0.1162,-0.3106,0.1587,-0.1864,-0.1762,0.1229,-0.1864,-0.2412,0.1703,0.157
0.2303,-0.1962,0.2833,0.2199,0.2318,-0.1925,-0.0836,0.2384,0.2067,-0.0776,-0.1855
-0.475,-0.4497,-0.4781,-0.4733,-0.4717,0.434,-0.4876,0.4083,0.4366,-0.4858,0.4388
0.3036,-0.2547,-0.2406,0.3286,-0.2304,0.341,0.3432,0.4308,-0.2574,0.3315,-0.2761
0.2316,-0.3098,-0.4284,-0.3446,-0.3492,-0.2951,0.2265,-0.2825,-0.2998,0.2475,0.2428
0.2101,-0.3151,-0.4001,-0.2908,0.1844,-0.2985,0.2106,-0.2774,-0.2608,-0.315,-0.2741
-0.2149,-0.1595,0.2788,-0.1949,-0.2006,0.2492,0.2864,0.2723,-0.1881,0.3682,-0.1649
0.3157,-0.2282,0.409,0.3175,0.2933,0.2956,-0.2457,-0.1933,0.2993,-0.203,0.3418
0.3316,0.3443,0.2543,0.2684,0.2973,0.317,0.279,-0.1467,0.2761,-0.163,-0.218
0.3937,-0.1835,-0.1695,0.2226,0.2419,0.2859,-0.1842,-0.1989,-0.1978,-0.203,-0.1947
0.19,0.1406,0.1118,0.1949,-0.0901,-0.0943,0.1196,0.1038,0.1109,0.1288,0.1235
0.2945,-0.4076,0.3134,-0.3233,-0.3625,-0.3407,-0.412,0.2357,-0.3443,-0.3908,0.2733
-0.3055,-0.2761,0.1412,-0.2208,-0.235,0.1836,-0.2465,-0.2512,0.1717,-0.2714,0.109
0.1985,-0.3397,-0.2684,-0.3398,-0.2609,0.2361,-0.3359,-0.3686,-0.2704,-0.2701,0.2228
-0.3754,-0.384,0.4727,-0.3631,0.3868,0.4061,0.3991,0.4968,-0.3625,0.4226,0.4023
0.128,-0.1912,-0.1721,-0.1615,-0.1781,0.102,-0.1485,-0.2485,0.0966,0.0971,0.0608
0.2494,0.3065,0.2437,0.2388,0.3273,-0.1636,-0.1912,-0.1688,-0.1228,0.2459,-0.1639
0.1939,0.231,-0.1796,0.2383,-0.1779,0.237,0.3044,-0.1333,-0.0808,-0.1702,0.1795
0.3882,0.3648,-0.3316,-0.3238,0.3993,0.4658,0.3869,-0.3148,0.4416,0.3876,-0.3217
0.1255,0.1444,0.1843,-0.0981,0.1507,0.1329,-0.1065,-0.0648,0.1382,-0.0209,0.1263
-0.3377,0.4474,0.4613,-0.3301,-0.3669,0.41,0.4222,0.3761,-0.3241,0.4415,-0.3496
-0.2144,-0.2242,-0.2041,0.171,0.1399,0.2037,-0.2017,0.2055,0.1173,-0.2386,-0.3679
0.2064,-0.2828,0.1823,-0.2656,-0.307,-0.2293,0.0935,0.1652,-0.2527,-0.279,0.1874
-0.3642,-0.3435,0.2888,-0.3278,-0.3545,-0.3815,0.1988,-0.3063,0.2768,0.292,-0.4173
0.1682,-0.2943,-0.2867,-0.323,0.1971,-0.2491,0.2119,-0.2421,0.1451,0.1504,0.1576
-0.2736,0.3133,-0.3003,-0.2496,0.3642,0.3177,-0.2379,0.3501,0.4574,-0.2707,-0.2893
0.1279,-0.0982,0.153,-0.0971,-0.0726,-0.0792,0.1515,0.1397,0.1359,0.2196,-0.0561
-0.3513,-0.3131,-0.346,0.4657,0.389,0.4609,-0.3187,0.3905,-0.353,-0.3318,0.385
-0.3543,-0.3426,-0.3377,0.1657,-0.2947,0.2515,-0.312,-0.3817,-0.2867,-0.3342,-0.2926
0.2418,-0.2951,0.1418,-0.3205,-0.3687,-0.2727,-0.2814,-0.2645,-0.3045,-0.2692,0.2212
-0.2634,-0.3505,-0.3008,-0.2454,0.1677,0.2262,0.2146,-0.358,-0.2504,0.2022,-0.3242
0.291,0.2462,0.2916,0.2669,0.3994,-0.1828,-0.2109,0.2855,0.2653,0.2852,-0.2131
-0.2497,-0.2153,0.3193,-0.2511,0.3802,0.3142,-0.2313,0.4121,0.287,0.2986,0.3367
-0.2373,-0.2627,-0.2478,-0.2112,0.1631,-0.2072,0.1478,-0.1787,-0.2345,0.1494,0.1437
-0.2415,-0.1999,-0.2115,-0.2476,0.0758,0.1479,0.1934,0.1824,-0.2252,0.1676,-0.3218
-0.421,-0.4483,-0.37,-0.3758,-0.3895,-0.4307,-0.3692,-0.3974,-0.3642,0.3253,0.263
-0.3904,-0.3086,-0.2949,-0.3894,0.2558,0.1878,-0.3112,-0.3034,0.2527,0.2348,-0.3502
0.2042,0.2347,-0.3097,-0.3176,0.1352,-0.3017,-0.2655,-0.3582,0.2469,0.2032,0.2387
-0.164,0.3245,-0.1649,0.2302,-0.1691,-0.1441,0.2466,-0.2019,-0.1612,-0.1825,0.3159
-0.3595,-0.3506,0.3032,-0.331,-0.3256,0.2926,0.2351,0.2509,-0.3416,-0.3833,-0.4454
-0.2251,-0.3108,-0.2164,-0.2494,0.1491,-0.2775,0.1512,0.1481,0.1335,0.1341,0.1959
-0.2385,-0.2433,-0.2656,-0.2687,0.2282,0.2189,-0.4226,-0.2638,0.1898,0.1757,0.2168
