protected,f0
0.2446,0.5006
0.2547,0.5056
0.2504,0.5021
0.2457,0.4979
0.2528,0.5043
0.2444,0.4962
0.2585,0.5066
0.2506,0.4966
0.2563,0.5016
0.2486,0.5018
0.2509,0.5038
0.2485,0.4984
0.2568,0.5052
0.2481,0.4975
0.2486,0.4999
0.2461,0.4899
0.2591,0.5103
0.2539,0.4987
0.2488,0.4963
0.2457,0.4992
0.2505,0.4991
0.2467,0.5072
0.2521,0.5019
0.2497,0.4995
0.2467,0.502
0.2484,0.4921
0.2475,0.5043
0.2465,0.5013
0.244,0.4886
0.2463,0.5022
0.2459,0.4985
0.2526,0.5012
0.2541,0.5095
0.2529,0.4994
0.2449,0.4929
0.2527,0.5069
0.256,0.5041
0.2542,0.4993
0.2475,0.4939
0.2446,0.4955
0.2466,0.4934
0.2541,0.4986
0.2469,0.4935
0.2457,0.505
0.2511,0.5058
0.2502,0.5039
0.2501,0.5043
0.247,0.5003
0.2588,0.5004
0.2496,0.4955
0.2574,0.5088
0.2547,0.5003
0.2495,0.4967
0.2538,0.5073
0.2497,0.496
0.2392,0.4903
0.2581,0.5009
0.2563,0.5061
0.249,0.5071
0.2551,0.5067
0.2479,0.5014
0.2455,0.4943
0.2523,0.5017
0.2558,0.5063
0.2544,0.4996
0.2486,0.499
0.2557,0.5016
0.2483,0.5008
0.2485,0.5022
0.2509,0.5047
0.2491,0.5006
0.2531,0.4949
0.2469,0.5015
0.2514,0.492
0.2485,0.5049
0.2477,0.4931
0.2482,0.5031
0.246,0.4981
0.2521,0.5029
0.2449,0.4931
0.2488,0.5037
0.2444,0.4928
0.2518,0.4963
0.2522,0.5034
0.2498,0.494
0.252,0.4967
0.2486,0.5034
0.2527,0.4918
0.2528,0.5062
0.2577,0.5097
0.2469,0.4995
0.2546,0.5036
0.2513,0.5018
0.2471,0.5033
0.2574,0.5088
0.2527,0.505
0.2506,0.5031
0.2555,0.5062
0.2474,0.5043
0.2505,0.4996
