protected,f0
0.2518,-0.4986
0.2474,-0.4997
0.2458,-0.4929
0.2438,-0.4906
0.2543,-0.5076
0.2457,-0.4943
0.2576,-0.5095
0.2485,-0.4986
0.2491,-0.5032
0.2518,-0.5031
0.2513,-0.5051
0.251,-0.4998
0.2421,-0.4901
0.2544,-0.4964
0.2523,-0.5012
0.2555,-0.4993
0.2455,-0.4931
0.2545,-0.5097
0.2477,-0.5046
0.2562,-0.5094
0.2431,-0.497
0.2556,-0.5022
0.2478,-0.4993
0.2463,-0.498
0.2552,-0.5007
0.2528,-0.5102
-0.2439,-0.4942
0.2467,-0.4951
0.2529,-0.5006
0.2506,-0.4943
0.251,-0.503
0.2495,-0.5001
0.2534,-0.4983
0.2497,-0.4962
0.2474,-0.5023
0.2459,-0.4981
0.2487,-0.4968
0.2456,-0.4974
0.2433,-0.5019
0.2542,-0.4992
0.2595,-0.5049
0.2465,-0.5008
0.2506,-0.5001
0.244,-0.4887
0.2467,-0.4994
0.2557,-0.501
0.2394,-0.4902
0.2486,-0.4997
0.2445,-0.5039
-0.2472,-0.4948
0.2411,-0.4893
0.2504,-0.5032
0.2479,-0.5015
0.2425,-0.4917
0.2482,-0.4949
0.2519,-0.5005
0.2537,-0.4964
0.2491,-0.5028
0.2557,-0.5082
0.2526,-0.5132
0.2469,-0.5014
0.2469,-0.487
0.2516,-0.5065
0.2435,-0.4906
0.2515,-0.5025
0.2476,-0.502
0.2517,-0.5053
0.2509,-0.4984
0.2544,-0.5069
0.2562,-0.4989
0.2394,-0.4906
0.2428,-0.4962
0.2577,-0.4983
-0.2506,-0.5046
0.2535,-0.4974
0.2505,-0.5036
0.246,-0.4931
0.2519,-0.4954
0.2505,-0.496
0.2512,-0.497
0.2485,-0.5028
0.2543,-0.5043
0.2525,-0.499
0.2477,-0.5003
-0.258,-0.4979
0.2533,-0.507
0.2478,-0.4987
0.2426,-0.4991
0.2499,-0.5001
0.2493,-0.5066
0.2476,-0.4966
0.2429,-0.4916
0.2503,-0.5073
0.2548,-0.5026
0.2462,-0.501
0.2521,-0.5013
0.2467,-0.498
0.2473,-0.4948
0.2504,-0.5059
0.2507,-0.5086
