        f0      f1      f2  protected        max
0   0.0000  0.0000  0.0000     0.0000         f0
1   0.0000  0.0000  0.0000     0.0000         f0
2   0.0000  0.0605  0.0000     0.0000         f1
3   0.0000  0.0000  0.0000     0.0000         f0
4   0.0000  0.0607  0.1234     0.1234         f2
5   0.0000  0.0000  0.0000     0.0000         f0
6   0.0000  0.0000  0.0000     0.0000         f0
7   0.0000  0.0000  0.0000     0.0000         f0
8   0.0000  0.1234  0.0621     0.1234         f1
9   0.0000  0.0000  0.0000     0.0000         f0
10  0.0000  0.0000  0.0000     0.0000         f0
11  0.0000  0.0658  0.0000     0.0000         f1
12  0.0000  0.0000  0.0000     0.0000         f0
13  0.0000  0.0000  0.0636     0.0000         f2
14  0.0000  0.0000  0.1222     0.0590         f2
15  0.0000  0.0000  0.0000     0.0000         f0
16  0.0000  0.0000  0.0000     0.0000         f0
17  0.0000  0.0000  0.0000     0.0000         f0
18  0.0000  0.0000  0.0000     0.0000         f0
19  0.0000  0.1250  0.1250     0.0633         f1
20  0.0000  0.0603  0.0603     0.0000         f1
21  0.0000  0.1220  0.0000     0.0644         f1
22  0.0000  0.0000  0.0000     0.0000         f0
23  0.4988  0.4997  0.5039     0.4406         f2
24  0.5008  0.5023  0.5043     0.5028         f2
25  0.0000  0.0000  0.0000     0.0000         f0
26  0.0000  0.0000  0.0000     0.0000         f0
27  0.0000  0.0000  0.0000     0.0000         f0
28  0.0000  0.0000  0.0000     0.0000         f0
29  0.0000  0.1246  0.0625     0.0000         f1
..     ...     ...     ...        ...        ...
70  0.0000  0.0000  0.0000     0.0000         f0
71  0.0000  0.0000  0.0000     0.0000         f0
72  0.5040  0.4982  0.4960     0.5057  protected
73  0.0000  0.0000  0.0000     0.0000         f0
74  0.0000  0.0000  0.0000     0.0000         f0
75  0.0000  0.0000  0.0000     0.0000         f0
76  0.0000  0.0000  0.0000     0.0000         f0
77  0.0000  0.0000  0.0000     0.0000         f0
78  0.0000  0.0000  0.0000     0.0000         f0
79  0.0000  0.0000  0.0000     0.0000         f0
80  0.0000  0.0000  0.0000     0.0000         f0
81  0.0000  0.0000  0.0000     0.0000         f0
82  0.0000  0.0000  0.0000     0.0000         f0
83  0.0000  0.0000  0.0000     0.0000         f0
84  0.0000  0.0000  0.0000     0.0000         f0
85  0.0000  0.0000  0.0000     0.0000         f0
86  0.0000  0.0000  0.0599     0.0599         f2
87  0.4994  0.3148  0.4308     0.4331         f0
88  0.0000  0.0000  0.0000     0.0000         f0
89  0.0000  0.0000  0.0000     0.0000         f0
90  0.0000  0.0000  0.0000     0.0000         f0
91  0.0000  0.0000  0.0000     0.0000         f0
92  0.0000  0.0000  0.0000     0.0000         f0
93  0.5029  0.4292  0.5050     0.5024         f2
94  0.0000  0.0649  0.0000     0.0000         f1
95  0.0000  0.0649  0.0649     0.0000         f1
96  0.0000  0.0000  0.0000     0.0000         f0
97  0.0000  0.0000  0.0000     0.0000         f0
98  0.4950  0.5082  0.3736     0.4440         f1
99  0.0000  0.1229  0.0617     0.1229         f1

[100 rows x 5 columns]


Num. FP: 5
