        f0      f1      f2      f3      f4      f5    ...         f11     f12     f13     f14  protected        max
0   0.0000  0.0590  0.0903  0.1208  0.1194  0.0828    ...      0.1024  0.0688  0.0831  0.0820     0.1032         f8
1   0.0000  0.0374  0.0218  0.0335  0.0126  0.0268    ...      0.0092  0.0165  0.0299  0.0396     0.0237         f9
2   0.0000  0.0259  0.0433  0.0260  0.0337  0.0382    ...      0.0484  0.0070  0.0354  0.0652     0.0072        f14
3   0.0000  0.0595  0.0928  0.1335  0.1088  0.0613    ...      0.1124  0.1031  0.0897  0.1069     0.0844         f6
4   0.0000  0.0011  0.0091  0.0101  0.0023  0.0000    ...      0.0112  0.0199  0.0067  0.0085     0.0113        f12
5   0.0000  0.0788  0.0454  0.0954  0.0344  0.0512    ...      0.0688  0.0885  0.0568  0.0752     0.0612         f8
6   0.5079  0.4026  0.4616  0.4003  0.4441  0.3954    ...      0.4290  0.4280  0.4628  0.4397     0.4011         f0
7   0.0000  0.0690  0.1083  0.0795  0.1044  0.1210    ...      0.1092  0.1197  0.0524  0.0904     0.0705        f10
8   0.0000  0.0296  0.0661  0.0363  0.0548  0.0529    ...      0.0211  0.0228  0.0425  0.0200     0.0421         f2
9   0.0000  0.0098  0.0314  0.0381  0.0336  0.0155    ...      0.0131  0.0135  0.0096  0.0257     0.0268         f9
10  0.5036  0.3701  0.3596  0.4052  0.4104  0.4026    ...      0.3489  0.3548  0.4117  0.3578     0.4087         f0
11  0.0000  0.0209  0.0215  0.0197  0.0017  0.0210    ...      0.0311  0.0065  0.0222  0.0342     0.0284        f14
12  0.0000  0.0432  0.0231  0.0308  0.0153  0.0493    ...      0.0645  0.0594  0.0321  0.0461     0.0856  protected
13  0.4945  0.4901  0.4487  0.4701  0.4670  0.4627    ...      0.4696  0.4697  0.4761  0.4710     0.4724         f0
14  0.0000  0.0000  0.0207  0.0068  0.0031  0.0112    ...      0.0029  0.0077  0.0170  0.0060     0.0173         f2
15  0.0000  0.0919  0.0884  0.0918  0.0493  0.0957    ...      0.1079  0.0814  0.1213  0.0654     0.0538         f6
16  0.4971  0.3969  0.4117  0.4380  0.4354  0.4199    ...      0.4509  0.3935  0.4345  0.4593     0.4257         f0
17  0.0000  0.0033  0.0123  0.0083  0.0128  0.0029    ...      0.0049  0.0060  0.0038  0.0154     0.0159         f7
18  0.4946  0.3902  0.4305  0.3948  0.4731  0.4558    ...      0.4352  0.4519  0.4434  0.4406     0.3930         f0
19  0.4942  0.4906  0.4486  0.4676  0.4744  0.4406    ...      0.4474  0.4705  0.4803  0.4582     0.4592         f0
20  0.4981  0.4227  0.4447  0.4612  0.4133  0.3969    ...      0.4147  0.4585  0.4471  0.3951     0.4012         f0
21  0.0000  0.0069  0.0200  0.0568  0.0505  0.0468    ...      0.0343  0.0201  0.0279  0.0337     0.0244         f3
22  0.0000  0.0019  0.0006  0.0005  0.0003  0.0010    ...      0.0022  0.0002  0.0000  0.0006     0.0005        f11
23  0.0000  0.0508  0.0679  0.0871  0.0847  0.0537    ...      0.0603  0.0676  0.0667  0.0644     0.0297         f6
24  0.0000  0.0460  0.0412  0.0471  0.0562  0.0243    ...      0.0181  0.0509  0.0150  0.0408     0.0354        f10
25  0.0000  0.0168  0.0221  0.0141  0.0070  0.0223    ...      0.0454  0.0245  0.0319  0.0206     0.0174        f11
26  0.0000  0.0423  0.0583  0.0430  0.0079  0.0387    ...      0.0135  0.0243  0.0426  0.0433     0.0312         f2
27  0.0000  0.0223  0.0149  0.0243  0.0171  0.0038    ...      0.0156  0.0065  0.0091  0.0123     0.0129         f3
28  0.5028  0.3992  0.3487  0.3544  0.3664  0.3492    ...      0.3449  0.3750  0.3365  0.4071     0.3549         f0
29  0.0000  0.0866  0.0847  0.1030  0.1188  0.1642    ...      0.0763  0.0720  0.0829  0.1203     0.0962         f5
..     ...     ...     ...     ...     ...     ...    ...         ...     ...     ...     ...        ...        ...
70  0.0000  0.0086  0.0180  0.0132  0.0358  0.0108    ...      0.0206  0.0267  0.0305  0.0309     0.0101        f10
71  0.0000  0.0612  0.0561  0.0415  0.0349  0.0625    ...      0.0377  0.0297  0.0514  0.0209     0.0586         f9
72  0.0000  0.1055  0.0950  0.0768  0.1014  0.1412    ...      0.1186  0.1088  0.0930  0.0971     0.1057         f8
73  0.0000  0.0943  0.0801  0.0832  0.0300  0.0807    ...      0.0781  0.1021  0.0977  0.0542     0.0641         f7
74  0.0000  0.0315  0.0066  0.0515  0.0265  0.0483    ...      0.0486  0.0236  0.0441  0.0380     0.0252         f8
75  0.0000  0.0113  0.0203  0.0295  0.0261  0.0215    ...      0.0057  0.0276  0.0145  0.0129     0.0010         f3
76  0.0000  0.0489  0.0512  0.0697  0.0755  0.0787    ...      0.0555  0.0591  0.0632  0.0910     0.0572         f8
77  0.0000  0.0339  0.0515  0.0485  0.0393  0.0277    ...      0.0558  0.0137  0.0343  0.0215     0.0219        f11
78  0.0000  0.0000  0.0056  0.0082  0.0047  0.0000    ...      0.0063  0.0058  0.0064  0.0056     0.0049         f9
79  0.5007  0.4158  0.4563  0.4918  0.4590  0.4215    ...      0.4089  0.4286  0.4038  0.4468     0.4310         f0
80  0.0000  0.0342  0.0225  0.0205  0.0109  0.0361    ...      0.0097  0.0182  0.0243  0.0187     0.0454        f10
81  0.0000  0.0326  0.0665  0.0384  0.0719  0.0458    ...      0.0423  0.0482  0.0276  0.0501     0.0757  protected
82  0.0000  0.0675  0.0514  0.0737  0.0846  0.0913    ...      0.0807  0.0526  0.0590  0.0858     0.0375         f5
83  0.0000  0.1440  0.1519  0.1549  0.2199  0.1244    ...      0.1709  0.1399  0.1541  0.1573     0.0979         f4
84  0.0000  0.0138  0.0002  0.0192  0.0163  0.0051    ...      0.0068  0.0017  0.0052  0.0150     0.0192         f7
85  0.4924  0.4717  0.4017  0.4426  0.3996  0.4144    ...      0.4459  0.4321  0.4029  0.4239     0.4268         f0
86  0.0000  0.0391  0.0307  0.0168  0.0580  0.0348    ...      0.0429  0.0544  0.0292  0.0388     0.0214         f9
87  0.0000  0.0239  0.0393  0.0333  0.0547  0.0355    ...      0.0429  0.0331  0.0345  0.0327     0.0633         f8
88  0.0000  0.1128  0.0316  0.0839  0.0611  0.0767    ...      0.0977  0.0543  0.0785  0.1026     0.1168  protected
89  0.0000  0.0891  0.0585  0.0831  0.0940  0.0929    ...      0.0835  0.0316  0.0607  0.0756     0.0576         f4
90  0.0000  0.0278  0.0340  0.0372  0.0510  0.0025    ...      0.0510  0.0616  0.0335  0.0435     0.0239         f9
91  0.0000  0.0790  0.1196  0.0425  0.0635  0.0711    ...      0.0775  0.0539  0.1235  0.0464     0.0762        f13
92  0.0000  0.0544  0.0412  0.0313  0.0682  0.0998    ...      0.0469  0.0360  0.0250  0.0524     0.0552         f5
93  0.0000  0.0040  0.0214  0.0288  0.0430  0.0365    ...      0.0325  0.0164  0.0308  0.0275     0.0087         f7
94  0.0000  0.0367  0.0406  0.0606  0.0492  0.0144    ...      0.0357  0.0241  0.0502  0.0116     0.0649  protected
95  0.0000  0.0649  0.1073  0.0186  0.0783  0.0330    ...      0.0837  0.0795  0.1004  0.0745     0.1002         f2
96  0.0000  0.0670  0.1059  0.0926  0.0875  0.0811    ...      0.0629  0.0278  0.0927  0.1096     0.1179  protected
97  0.4927  0.5041  0.4626  0.4606  0.4821  0.4790    ...      0.4499  0.4484  0.4661  0.4483     0.4723         f1
98  0.5025  0.4407  0.4400  0.4254  0.4281  0.4625    ...      0.4389  0.4135  0.4024  0.4227     0.3925         f0
