protected,f0,f1,f2,f3,f4,accuracy,c
-0.2528,-0.0321,-0.2593,-0.2574,0.2392,0.2382,0.6431,5
0.2464,0.0,0.257,0.2582,0.253,0.246,0.6501,5
-0.2542,-0.1202,0.2192,-0.2537,0.2403,-0.2552,0.6544,5
0.2576,0.0,0.2519,0.2442,0.2454,0.2531,0.6495,5
-0.257,-0.2578,-0.2475,-0.2509,-0.2557,-0.2453,0.6552,5
0.2613,0.0597,0.2544,0.253,0.2496,0.2421,0.6456,5
0.2478,0.0,0.2513,0.2458,0.2487,0.2438,0.6435,5
0.2463,0.0,0.252,0.2456,0.2376,0.2501,0.6462,5
0.2535,0.0,0.2435,0.2446,0.2423,0.2514,0.6525,5
0.2491,0.0,0.2515,0.243,0.24,0.244,0.6557,5
0.2543,0.0,0.2538,0.2559,0.2582,0.2489,0.655,5
0.2431,0.0,0.2481,0.2445,0.25,0.2487,0.6477,5
0.2505,0.0,0.2541,0.2503,0.2526,0.2513,0.6493,5
-0.2422,-0.0736,0.1583,-0.2222,-0.2203,-0.2337,0.6482,5
0.2492,0.0,0.2474,0.2569,0.2519,0.2536,0.6574,5
