protected,f0,f1,f2,f3,f4,accuracy,c
0.0634,-0.0643,0.1267,0.1609,-0.1914,0.1607,0.5461,5
0.1587,-0.2074,0.16,-0.2484,-0.1877,-0.2227,0.5444,5
0.2516,0.0,0.2494,0.2506,0.2448,0.256,0.5527,5
0.248,0.0454,0.2548,0.2536,0.2533,0.2515,0.5522,5
-0.2476,0.0,0.2153,0.2282,0.2401,0.2226,0.5531,5
0.0595,-0.4161,-0.1854,0.1191,0.1225,-0.1835,0.5484,5
0.1697,-0.046,-0.2037,-0.2377,0.1769,0.1241,0.5513,5
-0.1913,-0.2551,0.1583,-0.2234,0.0975,-0.1874,0.5489,5
-0.2194,-0.0622,-0.1924,0.1707,0.0959,0.1617,0.5546,5
-0.1689,-0.4414,-0.1852,-0.2305,0.1395,-0.1971,0.5456,5
0.1406,-0.0153,0.1283,0.0946,-0.198,0.1063,0.5486,5
0.2485,0.0,0.2495,0.2548,0.2527,0.2472,0.5523,5
0.1857,-0.4104,-0.2495,-0.2483,-0.1849,-0.1862,0.5574,5
0.1985,-0.0927,0.1536,-0.2141,0.1864,-0.2488,0.5507,5
-0.245,-0.0778,0.1748,0.2022,0.2058,-0.2475,0.5494,5
-0.2298,-0.3148,-0.2285,-0.2488,-0.2501,-0.2491,0.5473,5
-0.1761,-0.2163,0.1104,0.1254,-0.2201,-0.2041,0.5505,5
-0.2161,-0.065,-0.1591,0.093,0.143,0.0973,0.5547,5
0.1458,0.0,0.1231,0.0926,0.0909,0.121,0.5484,5
0.2177,-0.0309,0.215,0.2309,-0.2478,-0.2536,0.5473,5
0.1717,-0.1638,-0.2314,-0.2288,0.1694,-0.2315,0.5469,5
-0.231,-0.1354,-0.2537,-0.2481,0.2042,-0.2374,0.5449,5
-0.1937,-0.0755,-0.214,0.1563,0.1863,-0.2567,0.5523,5
-0.2211,-0.334,-0.1859,0.1393,-0.239,-0.2188,0.5549,5
-0.2146,-0.4003,-0.217,-0.1878,0.1203,0.1594,0.5466,5
0.0894,-0.0525,0.1731,0.1566,0.1478,-0.2122,0.5519,5
0.1706,-0.1629,-0.1868,0.0976,0.1569,-0.2217,0.5444,5
0.125,-0.0623,-0.1865,0.1537,0.0632,0.155,0.5562,5
0.0,-0.0947,0.061,0.0655,0.0639,0.0,0.5488,5
0.2557,0.0162,0.2548,0.2526,0.2523,0.2531,0.5519,5
0.0766,-0.4734,0.0272,-0.1197,-0.1224,-0.1201,0.5493,5
0.1008,-0.0805,0.1085,-0.1882,-0.1893,0.1308,0.5522,5
-0.0797,-0.1934,0.0159,0.0337,0.0,-0.0659,0.5485,5
-0.2203,-0.0442,-0.2302,0.1677,-0.2169,0.172,0.5471,5
0.1205,-0.0618,0.1849,0.1836,-0.2472,-0.1829,0.5467,5
-0.2183,-0.0148,0.1104,0.1348,0.139,0.1584,0.5503,5
-0.2525,-0.3112,-0.2471,0.2168,-0.2473,0.2211,0.541,5
-0.1141,-0.315,-0.1476,0.0171,-0.1314,0.0828,0.5525,5
-0.2452,-0.0977,-0.2493,0.2006,0.2,0.2048,0.5496,5
-0.2214,-0.1056,0.1468,-0.208,0.142,-0.1908,0.5449,5
-0.2551,-0.0915,-0.25,0.2053,0.2208,-0.2356,0.5467,5
-0.2181,-0.2468,-0.1738,-0.1879,-0.1886,0.0967,0.5498,5
0.1729,-0.1798,-0.2225,-0.2222,0.1271,0.1272,0.5507,5
-0.248,-0.2799,0.2286,-0.2586,-0.2436,-0.2493,0.5428,5
-0.1869,-0.1498,0.0792,0.0942,0.0604,0.0919,0.5533,5
-0.25,-0.3616,0.1887,-0.2462,-0.204,-0.2127,0.5473,5
-0.2183,-0.2593,-0.1551,0.0978,0.0927,-0.1424,0.5484,5
0.1071,-0.138,-0.1849,-0.2346,0.1695,-0.1881,0.5446,5
-0.2381,-0.1098,-0.2371,0.1917,0.2015,-0.2533,0.5509,5
-0.2444,-0.0735,0.2117,-0.249,0.2196,0.2018,0.5556,5
0.243,-0.1258,-0.2508,0.2323,-0.2522,-0.2509,0.5579,5
0.2344,-0.0164,-0.2462,0.2375,-0.2537,0.2359,0.5556,5
-0.2534,-0.1835,-0.2415,0.2236,-0.2517,-0.2608,0.5568,5
-0.1274,-0.4135,-0.127,-0.1402,0.0321,0.0791,0.5491,5
0.0298,-0.508,-0.0728,-0.0728,0.027,0.0155,0.5441,5
0.1589,-0.0308,0.1931,0.2099,-0.2637,-0.219,0.5542,5
0.1547,-0.0168,0.1255,-0.1846,-0.2163,0.1544,0.5539,5
0.0619,-0.3817,0.0637,-0.0635,-0.1255,0.0,0.547,5
-0.1392,-0.2788,0.0781,-0.1423,0.0803,-0.204,0.5468,5
-0.2388,-0.468,-0.1782,-0.1569,-0.1619,-0.1787,0.5524,5
-0.1255,-0.4713,0.0336,-0.0941,-0.1422,-0.1251,0.5479,5
0.2517,0.0,0.2418,0.2504,0.2506,0.2524,0.5466,5
0.248,0.0298,0.2591,0.2479,0.2537,0.2515,0.5519,5
-0.1908,-0.0647,0.064,-0.1693,-0.1787,0.1472,0.5541,5
-0.2215,-0.3244,-0.2523,-0.2552,0.2179,-0.2513,0.5493,5
0.1622,-0.0467,-0.2217,-0.2214,0.1267,0.189,0.5518,5
0.1542,-0.3643,-0.2428,-0.2153,-0.2186,-0.1871,0.5563,5
-0.222,0.0,0.1867,0.1921,0.19,-0.2193,0.5455,5
0.2515,0.1206,0.2555,0.2486,0.2535,0.2506,0.5591,5
0.0617,-0.0628,0.0585,0.1244,0.1213,-0.185,0.5431,5
0.0941,-0.0776,0.091,-0.173,-0.1713,0.139,0.5668,5
0.2506,0.0,0.2457,0.2566,0.2571,0.2497,0.562,5
0.223,-0.0475,0.2259,0.188,-0.2506,0.1866,0.5513,5
0.251,0.0,0.254,0.2514,0.2536,0.2461,0.5428,5
-0.1383,-0.1936,0.1283,-0.1431,0.0137,-0.1403,0.5492,5
-0.2604,-0.3413,-0.2224,-0.2606,-0.2251,-0.207,0.544,5
0.2199,-0.0617,0.1859,-0.2437,0.1778,0.2157,0.5559,5
0.1693,-0.3086,0.162,0.1622,-0.2208,-0.2542,0.5618,5
0.1123,-0.283,-0.1783,-0.1739,0.048,0.1124,0.5415,5
-0.2524,-0.0778,0.1904,-0.2311,0.183,0.1886,0.5442,5
0.1091,-0.2649,-0.2338,0.1417,0.1414,-0.1915,0.551,5
-0.2485,-0.1564,-0.2545,0.2209,-0.229,0.2152,0.5471,5
0.2187,-0.3247,-0.2557,-0.2422,-0.2591,-0.2596,0.5561,5
0.2058,-0.0506,-0.237,-0.2506,0.2188,0.2222,0.5465,5
0.0914,0.0,0.1258,0.1752,0.1579,-0.1883,0.5499,5
-0.2464,-0.0134,0.238,0.2337,-0.2502,-0.2463,0.5482,5
0.1596,-0.063,0.1266,0.1001,-0.2228,0.1263,0.5473,5
-0.1533,-0.2173,0.1239,0.0921,0.0299,-0.1487,0.5503,5
0.2554,0.2482,0.2482,0.2491,0.2492,0.2498,0.5521,5
0.2188,-0.1396,-0.253,0.2166,-0.2317,-0.2423,0.5504,5
0.2036,-0.0148,-0.2546,-0.2341,-0.2316,0.1988,0.5418,5
-0.2244,-0.2659,0.172,-0.2402,-0.2435,-0.2132,0.5504,5
-0.1753,-0.2801,-0.1908,0.0625,-0.1702,-0.1745,0.5482,5
0.248,0.1435,0.2467,0.2465,0.2454,0.2496,0.5477,5
-0.2152,-0.3104,0.124,0.1187,-0.2129,0.1461,0.5494,5
-0.2542,0.0,0.2421,0.2418,0.2382,-0.2453,0.5515,5
0.2558,0.0,0.2473,0.2447,0.2549,0.2336,0.5461,5
