protected,f0,f1,f2,f3,f4,accuracy,c
-0.2494,-0.0429,-0.26,0.2158,0.231,0.2207,0.5982,5
0.1081,-0.1921,0.0594,-0.1827,0.0619,0.1042,0.6042,5
0.2303,-0.0828,-0.2473,-0.2485,0.239,-0.2466,0.5961,5
0.0944,-0.1553,-0.182,-0.2208,0.122,0.1559,0.5939,5
-0.2366,-0.1877,0.1721,-0.2112,-0.2421,-0.2158,0.6067,5
0.2528,0.1225,0.2513,0.2514,0.245,0.2542,0.5968,5
0.1876,-0.0304,0.1975,0.1644,-0.2463,0.2025,0.5944,5
0.2501,0.1552,0.2492,0.2482,0.2451,0.2427,0.6027,5
0.0775,-0.3387,0.0459,0.0789,-0.1226,-0.1701,0.6014,5
-0.2234,-0.1864,-0.248,-0.2535,0.1901,-0.2193,0.5971,5
0.2463,0.0,0.2551,0.2489,0.2543,0.2482,0.5943,5
-0.2147,-0.2066,0.1818,-0.2407,-0.2271,0.1649,0.5976,5
-0.2515,-0.0143,-0.2529,0.2345,0.2306,-0.2489,0.6015,5
0.2457,0.0,0.249,0.2544,0.2469,0.2491,0.6002,5
0.1787,-0.0994,0.16,0.2046,-0.2446,-0.2157,0.6026,5
0.1557,-0.0782,-0.2375,-0.2334,0.1897,0.1934,0.6081,5
0.2378,0.0,0.2522,0.2465,0.2468,0.2468,0.6047,5
0.2517,0.0,0.2404,0.251,0.2449,0.2514,0.5986,5
0.2498,0.0,0.2451,0.2456,0.2499,0.2495,0.5904,5
-0.2522,0.0,0.2363,0.2301,0.2338,0.2338,0.5965,5
-0.2465,-0.1583,0.2149,0.2282,-0.2465,-0.2467,0.6062,5
-0.2169,-0.4407,0.1213,-0.1959,-0.2162,-0.1698,0.6009,5
0.2571,0.0,0.2456,0.2518,0.2477,0.2536,0.5972,5
0.2517,0.0304,0.2519,0.255,0.2542,0.2543,0.5954,5
0.1605,0.0,0.0972,0.148,-0.1926,0.1385,0.5963,5
0.1424,-0.0629,-0.2504,-0.1975,0.1823,0.1902,0.5937,5
0.1583,-0.2803,-0.2232,-0.2294,0.1844,-0.2496,0.6072,5
-0.2492,-0.1108,-0.2526,0.2373,-0.2588,-0.2513,0.5989,5
0.2432,0.1242,0.2558,0.2461,0.2511,0.2514,0.5988,5
0.2522,0.0,0.2456,0.2532,0.2461,0.2558,0.6083,5
-0.2377,-0.2005,0.2065,-0.2356,-0.2454,-0.2512,0.599,5
0.2559,0.1936,0.2516,0.2485,0.2418,0.2475,0.604,5
0.244,0.0974,0.2486,0.2454,0.2479,0.2413,0.5921,5
0.2428,0.0,0.2458,0.2488,0.2539,0.2484,0.5975,5
