protected,f0,f1,f2,f3,f4,accuracy,c
-0.1254,-0.1118,0.2069,0.222,0.2991,0.3823,0.5007,5
0.2181,0.2207,0.0,0.063,0.0925,0.1044,0.5017,5
-0.1853,0.2303,0.2545,0.2668,-0.167,0.4355,0.4971,5
-0.1878,0.0334,0.1276,-0.1419,-0.1536,-0.1545,0.5067,5
0.0987,0.0803,0.2763,-0.0171,0.1107,-0.0171,0.4968,5
0.1264,0.2757,0.1726,-0.0611,-0.0603,-0.0436,0.498,5
-0.0521,0.4861,-0.0654,0.061,-0.0655,-0.0521,0.5039,5
0.0268,0.064,-0.0914,-0.1232,0.0339,-0.1232,0.5053,5
0.1612,-0.488,0.1543,-0.2038,0.1579,-0.1541,0.5037,5
-0.0329,0.0,0.0646,0.0319,0.0646,0.0646,0.4968,5
0.0,0.0,0.0,0.0,0.0,0.0,0.4995,5
0.26,-0.2316,0.286,0.3112,0.3595,0.4522,0.498,5
0.1102,0.1385,-0.3319,0.0957,-0.2124,-0.2487,0.509,5
-0.103,0.0611,-0.2062,-0.3206,0.0317,-0.1561,0.4947,5
-0.083,0.0158,0.0183,-0.0158,-0.083,0.0321,0.5012,5
-0.1245,-0.1048,-0.1396,0.0891,0.0343,-0.1193,0.5057,5
-0.203,-0.269,-0.1575,0.1244,0.031,-0.2229,0.4991,5
0.0324,0.1269,0.016,-0.1243,-0.063,0.0,0.5086,5
-0.3543,-0.3105,-0.4573,-0.3241,-0.388,0.2898,0.5007,5
0.2076,-0.2635,-0.2324,-0.2483,-0.235,-0.2478,0.5009,5
0.032,-0.1396,-0.0804,-0.0943,0.0,0.092,0.4938,5
0.0885,0.0492,0.0629,-0.2798,-0.1947,-0.1583,0.501,5
-0.1069,0.0471,-0.1312,-0.2077,-0.2008,0.0449,0.4925,5
-0.0477,0.1112,0.3068,-0.0441,0.1567,0.1681,0.5007,5
-0.3461,0.2434,-0.2912,-0.3841,-0.2997,-0.3136,0.5042,5
-0.0151,0.251,-0.0789,0.0,0.0,-0.0479,0.5003,5
0.0292,0.0925,-0.1413,0.0,-0.0147,0.1084,0.4944,5
0.0928,-0.0951,-0.122,-0.0935,-0.1463,0.0,0.4973,5
-0.0172,-0.0172,0.0,-0.0172,0.0,-0.0172,0.5079,5
0.0581,-0.2101,0.044,-0.1096,0.0745,-0.2642,0.4965,5
0.237,0.255,0.4774,-0.1729,0.2486,-0.1897,0.5041,5
0.0,-0.1368,-0.0966,0.0911,-0.1539,0.0469,0.4985,5
0.1558,-0.0806,0.3257,0.2489,-0.1074,0.1868,0.5064,5
-0.1397,-0.2487,0.0477,0.108,0.0319,-0.2593,0.5036,5
0.2352,-0.1405,0.3982,0.1686,-0.1683,0.1682,0.497,5
0.0932,-0.1693,-0.31,-0.1209,0.1018,0.0294,0.5146,5
0.1195,-0.1836,0.1065,-0.2471,-0.3485,0.1569,0.503,5
0.3143,-0.1404,0.3114,0.319,-0.1586,0.2077,0.4967,5
0.0,0.0642,0.1745,-0.0296,0.0,0.1786,0.5043,5
-0.0947,-0.0785,0.0731,-0.0715,-0.0295,0.1545,0.5084,5
-0.2812,-0.2001,-0.2185,-0.2133,0.0468,-0.2022,0.5069,5
0.0477,0.0325,-0.155,0.0332,-0.1066,0.0465,0.4947,5
0.3484,0.3625,-0.1576,0.1897,-0.1566,0.2958,0.5015,5
-0.0619,-0.0639,-0.1719,0.0557,0.0,0.0573,0.4954,5
0.2483,-0.154,-0.0651,-0.0619,0.3893,-0.1536,0.5032,5
0.1192,0.1253,0.367,-0.0152,0.1251,0.1849,0.5043,5
0.1872,0.0,0.0,0.0,-0.1189,0.0938,0.5038,5
0.1202,-0.1177,0.0,0.0,-0.0606,0.0591,0.5072,5
-0.1924,-0.1764,-0.1111,0.0462,-0.1261,0.0817,0.5074,5
0.0143,0.0461,0.0323,-0.0959,-0.0633,0.0,0.5012,5
0.1206,0.0423,0.0163,-0.0618,0.0411,-0.1437,0.4924,5
0.031,0.0,0.188,0.0,0.0344,-0.0165,0.5032,5
-0.0291,0.3728,0.0747,-0.0441,-0.0432,-0.0612,0.5066,5
-0.2638,-0.4861,0.1993,0.1675,-0.2858,-0.22,0.494,5
-0.173,0.1909,-0.1793,-0.0635,0.2943,0.3191,0.5035,5
0.0867,0.032,-0.0631,-0.0285,0.0605,-0.0293,0.4947,5
0.0147,-0.0592,-0.2475,0.031,0.0163,-0.0627,0.4945,5
0.1133,0.0,-0.0829,0.0919,-0.093,0.0782,0.5061,5
0.1246,-0.0625,0.1097,0.1525,0.1598,-0.046,0.5001,5
-0.138,0.0,0.0449,-0.0927,-0.1871,0.0,0.5011,5
-0.0768,0.0,0.0162,-0.1096,-0.2661,-0.1054,0.492,5
0.0338,-0.1272,0.0307,-0.1965,0.0,0.0459,0.5102,5
-0.0164,-0.0321,0.0615,-0.0157,0.1088,-0.0768,0.5128,5
0.4402,0.2808,0.2591,0.3719,0.2974,-0.2002,0.4958,5
0.1757,0.1873,0.3229,-0.1396,0.3236,-0.0979,0.501,5
-0.0972,0.0472,-0.1467,0.0163,-0.1729,-0.1782,0.5028,5
0.0,-0.1206,0.0,0.0327,0.0281,-0.0936,0.5028,5
-0.0643,-0.0643,0.1308,0.0942,0.4445,0.1107,0.4998,5
0.1803,-0.078,0.015,-0.0768,-0.082,-0.0941,0.5086,5
0.2988,0.3573,-0.2348,0.2964,0.4443,-0.1991,0.5028,5
0.2478,0.1535,-0.0311,0.3118,0.1709,-0.1251,0.5023,5
0.0786,-0.1316,-0.1272,-0.3964,0.0784,-0.1747,0.495,5
-0.0145,0.2181,0.0924,-0.0153,-0.0314,0.0915,0.4929,5
0.1245,-0.2559,0.1905,-0.2041,-0.1954,-0.3076,0.4966,5
0.0,0.3117,0.0337,0.0299,0.065,0.0,0.4956,5
-0.153,-0.107,0.0138,-0.2004,0.0146,-0.094,0.504,5
0.0152,-0.0628,-0.0303,0.1677,-0.1122,0.0,0.501,5
-0.2162,0.0944,0.1582,-0.2455,0.1395,-0.2486,0.4999,5
0.1394,-0.2963,-0.2864,-0.3081,-0.2667,-0.3812,0.5037,5
0.1847,-0.1422,0.1239,-0.1918,0.1708,0.2214,0.4995,5
0.444,-0.0639,0.1286,0.1077,-0.0307,-0.0608,0.4959,5
0.0436,-0.118,-0.0617,-0.0764,-0.1323,0.1137,0.4926,5
-0.2034,0.0,0.0284,0.065,-0.2008,-0.0303,0.5032,5
-0.0303,0.1404,0.1373,-0.0661,0.1603,0.1568,0.4991,5
0.2495,0.0,0.1255,0.1416,-0.0159,-0.0633,0.5016,5
0.0,0.1404,-0.0459,0.189,0.2161,-0.0157,0.4963,5
0.1853,-0.0351,-0.0455,0.0916,0.2481,-0.0145,0.5089,5
-0.049,-0.1257,-0.0929,0.062,0.0491,0.0,0.5012,5
0.2208,-0.2053,0.1985,0.2003,0.5009,0.2183,0.5068,5
0.2002,0.2685,0.1527,-0.0647,-0.0142,0.1217,0.5078,5
-0.1749,-0.2664,0.1257,-0.1596,0.1113,-0.3292,0.4968,5
-0.0953,0.0627,-0.208,0.017,-0.0765,0.0148,0.4988,5
0.2631,0.2822,-0.1997,0.2738,0.2583,0.4327,0.5034,5
0.0324,-0.2487,0.0,0.0,-0.2579,-0.0316,0.503,5
0.0,-0.0597,-0.0898,-0.1249,-0.1089,0.1319,0.4997,5
0.0343,-0.0903,-0.2044,-0.1077,0.0146,-0.1373,0.4976,5
-0.0616,0.0302,-0.0174,0.0605,-0.0169,-0.0179,0.5006,5
-0.2305,-0.0799,-0.1153,-0.2444,0.0,0.0757,0.5009,5
0.3242,0.2897,-0.1563,0.2899,0.2584,0.1998,0.5011,5
-0.1244,0.0465,0.0,-0.0924,0.1227,-0.157,0.4921,5
