protected,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,accuracy,c
-0.0883,0.1122,0.1385,0.1835,-0.1151,0.1365,-0.1133,-0.1059,-0.0671,-0.1058,0.146,0.5412,10
-0.1396,0.2698,0.1549,-0.1116,-0.1041,-0.1404,-0.1129,0.1801,-0.1334,0.1683,0.2183,0.5538,10
-0.129,0.2095,0.1962,-0.1166,0.1435,-0.1135,0.1571,-0.137,-0.1364,0.1846,-0.0794,0.5484,10
0.2711,0.4466,0.2325,0.2633,-0.1998,0.2427,0.2383,0.2321,0.2475,0.2659,0.2422,0.5585,10
-0.0716,0.0459,0.1195,-0.1008,-0.0755,0.1455,0.1208,-0.0575,0.1348,-0.0694,-0.1108,0.5526,10
0.2436,0.0019,0.248,0.2459,0.2421,-0.2335,-0.2359,-0.2349,-0.2366,0.2511,-0.2367,0.5482,10
-0.0874,0.3567,-0.0837,0.1108,0.1381,0.111,-0.0872,-0.0243,0.1329,-0.0737,0.1048,0.554,10
0.1515,0.2284,-0.1441,-0.1405,-0.1369,0.1605,-0.1259,0.2509,0.1497,-0.1463,-0.1359,0.5436,10
0.1943,0.1119,-0.141,0.1972,-0.1388,-0.1141,-0.1047,-0.1462,-0.1353,0.1655,0.1646,0.5494,10
0.1219,0.1765,0.1663,-0.0745,0.1189,-0.0374,-0.0956,0.1298,-0.1135,0.1187,-0.1157,0.5412,10
0.1843,0.233,0.1883,0.1783,0.2096,0.2088,-0.1347,-0.1453,-0.1348,-0.1728,0.2116,0.5427,10
0.2322,0.389,-0.2,0.238,0.2143,0.2146,0.2232,-0.2028,0.2389,-0.1944,0.2216,0.5478,10
-0.057,0.2292,-0.1073,-0.1058,0.1285,-0.1089,0.1779,-0.0654,-0.089,0.1203,0.1348,0.5498,10
-0.2021,0.0,0.2313,0.223,-0.2064,-0.204,0.2266,-0.2119,0.2189,-0.2157,0.2185,0.5517,10
-0.1602,0.0462,-0.0629,0.1647,0.1546,-0.1445,0.1848,-0.1537,0.1753,-0.1406,-0.1557,0.5487,10
-0.1559,0.3394,-0.143,-0.149,0.2067,-0.1424,-0.1597,0.1767,-0.1439,0.1782,0.2304,0.5563,10
0.1981,0.1186,-0.1593,0.2153,-0.1743,-0.1281,-0.1599,0.2032,0.2051,0.188,-0.1537,0.5493,10
0.1379,0.4232,0.1303,-0.0996,-0.0732,0.1788,-0.0801,-0.1105,0.1386,0.1329,0.1123,0.5503,10
0.1837,0.3058,-0.1238,0.1705,-0.1465,-0.1376,0.1733,-0.1093,0.1662,-0.1418,0.2201,0.5564,10
-0.0828,0.1868,0.1201,0.1577,0.1089,-0.0396,-0.0923,-0.0887,-0.1011,-0.0706,0.1413,0.5576,10
0.1312,0.0646,-0.0391,-0.0801,-0.0885,0.1057,-0.081,-0.0895,-0.0536,0.1025,0.131,0.5526,10
-0.1316,0.0291,0.1741,-0.1284,0.1587,-0.1415,0.1591,-0.1462,-0.1367,-0.138,0.2198,0.5516,10
-0.187,0.0239,0.2108,0.2416,-0.1824,-0.1757,0.2059,-0.1772,0.2104,-0.185,-0.2019,0.5582,10
-0.187,0.0045,-0.202,0.2458,-0.1951,0.2007,0.2089,-0.2008,-0.1832,-0.19,-0.1939,0.5544,10
-0.1965,0.0016,-0.1961,-0.1971,0.2048,-0.1912,0.2212,-0.1959,-0.1997,0.2234,0.2062,0.552,10
0.2491,0.1856,0.2383,0.2435,0.2369,0.2463,0.2423,-0.2287,-0.2343,0.2381,-0.238,0.552,10
0.1315,0.2016,-0.1076,0.1357,-0.0964,0.1687,-0.0812,-0.1028,-0.0684,0.169,-0.1153,0.5394,10
-0.1705,0.1595,0.2448,-0.1486,-0.1585,0.1879,0.1838,-0.1432,0.1808,0.1963,-0.1702,0.548,10
-0.1169,0.2483,0.2181,0.206,0.169,-0.133,-0.1469,-0.1261,0.159,-0.1423,-0.1499,0.5542,10
-0.1565,0.1064,0.1848,0.205,-0.1156,0.1819,-0.1511,0.191,-0.1575,0.1971,0.1922,0.5435,10
-0.2353,0.0137,-0.2451,0.2505,0.2366,-0.241,0.2412,-0.2418,0.2495,-0.2376,0.2473,0.559,10
-0.1456,0.1397,-0.1454,-0.1321,0.2382,-0.1106,-0.1491,-0.1063,-0.1403,0.1616,-0.146,0.5585,10
0.1136,0.1973,-0.1031,-0.0686,-0.099,0.1184,-0.0873,0.1957,-0.083,0.1217,-0.1016,0.5553,10
0.1433,0.199,-0.0653,0.1569,0.1561,-0.1384,0.1555,-0.1394,-0.1074,0.1462,0.192,0.5501,10
-0.1882,0.0372,0.2044,-0.191,-0.1406,0.2264,0.2147,0.2081,-0.1676,0.2074,-0.1765,0.5521,10
0.1617,0.1572,-0.1181,0.1458,0.1498,0.1564,0.1443,-0.1197,0.1978,-0.0995,-0.0773,0.5505,10
-0.1892,0.3817,0.2004,0.2343,-0.1733,0.1821,0.2032,-0.1474,-0.1679,0.2196,0.2133,0.5468,10
0.224,0.1237,-0.2044,0.2239,0.2269,0.2252,-0.2301,0.2558,0.2506,0.2289,-0.2182,0.5501,10
0.1832,0.0588,-0.1307,0.2326,-0.1457,0.171,-0.1535,-0.1386,-0.1499,0.1656,0.1733,0.5407,10
0.203,0.185,0.2266,-0.1626,0.2007,0.1782,-0.1564,0.1957,-0.163,-0.1359,-0.1504,0.5465,10
0.1945,0.2307,-0.1436,0.1957,-0.1611,-0.153,0.2049,0.1926,0.232,-0.1631,-0.16,0.5534,10
0.2202,0.3356,0.2345,-0.2089,0.2352,-0.2108,0.2391,-0.1811,-0.2054,0.2399,0.2203,0.5576,10
-0.051,0.3325,0.1073,-0.0345,0.0765,0.0915,0.1149,-0.0278,0.0779,-0.0674,0.096,0.5477,10
-0.1428,0.1558,0.1678,0.1753,0.1931,-0.1478,0.1857,-0.1489,0.2254,-0.1264,-0.1334,0.5435,10
0.1455,0.2691,-0.1094,0.1762,-0.1201,-0.0824,0.187,-0.1361,0.1754,0.135,-0.1213,0.5541,10
-0.1528,0.207,0.1656,0.1829,0.172,0.1995,0.211,0.1777,-0.1192,-0.1375,-0.1134,0.5556,10
0.1593,0.1941,-0.1555,-0.1453,0.1638,0.16,-0.1405,-0.0762,0.1963,0.1771,0.1739,0.5472,10
-0.1643,0.0287,-0.1916,0.2024,-0.1724,0.202,0.2015,-0.1876,-0.1584,-0.1728,0.2267,0.5461,10
0.2288,0.1511,-0.2157,0.2303,0.2479,0.2258,0.2263,-0.1917,0.2224,0.2366,0.2329,0.5482,10
0.1757,0.3461,-0.1321,0.2251,0.1779,0.2028,0.1601,0.1556,-0.1333,-0.1276,0.1816,0.5424,10
0.1246,0.3545,-0.0637,-0.0889,-0.0397,-0.0776,0.0998,0.1486,0.0946,0.1335,0.105,0.5459,10
