protected,f0,f1,f2,f3,f4,accuracy,c
0.2526,0.1575,0.2512,0.2505,-0.2168,0.2362,0.6065,5
0.2271,0.0954,0.2304,0.2061,0.2201,-0.1397,0.5927,5
0.2475,0.0,-0.2491,0.2489,0.2484,-0.2522,0.6055,5
0.2527,0.0317,-0.2202,0.2526,0.2336,-0.2186,0.5978,5
0.1573,0.3279,-0.0621,-0.0937,0.1524,0.1842,0.6005,5
0.2363,0.1391,0.2535,0.2565,-0.2227,-0.2169,0.6015,5
0.2485,0.0,0.2462,0.2479,0.247,0.2477,0.5969,5
-0.2246,0.2725,0.2517,0.2523,0.2588,0.2353,0.5951,5
-0.201,0.0146,0.2192,0.2467,-0.17,-0.18,0.6069,5
0.2323,0.1727,0.2534,-0.1905,0.2356,-0.1841,0.6022,5
0.2536,0.0,-0.2549,0.2495,-0.2537,-0.2541,0.6052,5
0.2451,0.0339,-0.1572,0.1951,-0.1698,-0.1695,0.5984,5
0.2428,0.0301,-0.2088,0.2305,-0.2147,0.2464,0.6001,5
-0.2329,0.0,-0.2341,0.2518,0.2535,-0.2351,0.5928,5
0.2523,0.0925,-0.1552,0.2246,0.2083,-0.1918,0.6089,5
-0.2237,0.0,-0.2219,-0.2295,-0.2262,0.2472,0.5996,5
0.2219,0.213,0.2482,-0.1973,-0.2061,0.2535,0.6037,5
0.2497,0.2143,0.2509,0.2535,0.2485,0.2548,0.6026,5
-0.2156,0.0,-0.216,0.252,-0.2125,0.2289,0.5868,5
-0.0673,0.0791,-0.0759,-0.0445,-0.0805,0.0,0.5909,5
0.2435,0.0604,0.212,-0.1777,-0.2139,0.2431,0.6011,5
-0.2142,0.0,-0.2093,-0.2112,-0.2297,0.2493,0.6084,5
0.2147,0.2453,0.1718,-0.1229,0.2146,0.2171,0.5988,5
0.2424,0.0,0.2236,-0.1838,-0.1849,0.213,0.6038,5
-0.0953,0.1489,0.1276,0.2174,-0.0925,-0.0885,0.5873,5
0.1925,0.2553,0.2128,0.1987,-0.1092,0.2032,0.6037,5
0.2513,0.0649,0.2401,0.2421,0.2494,0.2479,0.6044,5
0.2535,0.0168,-0.2462,-0.2512,0.2505,0.251,0.5988,5
-0.1868,0.0,0.2375,-0.199,-0.1851,0.235,0.5954,5
0.2297,0.4015,-0.1264,0.2015,0.1804,0.1848,0.6032,5
0.2317,0.0,-0.2251,0.251,-0.2134,-0.2215,0.5999,5
0.247,0.0775,-0.1868,-0.1833,-0.2163,0.2164,0.6019,5
0.2518,0.066,0.2481,0.2477,0.2474,-0.2497,0.6046,5
0.2513,0.0479,0.2525,0.2551,0.2464,-0.2494,0.5927,5
0.2475,0.0,-0.2453,-0.2458,-0.2512,0.2525,0.597,5
0.2591,0.0597,-0.2175,0.2552,0.2419,-0.2265,0.6028,5
-0.1893,0.0,-0.166,-0.201,-0.2037,-0.1705,0.599,5
-0.2433,0.0,0.2477,0.2509,0.248,0.2486,0.6015,5
0.249,0.0,0.2546,0.252,0.2555,0.2561,0.5928,5
-0.2285,0.0,0.2406,-0.2197,0.2571,-0.2274,0.5969,5
-0.2391,0.2848,0.2496,0.2462,0.2548,0.2532,0.5969,5
0.2452,0.0,0.2515,0.2529,0.2528,0.2524,0.6027,5
0.2474,0.0,0.2489,0.2474,0.2509,-0.2317,0.6064,5
0.2333,0.2552,0.2562,-0.2175,0.2487,0.2498,0.6008,5
0.2546,0.0,0.2512,0.2453,-0.2531,-0.2512,0.5984,5
-0.2145,0.1224,-0.2164,0.245,-0.229,0.2494,0.602,5
-0.1238,0.0788,-0.1627,0.1983,0.206,0.2315,0.6001,5
0.25,0.0,-0.25,-0.2491,0.2552,0.2508,0.5956,5
0.2511,0.0,-0.2518,0.2528,0.2585,0.253,0.5926,5
-0.1265,0.2194,0.2206,-0.1534,0.1872,-0.0967,0.597,5
