protected,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,accuracy,c
-0.1816,0.0611,-0.1837,-0.1476,0.0988,-0.2335,-0.2171,0.1343,-0.1592,0.0759,-0.2399,0.4999,10
-0.266,0.1664,-0.1996,-0.3093,-0.2194,-0.2424,-0.2446,0.1728,-0.2908,-0.3145,-0.219,0.5094,10
-0.1593,0.0,0.0067,0.0636,-0.0412,-0.0706,0.0196,0.0031,-0.058,0.0442,0.0494,0.5042,10
-0.0844,-0.087,-0.1055,0.1259,-0.0719,0.1451,-0.0917,0.2398,0.1975,0.1214,-0.0583,0.5047,10
0.0878,-0.0347,-0.0619,0.1772,0.1457,-0.0122,0.0823,0.1028,0.1727,-0.0002,0.128,0.4958,10
-0.128,0.0531,-0.1552,0.0335,-0.1158,0.0361,0.0302,-0.1081,0.021,0.0561,-0.0988,0.5021,10
-0.1649,0.0414,0.0241,0.0064,0.0587,-0.1088,-0.093,0.0228,-0.1295,0.0604,-0.149,0.4939,10
-0.2935,0.1772,0.2277,-0.2632,0.2295,-0.2416,-0.2989,-0.2342,-0.4264,-0.2497,-0.2485,0.5101,10
-0.0413,0.0207,0.024,-0.058,0.0498,0.0228,0.025,-0.118,-0.1762,-0.0277,0.0508,0.503,10
-0.0412,-0.0773,0.1069,-0.0359,0.1819,-0.0726,0.1615,0.1411,0.1103,-0.0908,0.2742,0.5036,10
0.1267,0.0836,0.114,-0.1991,0.1096,-0.324,-0.1648,0.0673,-0.1579,-0.1784,-0.1845,0.4967,10
0.0868,-0.0402,-0.0677,-0.0026,-0.0556,0.0412,0.1136,0.0218,-0.023,-0.0254,0.1164,0.4961,10
-0.0612,-0.0327,0.0287,-0.115,-0.0061,0.1198,0.0599,0.015,0.0606,-0.0122,-0.0091,0.51,10
0.0346,-0.0048,0.2906,-0.0197,-0.0175,0.0,0.0,0.0398,0.042,-0.0038,-0.0066,0.4998,10
