protected,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,accuracy,c
0.121,-0.2261,-0.1355,-0.1624,-0.1422,-0.1362,-0.1914,0.0772,0.1245,-0.1418,0.1192,0.1067,0.1057,0.1334,-0.1493,0.1013,0.5503,15
-0.1829,-0.1549,-0.182,0.1501,-0.1908,-0.2011,0.1336,-0.1829,0.1552,-0.2028,0.1525,0.1363,-0.1708,0.1533,-0.1674,-0.1864,0.5529,15
0.1368,-0.3221,0.1423,-0.1495,-0.1694,0.0994,-0.1789,-0.1613,-0.2004,-0.1857,-0.1512,0.1348,-0.1625,0.1211,0.1451,-0.1545,0.5518,15
0.129,-0.1378,-0.1286,0.1238,-0.1648,-0.1583,0.1178,0.1216,0.0666,0.0991,0.1259,0.1023,0.1205,-0.1521,0.1056,-0.1637,0.5519,15
-0.1127,-0.4893,0.1168,-0.1235,0.1083,-0.1496,0.0904,-0.1258,0.1179,-0.1563,-0.1543,0.1113,-0.1188,-0.1462,-0.1381,0.098,0.5456,15
-0.1566,-0.2694,0.1028,-0.1476,-0.1699,0.1097,0.0981,-0.1605,0.1086,0.1062,-0.1521,-0.1496,-0.1395,0.1238,-0.142,-0.1763,0.5496,15
-0.1644,-0.1254,0.1516,0.1286,-0.1764,0.1486,0.1451,0.1238,-0.184,-0.1705,-0.1964,-0.1926,0.1551,0.1275,-0.1655,0.1541,0.5466,15
0.2033,-0.2921,-0.2276,-0.2086,-0.2194,0.1937,-0.2339,0.1876,-0.2031,0.165,-0.2312,0.1737,-0.2078,0.1785,-0.2006,0.1926,0.5559,15
-0.2132,-0.3164,-0.2213,-0.1978,-0.219,-0.1968,-0.2054,-0.21,-0.2003,-0.1969,0.1407,-0.1975,0.1768,0.1688,-0.2104,0.1858,0.5549,15
0.1552,-0.0676,-0.17,0.1664,0.1598,0.1647,0.1556,-0.1927,0.1423,0.1398,0.1624,-0.2124,-0.201,-0.1971,0.1692,0.1327,0.5462,15
-0.1777,-0.1299,-0.2081,0.1448,0.1571,0.1254,0.1651,-0.1759,0.1561,-0.2114,0.1625,0.1641,0.1665,-0.2102,-0.1808,0.1538,0.5509,15
0.0717,-0.2956,-0.1223,-0.1271,0.0911,-0.1318,-0.1248,-0.1294,0.0904,-0.1408,-0.1596,0.0871,0.1019,-0.1513,-0.1582,0.1137,0.5464,15
0.1931,-0.1667,0.1753,0.1892,-0.1888,0.19,-0.2251,0.1712,-0.2151,-0.2022,-0.1885,-0.2084,-0.214,-0.2252,0.1872,0.1943,0.5523,15
-0.1625,-0.4808,-0.1508,-0.1369,-0.1534,0.1202,0.0865,-0.1621,-0.1577,-0.1761,0.1134,-0.1517,-0.1408,-0.1334,0.1218,-0.166,0.5511,15
-0.2226,-0.4272,-0.2228,-0.2155,-0.2247,-0.1977,-0.2346,0.1885,-0.2103,-0.2079,0.1763,-0.2011,-0.2226,0.1977,0.1813,0.1867,0.5506,15
-0.1977,-0.2285,-0.2478,0.1524,0.1704,0.1721,0.1698,0.1618,0.171,-0.1796,0.1451,0.1681,-0.1818,-0.1838,-0.1847,-0.2065,0.5509,15
