protected,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,accuracy,c
0.1124,-0.2032,0.1472,-0.2328,-0.1966,-0.2995,-0.2255,-0.2395,0.1325,-0.1926,-0.2724,-0.1997,0.1593,0.1589,0.1667,-0.2084,0.5088,15
-0.0763,-0.0486,0.0873,0.0891,-0.041,-0.063,-0.0662,0.115,-0.0196,0.1211,0.1833,0.0902,0.1077,0.1028,-0.0497,-0.082,0.4971,15
-0.102,0.132,0.1903,0.1532,-0.0838,0.162,-0.1149,0.135,-0.1036,0.1515,0.3123,-0.086,-0.1059,0.133,-0.0843,0.1469,0.4974,15
-0.2124,0.1103,0.0807,0.1236,-0.1734,-0.1756,-0.1489,0.0672,-0.1801,0.123,-0.2054,-0.1414,0.0794,0.0962,-0.1792,-0.2018,0.4984,15
-0.1297,0.0725,-0.142,0.0475,-0.1272,-0.1602,0.0215,-0.1913,0.033,-0.1357,-0.0789,0.0719,0.0525,0.024,0.0391,0.0621,0.4983,15
-0.0069,0.0729,-0.0038,-0.0377,-0.0746,-0.01,0.0484,0.0306,-0.0858,0.056,-0.0379,-0.0064,0.0467,0.037,0.1019,-0.0044,0.496,15
-0.0783,-0.0693,-0.0701,-0.1286,-0.1109,0.0394,-0.0681,0.0139,0.0039,-0.1169,-0.0879,0.0036,-0.0966,0.0338,-0.1039,0.0112,0.5024,15
-0.0848,0.0199,-0.1004,0.0355,-0.0919,-0.149,0.0161,0.039,-0.0802,-0.1607,-0.0886,0.0406,0.0721,-0.1687,0.056,-0.0756,0.4937,15
0.1856,-0.1545,-0.1737,-0.1357,0.2222,0.2157,-0.1742,0.2707,0.2544,0.2715,0.3022,-0.1527,-0.1503,0.2176,-0.139,0.1866,0.4995,15
-0.0134,0.0309,0.0345,0.0305,0.0315,-0.0007,-0.001,0.0429,0.0527,-0.0052,0.0266,-0.0779,-0.1414,0.0733,-0.0105,0.0445,0.4925,15
-0.0876,0.0133,-0.0828,-0.0302,0.006,0.0294,-0.0383,0.0525,-0.0703,0.0618,-0.0315,-0.0272,0.0062,-0.0531,0.0884,-0.0537,0.5023,15
0.2664,0.2275,-0.21,-0.166,0.2452,-0.1727,-0.1945,0.376,0.267,-0.187,-0.1885,0.241,0.2386,0.3069,0.2435,0.2233,0.5044,15
0.0925,0.0913,-0.037,0.0944,0.0727,0.0904,0.2257,-0.0305,-0.0416,-0.0501,-0.0077,0.0824,0.065,-0.0288,-0.0028,0.1012,0.5048,15
0.1198,-0.1761,-0.1773,0.0913,-0.2219,-0.2339,0.1032,-0.1593,0.1455,0.1348,-0.1672,-0.1691,-0.293,0.0945,-0.1575,-0.1587,0.499,15
0.0597,0.1078,0.0958,-0.0737,0.0608,-0.0338,0.1155,-0.017,-0.0278,0.0522,-0.0162,-0.0227,0.0879,0.0406,0.057,-0.038,0.5044,15
