protected,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,accuracy,c
-0.2,0.0943,0.2353,-0.2073,0.242,0.2196,0.2439,-0.1944,0.2307,-0.1902,-0.1911,0.603,10
0.2342,0.2591,0.2157,-0.1851,-0.1563,0.2181,0.1948,0.2071,0.2191,-0.1769,-0.1914,0.596,10
0.2015,0.2264,0.1745,-0.1272,0.1686,-0.1177,0.1561,0.1914,-0.1347,-0.1297,-0.1021,0.5945,10
0.2459,0.1318,-0.235,0.2492,0.2391,-0.2407,0.2397,-0.2359,0.2553,0.2461,0.2383,0.5917,10
-0.1746,0.0288,-0.1565,0.2195,-0.1796,0.1998,-0.1683,-0.1357,0.1903,-0.1311,-0.1826,0.5979,10
0.2593,0.0988,0.252,0.2551,0.2495,-0.2468,-0.2512,0.2533,-0.2542,0.2519,0.2449,0.5997,10
-0.221,0.0975,0.2462,0.2384,-0.2222,0.2269,-0.2129,-0.2188,0.2448,0.2356,0.2253,0.6045,10
-0.1082,0.3103,0.1896,0.1657,-0.1602,0.1955,-0.1402,-0.1543,0.1623,0.1924,0.2098,0.5989,10
-0.1947,0.012,-0.2005,-0.1871,-0.2028,0.2439,0.2245,0.2226,-0.1919,-0.1806,-0.1711,0.606,10
-0.1648,0.0094,-0.1572,-0.1714,-0.1023,-0.134,-0.1497,-0.1663,0.1785,0.2021,-0.1659,0.5986,10
-0.1077,0.1411,0.161,0.2077,0.1501,-0.1185,-0.1058,0.152,-0.0925,-0.1087,-0.1284,0.6007,10
-0.1951,0.0005,-0.1842,-0.1901,-0.2039,-0.1549,0.2121,0.2269,-0.1871,-0.2012,-0.1758,0.5922,10
0.2301,0.2936,-0.2137,0.2384,-0.2306,0.2434,0.2285,0.2515,0.2447,0.2365,0.2324,0.6025,10
0.2551,0.348,0.2037,0.2168,0.2231,0.2058,-0.2014,-0.191,0.2433,0.2273,0.2091,0.5932,10
0.2105,0.3264,0.2019,0.2279,-0.1781,-0.1708,-0.1761,0.2165,0.2083,0.2101,0.2401,0.5975,10
0.2046,0.3281,0.1855,0.2377,0.1985,0.1991,-0.1479,-0.1683,-0.1523,0.1799,0.1771,0.6073,10
-0.2056,0.2028,0.2326,0.2134,0.2505,-0.1939,0.2179,-0.2005,-0.1924,0.2335,-0.2016,0.6081,10
0.2274,0.302,0.2515,0.2311,-0.2121,0.2178,0.2351,0.223,0.2308,0.2302,-0.1942,0.6008,10
0.2472,0.3096,-0.2129,0.2434,0.2402,0.2315,-0.2245,0.2382,0.241,0.2372,0.2298,0.5981,10
0.2468,0.2039,-0.1773,-0.1738,0.2023,-0.15,-0.166,-0.1741,0.2131,0.1937,0.2028,0.6031,10
-0.182,0.177,-0.19,0.2479,-0.1683,0.232,-0.1913,0.2119,-0.1973,-0.1931,0.2173,0.6032,10
0.2527,0.2195,0.23,0.2293,-0.2204,0.2318,-0.1984,0.2451,-0.2194,0.2403,0.2394,0.6093,10
-0.1784,0.1229,-0.1606,-0.1605,0.182,0.2168,-0.1596,0.1818,0.2271,-0.1466,0.215,0.6,10
-0.2217,0.1617,0.2553,-0.22,0.2202,-0.2182,0.2557,-0.2197,-0.1938,0.2243,0.2267,0.6013,10
-0.2002,0.1788,0.2506,0.2249,0.2175,-0.207,-0.211,-0.2072,0.255,0.2179,-0.2039,0.5944,10
-0.1939,0.0296,0.2282,0.2358,0.2241,-0.2193,-0.2096,-0.1909,-0.2096,-0.2012,0.2411,0.5946,10
0.2555,0.0938,-0.2469,0.251,0.2511,-0.2512,0.2463,0.254,-0.2395,-0.2428,-0.2545,0.6029,10
-0.2036,0.206,-0.1987,0.2359,-0.192,-0.1945,0.2319,-0.1959,0.2158,0.2514,-0.2046,0.6011,10
0.2423,0.1658,0.2453,-0.2294,0.2457,-0.231,0.242,0.2515,0.2359,-0.2299,0.2397,0.6019,10
0.1993,0.0909,0.1692,0.1661,0.1739,-0.1332,-0.1353,-0.1489,-0.0873,0.1829,-0.1352,0.598,10
0.214,0.0729,-0.1731,-0.133,-0.1342,0.2143,0.194,-0.1809,0.1911,0.191,-0.1679,0.6037,10
-0.1875,0.1193,0.1957,-0.1673,0.2488,0.2025,-0.1934,0.1995,-0.1698,0.2206,-0.1851,0.6004,10
0.233,0.2456,-0.2167,0.2284,0.2504,-0.2106,0.2438,-0.2082,0.2211,0.2267,-0.1996,0.597,10
0.2006,0.2776,0.198,0.2502,-0.1789,0.2106,-0.1673,-0.1682,0.2024,0.1968,-0.1669,0.6064,10
