f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,protected
0.0,-0.0082,0.0158,0.0,0.0155,-0.0143,0.0171,-0.0013,0.0303,0.0237,0.0241
0.0,-0.0134,-0.0165,0.0271,0.0304,-0.0057,-0.0109,-0.0065,-0.0128,0.0241,-0.0008
0.0,0.0,0.0113,-0.0008,0.0075,-0.0024,0.0072,0.0106,0.0,-0.0033,0.0056
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0171,-0.0023,-0.0045,0.017,-0.0015,0.0116,0.0182,-0.0052,0.0101,0.0085
0.0,0.0105,-0.0031,0.0,0.0197,0.0153,0.0111,-0.0017,-0.0034,-0.0085,-0.0038
-0.5022,0.491,-0.5046,-0.4962,-0.5025,-0.4972,-0.499,-0.5004,0.4882,-0.4989,-0.4935
0.0,0.003,0.0017,0.0018,0.0,0.0,-0.0008,0.0,0.003,0.0,0.003
0.0,0.0732,-0.0563,-0.0565,-0.0403,0.0759,-0.0531,-0.0291,-0.0435,0.1233,0.0792
0.0,-0.0306,0.0481,-0.035,-0.0132,0.0411,0.0606,0.0663,-0.0315,0.0571,-0.0136
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0297,-0.0062,-0.002,0.0247,-0.0193,0.0208,-0.0051,0.0331,-0.0038,0.025
0.0,0.0,0.016,0.0201,0.0304,0.0,0.0,0.0163,-0.0135,-0.0141,0.0176
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0243,0.0312,-0.0037,0.0264,-0.0137,0.0229,0.0383,-0.0125,-0.0013,-0.0141
-0.5024,-0.4832,-0.4806,-0.4566,0.4391,0.4369,-0.4871,-0.4639,-0.4932,0.4405,-0.4779
-0.4967,-0.4862,-0.4721,0.478,-0.4963,0.4711,0.4721,-0.5005,-0.4957,-0.4856,-0.4868
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0252,-0.023,-0.0134,0.0547,-0.0122,-0.0324,0.0771,0.0497,0.0456,0.047
0.0,0.086,0.0633,0.0623,0.0785,-0.0369,-0.0459,0.0,-0.0318,-0.0514,-0.0434
-0.5117,0.4795,-0.4933,-0.4801,-0.4955,-0.4985,-0.4831,-0.4881,-0.493,0.4741,-0.4928
0.0,0.0157,-0.001,0.0099,0.0095,0.0,-0.0065,0.0152,-0.0066,-0.006,0.0
0.0,-0.0167,0.0336,0.0431,-0.015,0.0248,0.025,-0.0051,0.0,0.0288,0.0248
0.0,-0.0041,0.0055,0.0091,0.0,0.0,0.0103,-0.0013,0.0,0.0057,0.0062
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0251,0.0349,0.0643,-0.017,-0.0019,0.043,0.0339,-0.0268,-0.0187,-0.0184
0.0,0.0085,0.0061,-0.0001,0.008,-0.0001,-0.0051,-0.0028,0.0,0.0,0.0068
0.0,-0.0017,-0.0018,0.0105,0.0054,0.0095,-0.0019,-0.0014,0.0,-0.0033,-0.0007
0.0,-0.0041,-0.0105,0.0327,0.0335,0.0404,-0.0209,-0.0161,-0.0024,0.0255,0.0392
0.0,0.0126,0.0093,-0.0021,0.0109,-0.0039,0.0,0.0,0.0128,0.0117,0.0111
0.0,0.0017,0.0011,0.0017,0.0013,0.0,0.0017,0.0,0.0,0.0,0.0
0.0,0.104,0.0912,0.1223,-0.0402,0.1237,0.1001,0.1463,-0.0668,0.1104,-0.0753
0.0,0.0957,-0.0127,0.1124,0.0816,-0.0539,0.0775,0.091,-0.0547,-0.0636,-0.0626
0.0,0.0211,-0.0088,-0.0094,0.0196,-0.0014,0.0155,0.0175,0.0245,-0.0092,-0.0012
0.0,-0.0155,-0.0187,-0.0227,0.0258,-0.0233,0.0,-0.0118,-0.0038,0.0283,0.046
0.0,-0.0016,0.0175,-0.0092,0.0208,-0.0006,0.014,-0.0036,-0.0049,0.0217,-0.0125
0.0,0.0016,0.0,0.0009,0.0016,0.0,0.0016,0.0009,0.0,0.0016,0.0
0.0,0.0221,-0.0108,0.0229,-0.0038,0.0174,-0.0082,0.0254,-0.0024,-0.0141,0.0285
0.0,-0.0163,-0.0063,0.0465,0.0361,0.037,0.0321,0.0522,0.0335,-0.0258,0.0407
0.0,-0.0208,0.0,0.0276,0.0363,0.0276,-0.0042,-0.0161,0.0537,0.0308,0.0396
0.0,0.0564,-0.0184,0.044,-0.016,-0.0129,0.042,0.0401,-0.0285,-0.0277,0.0477
0.0,0.0458,-0.0148,0.0505,-0.0103,0.0403,-0.0333,0.0542,0.0553,0.0789,0.0419
