        f0      f1      f2      f3      f4      f5      f6      f7      f8      f9  protected        max
0   0.0000  0.0082  0.0158  0.0000  0.0155  0.0143  0.0171  0.0013  0.0303  0.0237     0.0241         f8
1   0.0000  0.0134  0.0165  0.0271  0.0304  0.0057  0.0109  0.0065  0.0128  0.0241     0.0008         f4
2   0.0000  0.0000  0.0113  0.0008  0.0075  0.0024  0.0072  0.0106  0.0000  0.0033     0.0056         f2
3   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
4   0.0000  0.0171  0.0023  0.0045  0.0170  0.0015  0.0116  0.0182  0.0052  0.0101     0.0085         f7
5   0.0000  0.0105  0.0031  0.0000  0.0197  0.0153  0.0111  0.0017  0.0034  0.0085     0.0038         f4
6   0.5022  0.4910  0.5046  0.4962  0.5025  0.4972  0.4990  0.5004  0.4882  0.4989     0.4935         f2
7   0.0000  0.0030  0.0017  0.0018  0.0000  0.0000  0.0008  0.0000  0.0030  0.0000     0.0030         f1
8   0.0000  0.0732  0.0563  0.0565  0.0403  0.0759  0.0531  0.0291  0.0435  0.1233     0.0792         f9
9   0.0000  0.0306  0.0481  0.0350  0.0132  0.0411  0.0606  0.0663  0.0315  0.0571     0.0136         f7
10  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
11  0.0000  0.0297  0.0062  0.0020  0.0247  0.0193  0.0208  0.0051  0.0331  0.0038     0.0250         f8
12  0.0000  0.0000  0.0160  0.0201  0.0304  0.0000  0.0000  0.0163  0.0135  0.0141     0.0176         f4
13  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
14  0.0000  0.0243  0.0312  0.0037  0.0264  0.0137  0.0229  0.0383  0.0125  0.0013     0.0141         f7
15  0.5024  0.4832  0.4806  0.4566  0.4391  0.4369  0.4871  0.4639  0.4932  0.4405     0.4779         f0
16  0.4967  0.4862  0.4721  0.4780  0.4963  0.4711  0.4721  0.5005  0.4957  0.4856     0.4868         f7
17  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
18  0.0000  0.0252  0.0230  0.0134  0.0547  0.0122  0.0324  0.0771  0.0497  0.0456     0.0470         f7
19  0.0000  0.0860  0.0633  0.0623  0.0785  0.0369  0.0459  0.0000  0.0318  0.0514     0.0434         f1
