        f0      f1      f2  protected        max
0   0.0000  0.0669  0.0000     0.0000         f1
1   0.0000  0.0000  0.0000     0.0000         f0
2   0.0000  0.0000  0.0000     0.0000         f0
3   0.5046  0.4957  0.3767     0.4322         f0
4   0.0000  0.1229  0.0622     0.0000         f1
5   0.0000  0.0000  0.0000     0.0000         f0
6   0.0000  0.0000  0.0000     0.0000         f0
7   0.0000  0.0598  0.0000     0.0000         f1
8   0.5041  0.3125  0.3137     0.4343         f0
9   0.5023  0.3799  0.4993     0.3770         f0
10  0.0000  0.0600  0.0600     0.0000         f1
11  0.5013  0.3704  0.4408     0.3098         f0
12  0.4883  0.3784  0.4955     0.4372         f2
13  0.5037  0.2498  0.2547     0.2570         f0
14  0.0000  0.0618  0.1237     0.0000         f2
15  0.4909  0.4374  0.4946     0.4947  protected
16  0.0000  0.0594  0.0000     0.0000         f1
17  0.0000  0.0629  0.0629     0.0629         f1
18  0.4994  0.3777  0.4352     0.4943         f0
19  0.0000  0.1267  0.1908     0.1265         f2
20  0.0000  0.0000  0.0609     0.0000         f2
21  0.5020  0.5011  0.3708     0.3720         f0
22  0.0000  0.0000  0.0000     0.0000         f0
23  0.5012  0.3814  0.3788     0.5026  protected
24  0.0000  0.0000  0.0652     0.0652         f2
25  0.0000  0.0000  0.0000     0.0000         f0
26  0.0000  0.1252  0.1201     0.1848  protected
27  0.0000  0.1203  0.0627     0.1203         f1
28  0.5028  0.4350  0.4995     0.4962         f0
29  0.0000  0.0000  0.0000     0.0000         f0
..     ...     ...     ...        ...        ...
70  0.0000  0.0626  0.1912     0.0625         f2
71  0.0000  0.0000  0.0000     0.0000         f0
72  0.0000  0.2441  0.1851     0.1804         f1
73  0.0000  0.1241  0.0593     0.0000         f1
74  0.0000  0.0000  0.0000     0.0000         f0
75  0.0000  0.0628  0.0000     0.0000         f1
76  0.0000  0.2605  0.1292     0.1321         f1
77  0.4972  0.3759  0.4923     0.4413         f0
78  0.0000  0.0000  0.0000     0.0000         f0
79  0.0000  0.1247  0.1247     0.0607         f1
80  0.0000  0.0000  0.0000     0.0000         f0
81  0.0000  0.0000  0.0000     0.0000         f0
82  0.0000  0.1267  0.2447     0.1196         f2
83  0.0000  0.0000  0.0000     0.0663  protected
84  0.0000  0.2513  0.1893     0.2505         f1
85  0.0000  0.0000  0.0000     0.0000         f0
86  0.4900  0.2538  0.2424     0.2445         f0
87  0.0000  0.0000  0.1287     0.0665         f2
88  0.0000  0.1261  0.1217     0.2502  protected
89  0.0000  0.0642  0.0000     0.0000         f1
90  0.0000  0.2521  0.1879     0.2504         f1
91  0.4981  0.3066  0.2506     0.3776         f0
92  0.5038  0.2510  0.3163     0.3863         f0
93  0.0000  0.0000  0.0000     0.0000         f0
94  0.0000  0.0000  0.0000     0.0629  protected
95  0.0000  0.0000  0.0000     0.0000         f0
96  0.0000  0.0000  0.0000     0.0000         f0
97  0.5071  0.4335  0.3161     0.4365         f0
98  0.0000  0.2473  0.1892     0.1214         f1
99  0.0000  0.1209  0.0636     0.0000         f1

[100 rows x 5 columns]


Num. FP: 12
