        f0      f1      f2      f3      f4      f5    ...         f11     f12     f13     f14  protected        max
0   0.0000  0.1689  0.1321  0.1813  0.1654  0.1503    ...      0.1461  0.0903  0.1283  0.1436     0.1232         f3
1   0.0000  0.0881  0.0577  0.0805  0.0411  0.0672    ...      0.0947  0.1236  0.0976  0.0661     0.0246        f12
2   0.0000  0.0328  0.1101  0.0727  0.0641  0.0548    ...      0.0967  0.0503  0.0637  0.0440     0.0491         f2
3   0.0000  0.0792  0.1134  0.1441  0.0980  0.1198    ...      0.1022  0.0989  0.1008  0.1116     0.1109         f3
4   0.0000  0.0802  0.0653  0.0974  0.0505  0.1195    ...      0.0810  0.0467  0.0490  0.0628     0.1117         f5
5   0.4965  0.4582  0.4209  0.4156  0.4269  0.3500    ...      0.4099  0.4479  0.3862  0.3959     0.3993         f0
6   0.5005  0.4109  0.4689  0.4510  0.4217  0.4417    ...      0.4618  0.4490  0.4182  0.4295     0.4776         f0
7   0.4988  0.3844  0.3483  0.3442  0.3287  0.3944    ...      0.3382  0.3121  0.3501  0.3924     0.3245         f0
8   0.0000  0.0663  0.0791  0.0266  0.0571  0.0653    ...      0.0555  0.0171  0.0528  0.0448     0.0293         f8
9   0.4914  0.3419  0.3276  0.4009  0.3502  0.3540    ...      0.3892  0.3423  0.3563  0.3482     0.3249         f0
10  0.0000  0.0772  0.0655  0.0856  0.0902  0.0881    ...      0.1376  0.0615  0.1233  0.1446     0.0935        f14
11  0.0000  0.1677  0.1545  0.1334  0.1011  0.1330    ...      0.1209  0.1946  0.1076  0.1391     0.1471        f12
12  0.0000  0.0354  0.0880  0.0389  0.0485  0.0657    ...      0.0640  0.0615  0.1025  0.0721     0.0835        f13
13  0.0000  0.1377  0.0530  0.0627  0.0757  0.0641    ...      0.0852  0.0908  0.0864  0.1191     0.0762         f1
14  0.0000  0.0908  0.0412  0.0827  0.0785  0.0692    ...      0.0787  0.0478  0.0382  0.0345     0.0298         f1
15  0.0000  0.0502  0.0723  0.0662  0.0100  0.0511    ...      0.0068  0.0586  0.0639  0.0473     0.0673         f6
16  0.0000  0.1002  0.1382  0.0944  0.1387  0.1659    ...      0.1085  0.1040  0.1316  0.1026     0.0627         f5
