protected,f0,accuracy
0.0,-0.4975,0.5971
0.0,-0.5016,0.6001
0.0,-0.4979,0.5998
0.0,-0.4944,0.601
0.0,-0.4973,0.596
0.0,-0.4936,0.6102
0.0,-0.4997,0.6028
0.0,-0.4975,0.6036
0.2477,-0.4957,0.6004
0.0,-0.4935,0.5924
0.0,-0.4995,0.6086
0.0,-0.5029,0.5898
0.0,-0.5059,0.5949
0.2579,-0.51,0.6048
0.0,-0.496,0.6005
0.0,-0.4965,0.603
0.0,-0.5083,0.6031
0.2525,-0.5057,0.5983
0.252,-0.5055,0.6062
0.2523,-0.5011,0.6075
0.0,-0.4927,0.6023
0.0,-0.4927,0.6022
0.0,-0.4973,0.5977
0.0,-0.5056,0.599
0.2533,-0.4944,0.5951
0.0,-0.4984,0.6072
0.0,-0.5015,0.5984
0.0,-0.4986,0.6033
0.0,-0.5042,0.5853
0.0,-0.4965,0.6039
0.0,-0.4966,0.5874
0.0,-0.5011,0.6054
0.0,-0.5011,0.6085
0.0,-0.5055,0.6014
0.0,-0.4901,0.5953
0.0,-0.4976,0.6008
0.0,-0.5058,0.5933
0.247,-0.5001,0.5929
0.0,-0.4957,0.6075
0.2468,-0.4939,0.6043
0.2532,-0.5116,0.5914
0.0,-0.4937,0.6017
0.0,-0.4992,0.5991
0.0,-0.5037,0.5999
0.0,-0.501,0.6068
0.0,-0.5021,0.607
0.0,-0.5007,0.5963
0.0,-0.4974,0.6009
0.2521,-0.4991,0.5939
0.0,-0.5019,0.6045
0.0,-0.4958,0.5957
0.0,-0.4963,0.5964
0.0,-0.4951,0.5945
0.0,-0.4865,0.6005
0.0,-0.5068,0.5949
0.0,-0.5015,0.5961
0.0,-0.5007,0.6056
0.0,-0.5042,0.6093
0.0,-0.4901,0.6029
0.0,-0.4988,0.6048
0.0,-0.5076,0.6027
0.0,-0.5019,0.5948
0.0,-0.495,0.6034
0.2517,-0.492,0.6025
0.0,-0.5003,0.6072
0.0,-0.5021,0.6003
0.2524,-0.5021,0.6017
0.0,-0.4953,0.6062
0.254,-0.5065,0.5934
0.0,-0.5066,0.6021
0.0,-0.4985,0.601
0.0,-0.4929,0.5966
0.2515,-0.5081,0.609
0.0,-0.4981,0.6023
0.0,-0.498,0.5994
0.0,-0.4966,0.6047
0.2431,-0.4951,0.6
0.0,-0.5003,0.6016
0.0,-0.494,0.5957
0.0,-0.4948,0.6002
0.0,-0.4982,0.5883
0.0,-0.4952,0.6017
0.0,-0.4988,0.5972
0.2486,-0.5031,0.5979
0.0,-0.5049,0.5973
0.0,-0.5028,0.6025
0.2549,-0.5078,0.6063
0.0,-0.5025,0.5966
0.0,-0.5028,0.6066
0.2576,-0.5078,0.6085
0.2542,-0.4986,0.6045
0.0,-0.5002,0.597
0.0,-0.5031,0.603
0.2512,-0.498,0.5992
0.0,-0.4967,0.5948
0.0,-0.4967,0.5998
0.0,-0.5007,0.5883
0.0,-0.4921,0.5914
0.0,-0.4943,0.5969
0.0,-0.5077,0.5931
