p0,p1,accuracy,FP
0.1,0.2,0.85,0
0.4,0.1,0.75,0
0.5,0.1,0.7,0
0.6,0.1,0.75,0
0.9,0.1,0.9,0
0.7,0.1,0.8,0
0.8,0.1,0.85,0
0.2,0.1,0.85,0
0.3,0.1,0.8,0
0.1,0.3,0.801,0
0.4,0.2,0.7,0
0.6,0.2,0.7,0
0.5,0.2,0.651,0
0.7,0.2,0.75,0
0.8,0.2,0.8,0
0.9,0.2,0.85,0
0.2,0.3,0.749,0
0.3,0.2,0.75,0
0.1,0.4,0.749,100
0.4,0.3,0.65,0
0.5,0.3,0.601,0
0.7,0.3,0.7,0
0.6,0.3,0.65,0
0.8,0.3,0.75,0
0.9,0.3,0.799,0
0.2,0.4,0.7,53
0.3,0.4,0.65,0
0.1,0.5,0.701,100
0.4,0.5,0.55,78
0.5,0.4,0.551,0
0.7,0.4,0.65,0
0.8,0.4,0.7,0
0.6,0.4,0.6,0
0.9,0.4,0.75,0
0.3,0.5,0.599,89
0.2,0.5,0.649,99
0.1,0.6,0.75,0
0.5,0.6,0.55,0
0.4,0.6,0.6,0
0.7,0.5,0.6,92
0.8,0.5,0.649,99
0.6,0.5,0.55,69
0.9,0.5,0.701,100
0.2,0.6,0.7,0
0.3,0.6,0.65,0
0.1,0.7,0.8,0
0.5,0.7,0.599,0
0.4,0.7,0.651,0
0.7,0.6,0.65,0
0.8,0.6,0.7,52
0.6,0.7,0.65,0
0.9,0.6,0.75,100
0.3,0.7,0.7,0
0.2,0.7,0.75,0
0.1,0.8,0.85,0
0.5,0.8,0.65,0
0.4,0.8,0.699,0
0.7,0.8,0.749,0
0.8,0.7,0.75,0
0.6,0.8,0.7,0
0.9,0.7,0.8,0
0.3,0.8,0.751,0
0.2,0.8,0.801,0
0.1,0.9,0.9,0
0.4,0.9,0.751,0
0.5,0.9,0.7,0
0.8,0.9,0.85,0
0.7,0.9,0.8,0
0.6,0.9,0.75,0
0.9,0.8,0.85,0
0.3,0.9,0.8,0
0.2,0.9,0.85,0
