protected,f0,accuracy
0.0,-0.4924,0.6486
0.0,-0.5007,0.6432
0.0,-0.504,0.6548
0.0,-0.4993,0.6489
0.0,-0.4918,0.6553
0.0,-0.4973,0.6476
0.0,-0.5018,0.6428
0.0,-0.5032,0.6498
0.0,-0.4984,0.6459
0.0,-0.4991,0.6424
0.0,-0.4982,0.655
0.0,-0.5098,0.6487
0.0,-0.4961,0.6562
0.0,-0.5025,0.6546
0.0,-0.5039,0.6568
0.0,-0.4926,0.6513
0.0,-0.4969,0.6542
0.0,-0.5009,0.655
0.0,-0.5042,0.6564
0.0,-0.4994,0.6523
0.0,-0.5079,0.655
0.0,-0.5014,0.6435
0.0,-0.5042,0.6519
0.0,-0.504,0.6509
0.0,-0.5086,0.6514
0.0,-0.5067,0.6504
0.0,-0.4953,0.6493
0.0,-0.4949,0.6471
0.0,-0.5008,0.6412
0.0,-0.5062,0.6523
0.0,-0.4927,0.6532
0.0,-0.492,0.6519
0.0,-0.5017,0.6601
0.0,-0.4952,0.6503
0.0,-0.498,0.657
0.0,-0.5011,0.6519
0.0,-0.4982,0.6455
0.0,-0.5001,0.6499
0.0,-0.5017,0.6478
0.0,-0.5058,0.6439
0.0,-0.4928,0.6458
0.0,-0.4979,0.6462
0.0,-0.4983,0.6451
0.0,-0.4967,0.6572
0.0,-0.5091,0.6484
0.0,-0.493,0.652
0.0,-0.5005,0.649
0.0,-0.501,0.6494
0.0,-0.5008,0.6487
0.0,-0.4962,0.6427
0.0,-0.4925,0.6489
0.0,-0.5026,0.6458
0.0,-0.5003,0.645
0.0,-0.5044,0.6519
0.0,-0.5018,0.6514
0.0,-0.4912,0.6417
0.0,-0.4951,0.6529
0.0,-0.507,0.6543
0.0,-0.5076,0.6502
0.0,-0.5033,0.6494
0.0,-0.5006,0.6459
0.0,-0.4974,0.6543
0.0,-0.498,0.6523
0.0,-0.5079,0.6489
0.0,-0.5026,0.6503
0.0,-0.5063,0.6454
0.0,-0.506,0.6478
0.0,-0.4984,0.6477
0.0,-0.505,0.6508
0.0,-0.5059,0.6508
0.0,-0.4935,0.653
0.0,-0.4917,0.6524
0.0,-0.5066,0.6559
0.0,-0.4986,0.6526
0.0,-0.4998,0.6511
0.0,-0.4942,0.6474
0.0,-0.4956,0.646
0.0,-0.5042,0.6511
0.0,-0.5008,0.6483
0.0,-0.5069,0.6489
0.0,-0.4984,0.654
0.0,-0.4946,0.6524
0.0,-0.4939,0.6574
0.0,-0.4979,0.6357
0.0,-0.4911,0.6434
0.0,-0.5045,0.6396
0.0,-0.5011,0.6475
0.0,-0.5003,0.6501
0.0,-0.4894,0.658
0.0,-0.5017,0.6564
0.0,-0.5047,0.6399
0.0,-0.5012,0.6416
0.0,-0.4966,0.6618
0.0,-0.4932,0.6472
0.0,-0.5011,0.6451
0.0,-0.5009,0.6536
0.0,-0.4967,0.652
0.0,-0.5034,0.6464
0.0,-0.4995,0.6544
0.0,-0.503,0.649
