        f0      f1      f2      f3      f4      f5      f6  protected        max
0   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
1   0.5030  0.5075  0.5097  0.4838  0.4968  0.4782  0.4857     0.4930         f2
2   0.0000  0.0389  0.0236  0.0035  0.0000  0.0151  0.0237     0.0041         f1
3   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
4   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
5   0.0000  0.0064  0.0206  0.0235  0.0000  0.0393  0.0223     0.0000         f5
6   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
7   0.0000  0.0361  0.0855  0.0575  0.0370  0.0574  0.0751     0.0664         f2
8   0.0000  0.0289  0.0101  0.0494  0.0110  0.0091  0.0495     0.0503  protected
9   0.0000  0.0442  0.0109  0.0466  0.0356  0.0169  0.0000     0.0123         f3
10  0.0000  0.0522  0.0158  0.0348  0.0522  0.0042  0.0286     0.0243         f1
11  0.0000  0.0432  0.0206  0.0483  0.0000  0.0602  0.0376     0.0346         f5
12  0.0000  0.0000  0.0457  0.0606  0.0148  0.0584  0.0744     0.0448         f6
13  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
14  0.0000  0.0000  0.0196  0.0084  0.0399  0.0086  0.0062     0.0091         f4
15  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
16  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
17  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
18  0.0000  0.0038  0.0000  0.0000  0.0000  0.0038  0.0000     0.0038         f1
19  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
20  0.0000  0.0046  0.0046  0.0046  0.0000  0.0000  0.0046     0.0000         f1
21  0.0000  0.0000  0.0000  0.0000  0.0087  0.0000  0.0165     0.0086         f6
22  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0040     0.0000         f6
23  0.0000  0.0138  0.0000  0.0000  0.0071  0.0000  0.0138     0.0074         f1
24  0.0000  0.0221  0.0000  0.0067  0.0182  0.0034  0.0000     0.0152         f1
25  0.0000  0.0519  0.0194  0.0039  0.0195  0.0000  0.0210     0.0207         f1
26  0.0000  0.0000  0.0000  0.0086  0.0081  0.0000  0.0000     0.0172  protected
27  0.0000  0.0000  0.0000  0.0054  0.0000  0.0119  0.0159     0.0122         f6
28  0.0000  0.0000  0.0611  0.0310  0.0328  0.0298  0.0296     0.0000         f2
29  0.0000  0.0168  0.0000  0.0119  0.0000  0.0000  0.0082     0.0256  protected
..     ...     ...     ...     ...     ...     ...     ...        ...        ...
70  0.0000  0.0108  0.0246  0.0150  0.0101  0.0238  0.0607     0.0489         f6
71  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
72  0.0000  0.0000  0.0064  0.0000  0.0000  0.0026  0.0000     0.0064         f2
73  0.0000  0.0000  0.0079  0.0000  0.0000  0.0000  0.0040     0.0000         f2
74  0.0000  0.0360  0.0832  0.1114  0.0257  0.0342  0.0792     0.0484         f3
75  0.0000  0.0183  0.0040  0.0215  0.0176  0.0038  0.0000     0.0000         f3
76  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
77  0.0000  0.0029  0.0029  0.0000  0.0000  0.0000  0.0000     0.0000         f1
78  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
79  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
80  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
81  0.5057  0.4892  0.4891  0.4900  0.4876  0.4971  0.4990     0.4981         f0
82  0.5072  0.4704  0.4572  0.4856  0.4120  0.4337  0.5003     0.4420         f0
83  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
84  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
85  0.5067  0.4891  0.4824  0.4938  0.5038  0.5016  0.4716     0.4695         f0
86  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
87  0.0000  0.0152  0.0152  0.0152  0.0085  0.0000  0.0000     0.0078         f1
88  0.5043  0.5010  0.4965  0.4939  0.4987  0.4782  0.4845     0.4665         f0
89  0.0000  0.0000  0.0295  0.0111  0.0000  0.0295  0.0160     0.0163         f2
90  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
91  0.0000  0.0000  0.0116  0.0000  0.0116  0.0075  0.0000     0.0074         f2
92  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
93  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
94  0.0000  0.0000  0.0084  0.0000  0.0000  0.0038  0.0084     0.0084         f2
95  0.0000  0.0401  0.0000  0.0314  0.0396  0.0000  0.0592     0.0531         f6
96  0.0000  0.0000  0.0000  0.0036  0.0000  0.0000  0.0000     0.0000         f3
97  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
98  0.0000  0.0275  0.0407  0.0407  0.0159  0.0243  0.0119     0.0407         f2
99  0.0000  0.0543  0.0133  0.0504  0.0378  0.0572  0.0412     0.0502         f5

[100 rows x 9 columns]


Num. FP: 7
