protected,f0,accuracy
0.0,0.0,0.6972
0.0,0.0,0.6994
0.0,0.0,0.7082
0.0,0.0,0.6952
0.0,0.0,0.7047
0.0,0.0,0.7048
0.0,0.0,0.7117
0.0,0.0,0.7014
0.0,0.0,0.7051
0.0,0.0,0.6961
0.0,0.0,0.6969
0.0,0.0,0.6957
0.0,0.0,0.7017
0.0,0.0,0.6945
0.0,0.0,0.6998
0.0,0.0,0.7009
0.0,0.0,0.7003
0.0,0.0,0.6992
0.0,0.0,0.702
0.0,0.0,0.695
0.0,0.0,0.703
0.0,0.0,0.7007
0.0,0.0,0.6925
0.0,0.0,0.6933
0.0,0.0,0.7032
0.0,0.0,0.6894
0.0,0.0,0.7012
0.0,0.0,0.6956
0.0,0.0,0.7095
0.0,0.0,0.6975
0.0,0.0,0.6991
0.0,0.0,0.6976
0.0,0.0,0.705
0.0,0.0,0.7034
0.0,0.0,0.7003
0.0,0.0,0.7076
0.0,0.0,0.696
0.0,0.0,0.7038
0.0,0.0,0.7007
0.0,0.0,0.6973
0.0,0.0,0.7021
0.0,0.0,0.6955
0.0,0.0,0.6949
