protected,f0,accuracy
0.0,0.0,0.903
0.0,0.0,0.905
0.0,0.0,0.9033
0.0,0.0,0.8987
0.0,0.0,0.8999
0.0,0.0,0.8969
0.0,0.0,0.9052
0.0,0.0,0.9016
0.0,0.0,0.9027
0.0,0.0,0.9007
0.0,0.0,0.8994
0.0,0.0,0.9069
0.0,0.0,0.8981
0.0,0.0,0.9017
0.0,0.0,0.9012
0.0,0.0,0.9
0.0,0.0,0.895
0.0,0.0,0.8988
0.0,0.0,0.8992
0.0,0.0,0.8995
0.0,0.0,0.8982
0.0,0.0,0.8986
0.0,0.0,0.8999
0.0,0.0,0.8954
0.0,0.0,0.8975
0.0,0.0,0.8997
0.0,0.0,0.8967
0.0,0.0,0.9068
0.0,0.0,0.9003
0.0,0.0,0.8987
0.0,0.0,0.8995
0.0,0.0,0.9035
0.0,0.0,0.9021
0.0,0.0,0.9026
0.0,0.0,0.9028
0.0,0.0,0.9006
0.0,0.0,0.8986
0.0,0.0,0.9022
0.0,0.0,0.9035
0.0,0.0,0.8981
0.0,0.0,0.9019
0.0,0.0,0.9021
0.0,0.0,0.9005
0.0,0.0,0.9004
0.0,0.0,0.8986
0.0,0.0,0.902
0.0,0.0,0.8977
0.0,0.0,0.9012
0.0,0.0,0.9019
