protected,f0,accuracy
0.2455,0.0,0.5047
-0.2495,0.0,0.5118
0.0,0.0,0.5127
0.0,0.0,0.49
0.0,0.0,0.4985
0.0,0.0,0.5049
-0.5005,-0.2439,0.5002
0.4914,0.2444,0.5062
0.4965,0.0,0.5013
0.0,0.0,0.4901
0.0,0.0,0.4935
-0.2464,0.0,0.4938
0.0,-0.2485,0.5033
-0.4961,-0.2466,0.499
0.2465,0.0,0.4992
0.0,-0.4957,0.499
0.2543,0.2516,0.4976
0.2472,0.4979,0.5033
0.2536,0.0,0.4986
0.2462,0.5084,0.5034
0.0,0.0,0.4969
-0.5038,0.2523,0.4992
0.2495,0.0,0.4911
0.0,-0.2479,0.5033
0.0,0.0,0.5027
0.2504,0.2529,0.4938
-0.2413,-0.2413,0.5
0.0,0.0,0.4973
0.2498,0.0,0.5046
-0.501,0.2559,0.497
-0.2444,-0.4912,0.4998
0.0,0.0,0.4981
0.0,0.4961,0.4976
0.2426,0.0,0.4899
0.2492,0.0,0.5011
0.5036,0.0,0.5068
-0.5044,0.0,0.4906
0.0,0.0,0.5006
0.2518,-0.4987,0.5042
0.245,0.0,0.5024
0.0,0.0,0.5038
0.2541,0.2422,0.4992
0.0,0.0,0.4976
-0.2523,-0.2523,0.4931
0.0,0.0,0.5045
0.0,0.2545,0.4966
0.0,-0.245,0.4944
0.2517,0.2517,0.4987
0.0,0.4989,0.4905
0.0,-0.2513,0.5053
0.0,0.2599,0.5024
-0.4999,-0.4969,0.4986
0.2562,0.244,0.4944
0.0,0.0,0.4932
-0.2632,-0.2572,0.4993
0.0,0.0,0.4994
0.0,0.2415,0.5039
0.0,0.0,0.4991
0.0,0.0,0.501
0.0,0.2497,0.492
0.0,0.2512,0.5014
-0.4985,-0.4925,0.4971
0.0,0.2535,0.4945
0.0,0.0,0.4948
0.0,0.0,0.4974
0.5098,0.2541,0.5008
-0.5009,-0.253,0.4988
0.5063,0.0,0.5066
0.489,0.2377,0.4995
0.2498,0.2498,0.4972
-0.2454,-0.2454,0.4994
0.0,-0.2459,0.4985
0.2504,0.0,0.5111
0.0,-0.5051,0.4975
-0.2504,0.0,0.4988
0.0,-0.2414,0.5005
-0.2525,-0.2525,0.4997
0.0,0.0,0.493
0.2484,0.5005,0.5112
0.4976,0.2526,0.505
0.0,0.0,0.4948
0.0,-0.2473,0.5011
0.5019,0.2494,0.4925
0.2474,0.2474,0.4994
0.2584,0.2584,0.501
0.251,0.0,0.4984
0.2509,0.2509,0.5016
0.0,0.5006,0.4998
-0.4994,0.2484,0.4986
0.496,0.0,0.5076
0.2552,0.5048,0.4926
0.0,0.0,0.4946
0.2508,0.5025,0.5077
0.0,0.2473,0.495
0.0,0.0,0.4998
0.0,0.0,0.4977
0.0,-0.5034,0.5024
-0.5066,0.0,0.4958
-0.2531,-0.2531,0.5026
0.0,-0.502,0.5007
0.0,-0.2435,0.5022
0.2523,0.2523,0.4992
-0.507,0.0,0.497
0.0,0.5068,0.499
0.0,0.504,0.4995
0.4992,0.2517,0.5139
0.2472,0.2511,0.5025
0.2458,-0.4959,0.5032
0.0,0.0,0.5013
0.0,0.2557,0.5002
-0.2525,-0.5068,0.4945
0.2528,-0.4992,0.5008
0.0,0.0,0.4898
0.4819,0.4974,0.5047
-0.2444,-0.2444,0.4955
0.0,0.0,0.5112
-0.2529,-0.5031,0.4982
0.2449,0.5088,0.4985
0.4984,0.2483,0.5103
0.2561,0.248,0.5049
0.2546,-0.5,0.5033
-0.2483,0.0,0.4951
-0.2495,-0.2501,0.4993
0.0,-0.4958,0.5035
0.248,0.5006,0.5058
0.0,0.0,0.5138
0.2522,0.4978,0.4969
0.0,0.4982,0.494
0.0,0.0,0.5049
0.2484,-0.2507,0.4978
-0.5046,0.2568,0.502
0.2528,0.2528,0.4954
0.5025,0.0,0.5005
0.2484,0.2454,0.5039
0.0,0.0,0.4949
0.2601,-0.2512,0.501
-0.2525,-0.2525,0.4928
0.2423,0.4948,0.5067
0.0,0.0,0.5009
0.2494,0.505,0.5085
0.2532,0.4999,0.4947
0.0,0.0,0.4931
0.0,0.5004,0.4939
0.0,-0.2534,0.502
0.2432,0.2479,0.4966
-0.2528,0.0,0.5021
0.5047,0.2532,0.5063
0.0,-0.2554,0.4974
-0.4986,0.0,0.4965
0.5004,0.0,0.4963
0.2543,0.2549,0.4991
0.0,0.2486,0.5062
-0.2464,-0.2464,0.5043
0.2465,-0.2528,0.5022
0.0,0.0,0.5055
-0.4963,0.2462,0.4901
0.0,0.2477,0.5036
0.0,0.0,0.4989
0.2442,0.2442,0.492
-0.2512,0.0,0.5033
0.0,-0.2452,0.4956
0.2561,-0.5089,0.4964
0.2589,0.2589,0.5095
0.0,0.0,0.493
0.0,-0.2543,0.4961
0.4952,0.4942,0.5095
0.0,-0.2466,0.4982
0.0,-0.2537,0.4885
0.2496,0.0,0.4986
0.5024,0.2495,0.5011
0.2507,0.2507,0.4992
0.0,0.0,0.496
0.2424,-0.4957,0.5033
-0.4919,0.0,0.4995
0.2504,0.0,0.5047
0.2486,0.2486,0.5025
-0.4998,0.0,0.5011
0.2522,0.4976,0.5037
0.0,0.0,0.4991
0.0,0.0,0.5031
0.0,0.0,0.4941
0.0,0.4953,0.4984
0.0,0.0,0.493
0.0,0.0,0.4963
0.0,0.2535,0.4974
0.0,0.0,0.4993
0.2569,0.2569,0.4991
0.0,0.0,0.5029
0.0,0.0,0.5073
-0.4903,0.0,0.5062
0.0,0.0,0.5037
0.0,0.0,0.497
0.2533,0.2478,0.5043
0.0,0.2407,0.5007
0.0,0.4997,0.4883
0.0,0.5043,0.5022
-0.2503,-0.5029,0.5054
0.0,-0.4986,0.5048
0.4945,0.0,0.502
0.2494,-0.4996,0.5019
-0.2543,-0.5061,0.5032
0.2567,0.2567,0.4914
0.0,0.0,0.509
0.0,0.0,0.5065
0.0,0.0,0.4992
-0.4956,0.2495,0.5101
0.0,0.0,0.5014
-0.2504,0.0,0.4991
0.2535,-0.4986,0.4938
0.4997,0.2519,0.4913
-0.4985,0.243,0.4974
-0.2448,-0.4957,0.4948
0.4968,0.0,0.5104
0.5047,0.2531,0.5031
0.0,-0.2496,0.5065
-0.2527,0.0,0.4979
0.4978,0.0,0.4948
0.0,0.0,0.5017
-0.2434,-0.2434,0.5047
0.25,0.4965,0.4983
0.5078,0.253,0.4985
0.0,0.5015,0.4975
-0.2535,-0.5015,0.5036
0.0,0.5084,0.5035
-0.2537,-0.2537,0.4995
-0.2594,-0.4934,0.5008
0.0,-0.5056,0.4932
0.0,-0.498,0.5
-0.2495,-0.2495,0.4986
0.2549,-0.504,0.5003
0.2483,0.2483,0.5119
-0.2513,-0.2525,0.4976
-0.2436,0.0,0.5008
0.4959,0.0,0.5092
0.0,0.0,0.4967
0.0,0.0,0.5026
0.2508,-0.257,0.5044
0.0,-0.2536,0.4951
0.4952,-0.2494,0.4962
0.2505,0.5027,0.4996
0.253,0.2462,0.5055
0.0,0.0,0.4972
0.2547,0.0,0.4944
0.5064,0.2547,0.497
0.505,0.0,0.4991
0.0,0.0,0.4905
0.2482,0.0,0.4958
-0.2543,0.0,0.501
-0.5166,0.0,0.4963
0.2461,-0.4974,0.5041
0.0,0.2542,0.5077
0.0,-0.246,0.4972
-0.4968,0.2456,0.4996
0.0,0.0,0.5089
0.0,-0.2481,0.4999
0.0,0.0,0.5041
0.25,0.0,0.4965
0.0,0.4989,0.4972
0.0,0.0,0.5024
0.2599,0.2481,0.4989
-0.4947,-0.2514,0.5032
0.0,0.0,0.4976
0.2495,0.0,0.4981
0.4993,0.2464,0.4996
0.2543,0.2543,0.502
0.5065,0.0,0.5078
0.0,0.2581,0.5044
0.2504,-0.5001,0.4967
-0.2467,0.4977,0.4947
-0.2526,0.0,0.4918
0.0,0.5013,0.5088
0.0,0.0,0.5
-0.497,-0.2518,0.5065
0.2438,0.2466,0.496
0.0,-0.2511,0.5023
0.0,0.4984,0.5067
0.0,0.0,0.507
0.2546,0.252,0.4981
0.2476,0.0,0.5073
0.0,0.0,0.4944
0.0,0.0,0.5052
-0.2571,-0.5094,0.4995
0.5011,0.0,0.5003
0.0,-0.4995,0.5044
0.2516,-0.2479,0.4966
0.0,0.0,0.5021
-0.4989,0.0,0.4966
0.0,0.0,0.502
-0.4976,-0.2468,0.5019
0.5018,-0.2473,0.4986
-0.2587,-0.2587,0.5047
0.2578,0.2458,0.4987
-0.2463,-0.2508,0.5028
0.0,0.0,0.5041
-0.2509,0.0,0.5059
0.0,-0.5047,0.4998
0.0,0.0,0.4998
-0.245,0.0,0.4966
-0.5011,0.0,0.5012
0.0,0.0,0.5103
0.2525,0.502,0.494
-0.2491,-0.2482,0.5031
0.2535,0.0,0.5015
0.5052,0.2478,0.4944
0.0,0.0,0.4908
0.0,0.0,0.4998
-0.2484,0.0,0.4924
0.494,0.2507,0.5001
0.0,-0.2435,0.5034
0.2488,0.0,0.4916
0.0,-0.5116,0.5016
0.0,0.4983,0.4999
-0.4999,0.0,0.4969
0.2457,0.0,0.5097
-0.2564,-0.2564,0.5002
-0.5046,0.2505,0.5049
0.0,0.0,0.5003
0.0,0.0,0.489
-0.2561,0.0,0.4973
0.497,0.0,0.4903
0.0,0.0,0.4967
0.5063,0.5061,0.509
0.4936,0.0,0.498
0.0,0.0,0.4981
0.2577,0.5044,0.5024
0.2472,0.0,0.4907
0.2495,0.0,0.5054
-0.4928,0.2494,0.4938
-0.4985,-0.2505,0.5033
-0.2547,-0.2547,0.5029
0.0,0.4972,0.4936
0.0,0.0,0.5038
0.0,0.0,0.5037
0.0,0.0,0.5039
-0.2542,0.0,0.4945
0.495,0.2481,0.501
0.2485,0.0,0.4971
0.0,0.2514,0.5044
-0.4939,0.2446,0.4928
-0.2497,-0.2497,0.5076
0.2514,0.497,0.5066
0.0,0.2504,0.4995
0.2485,0.2485,0.4966
0.2497,-0.5032,0.5049
0.0,-0.4905,0.5016
0.0,0.0,0.4973
0.0,0.2487,0.5143
0.2485,-0.4994,0.5015
0.2538,0.5057,0.4981
0.0,0.0,0.5073
0.0,-0.2444,0.5013
