protected,f0,accuracy
0.0,0.0,0.5219
0.0,0.0,0.5137
0.0,0.0,0.5223
0.0,0.0,0.5158
0.0,0.0,0.519
0.0,0.0,0.5266
0.0,0.0,0.5196
0.0,0.0,0.5258
0.0,0.0,0.5172
0.2472,0.0,0.5227
0.0,0.0,0.5121
0.0,0.2506,0.5194
0.0,0.0,0.5211
0.0,0.0,0.5219
0.0,0.0,0.5237
0.0,0.0,0.5194
0.0,0.0,0.5218
0.0,0.0,0.5181
0.0,0.0,0.5179
0.0,0.0,0.52
0.0,0.0,0.5099
0.0,0.0,0.5172
0.0,0.0,0.522
0.0,0.0,0.5177
0.0,0.0,0.5147
0.0,0.0,0.5203
0.0,0.0,0.522
0.0,0.0,0.5156
0.0,0.0,0.5189
0.0,0.0,0.5171
0.0,0.0,0.5289
-0.4947,0.2523,0.4977
0.0,0.0,0.5298
0.0,0.2452,0.5244
0.0,0.0,0.52
0.0,0.0,0.5254
0.0,0.0,0.5171
0.0,0.0,0.5183
0.0,0.0,0.5176
0.0,0.0,0.5246
0.0,0.0,0.513
0.0,0.0,0.5236
0.2494,0.0,0.5205
0.0,0.0,0.524
0.0,0.0,0.5182
0.0,0.0,0.517
0.0,0.0,0.5111
0.0,0.0,0.5144
0.2547,0.2447,0.5046
0.0,0.0,0.5333
0.0,0.0,0.5174
0.2495,0.2521,0.5053
0.0,0.0,0.518
0.0,0.0,0.5292
0.0,0.0,0.5192
0.0,0.0,0.5216
0.0,0.0,0.5252
0.0,0.0,0.5182
0.0,0.0,0.5236
0.0,0.0,0.5123
0.2548,0.2579,0.5282
0.0,0.0,0.5287
0.0,0.0,0.52
0.0,0.2465,0.5273
0.0,0.0,0.5184
0.0,0.0,0.517
0.0,0.0,0.5196
0.0,0.0,0.5274
0.0,0.0,0.5193
0.0,0.0,0.5149
0.0,0.0,0.5084
0.0,0.0,0.5242
0.0,0.0,0.5254
0.0,0.0,0.5401
0.0,0.0,0.5186
0.0,0.0,0.5279
0.0,0.0,0.5252
0.0,0.0,0.5184
0.0,0.0,0.5136
0.0,0.0,0.5216
0.0,0.0,0.5125
0.0,0.0,0.5188
0.0,0.0,0.5169
0.0,0.0,0.5159
0.0,0.0,0.5127
0.0,0.0,0.52
0.0,0.0,0.5153
0.0,0.0,0.519
0.0,0.0,0.5261
0.244,0.0,0.517
0.0,0.0,0.5163
0.0,0.0,0.527
0.0,0.0,0.5276
0.0,0.0,0.5168
0.0,0.0,0.5114
0.0,0.0,0.5255
-0.2517,-0.2517,0.5199
0.0,0.0,0.5084
0.0,0.0,0.522
0.0,0.0,0.5151
