        f0      f1      f2      f3      f4  protected        max
0   0.0000  0.0957  0.0959  0.1100  0.0958     0.2233  protected
1   0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
2   0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
3   0.0000  0.0942  0.0770  0.0759  0.0144     0.0946  protected
4   0.4976  0.4780  0.4841  0.4908  0.5006     0.4445         f4
5   0.0000  0.0320  0.0159  0.0320  0.0000     0.0000         f1
6   0.0000  0.0000  0.0000  0.0181  0.0181     0.0000         f3
7   0.0000  0.0808  0.0493  0.0507  0.0808     0.0149         f1
8   0.0000  0.1085  0.0986  0.1136  0.1256     0.0155         f4
9   0.4985  0.4778  0.4955  0.5051  0.4891     0.4791         f3
10  0.4937  0.5022  0.4439  0.4554  0.4811     0.5057  protected
11  0.0000  0.0797  0.0794  0.1120  0.0938     0.0464         f3
12  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
13  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
14  0.0000  0.0000  0.0638  0.1291  0.0679     0.0663         f3
15  0.0000  0.0159  0.0454  0.1079  0.1268     0.0925         f4
16  0.0000  0.1229  0.0144  0.0603  0.1195     0.1185         f1
17  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
18  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
19  0.0000  0.0319  0.1248  0.0782  0.0313     0.1247         f2
20  0.4966  0.4353  0.4628  0.4000  0.4378     0.3428         f0
21  0.0000  0.0000  0.0000  0.0150  0.0277     0.0000         f4
22  0.5000  0.5014  0.4380  0.4986  0.4464     0.4389         f1
23  0.0000  0.0325  0.0641  0.0641  0.0641     0.0301         f2
24  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
25  0.0000  0.0601  0.1071  0.1071  0.0611     0.0588         f2
26  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
27  0.4937  0.5002  0.4988  0.5048  0.5007     0.5010         f3
28  0.0000  0.0310  0.0310  0.0159  0.0000     0.0000         f1
29  0.0000  0.0000  0.0000  0.0000  0.0156     0.0156         f4
..     ...     ...     ...     ...     ...        ...        ...
70  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
71  0.0000  0.0000  0.0780  0.0789  0.0977     0.0616         f4
72  0.5008  0.4794  0.4883  0.4911  0.4721     0.4143         f0
73  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
74  0.0000  0.0326  0.0000  0.0000  0.0326     0.0149         f1
75  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
76  0.0000  0.0312  0.1291  0.1284  0.0323     0.0845         f2
77  0.0000  0.0000  0.0000  0.0149  0.0302     0.0302         f4
78  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
79  0.0000  0.0000  0.0156  0.0000  0.0000     0.0156         f2
80  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
81  0.0000  0.0000  0.0315  0.0467  0.0296     0.0467         f3
82  0.4981  0.3149  0.3260  0.3732  0.4387     0.3732         f0
83  0.0000  0.0166  0.0000  0.0819  0.0480     0.0490         f3
84  0.0000  0.0319  0.0000  0.0622  0.0493     0.0947  protected
85  0.0000  0.0649  0.1742  0.0984  0.1740     0.1279         f2
86  0.0000  0.0419  0.0419  0.0000  0.0276     0.0122         f1
87  0.5010  0.4685  0.4497  0.4995  0.4446     0.4928         f0
88  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
89  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
90  0.5031  0.4486  0.5024  0.4647  0.4406     0.4974         f0
91  0.5030  0.4582  0.4998  0.4935  0.5014     0.4697         f0
92  0.4987  0.4502  0.4876  0.4927  0.4955     0.4677         f0
93  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
94  0.0000  0.0642  0.0000  0.0937  0.0339     0.0482         f3
95  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
96  0.0000  0.0000  0.0311  0.0474  0.0331     0.0968  protected
97  0.0000  0.0745  0.1053  0.0148  0.0744     0.0595         f2
98  0.0000  0.0161  0.0161  0.0000  0.0000     0.0161         f1
99  0.0000  0.1300  0.2382  0.1145  0.1098     0.1098         f2

[100 rows x 7 columns]


Num. FP: 7
