protected,f0
0.252,0.4976
0.2534,0.4994
0.2464,0.4996
0.2487,0.4941
0.2428,0.4934
0.2455,0.5051
0.2443,0.5001
0.2475,0.4994
0.2526,0.506
0.2523,0.4998
0.2535,0.4989
0.2485,0.4935
0.2496,0.4996
0.2424,0.4957
0.2499,0.5001
0.2529,0.4952
0.2515,0.4973
0.2509,0.4982
0.2514,0.5059
0.2552,0.5046
0.2546,0.5006
0.2546,0.5039
0.2532,0.5006
0.2495,0.4987
0.2509,0.5016
0.2402,0.4896
0.2421,0.4885
0.2454,0.4973
0.2559,0.5104
0.2462,0.497
0.2491,0.5051
0.2638,0.5083
0.2485,0.5025
0.2551,0.4903
0.2428,0.5055
0.2487,0.5015
0.2476,0.494
0.249,0.5052
0.2543,0.4999
0.2517,0.4948
0.2547,0.5132
0.2523,0.4996
0.2507,0.4959
0.2393,0.4896
0.2463,0.4981
0.2556,0.499
0.2538,0.5009
0.2544,0.5049
0.2495,0.4987
0.2502,0.5029
0.2542,0.4983
0.2518,0.4955
0.245,0.4897
0.2515,0.4907
0.2489,0.5029
0.2485,0.4986
0.2485,0.4943
0.2484,0.5068
0.2546,0.5076
0.256,0.499
0.2457,0.501
0.2493,0.4957
0.2448,0.499
0.2527,0.5047
0.2468,0.4996
0.2482,0.4991
0.2439,0.4961
0.2572,0.5041
0.2477,0.4929
0.2533,0.5026
0.2509,0.4955
0.2496,0.5029
0.2524,0.5053
0.2586,0.5109
0.2526,0.4987
0.2556,0.4958
0.245,0.4992
0.2438,0.4977
0.2549,0.5055
0.2496,0.5023
0.2478,0.4942
0.2482,0.503
0.2577,0.5065
0.2484,0.5028
0.2463,0.5016
0.2459,0.5023
0.2487,0.4965
0.2521,0.5013
0.256,0.5
0.2512,0.5
0.2492,0.4964
0.2537,0.5022
0.2471,0.498
0.251,0.502
0.2554,0.5114
0.2467,0.494
0.2484,0.5018
0.2508,0.5076
0.2492,0.4999
0.2484,0.4991
