protected,f0,accuracy
0.0,0.0,0.6515
0.0,0.0,0.6566
0.0,0.0,0.6424
0.0,0.0,0.6507
0.0,0.0,0.6487
0.0,0.0,0.6464
0.0,0.0,0.6448
0.0,0.0,0.6552
0.0,0.0,0.6535
0.0,0.0,0.65
0.0,0.0,0.6549
0.0,0.0,0.6424
0.0,0.0,0.6469
0.0,0.0,0.6519
0.0,0.0,0.6523
0.0,0.0,0.6472
0.0,0.0,0.6502
0.0,0.0,0.6515
0.0,0.0,0.6475
0.0,0.0,0.6596
0.0,0.0,0.6441
0.0,0.0,0.6518
0.0,0.0,0.6464
0.0,0.0,0.648
0.0,0.0,0.6506
0.0,0.0,0.6557
0.0,0.0,0.6455
0.0,0.0,0.649
0.0,0.0,0.6402
0.0,0.0,0.6542
0.0,0.0,0.6471
0.0,0.0,0.6554
0.0,0.0,0.647
0.0,0.0,0.6419
0.0,0.0,0.6468
0.0,0.0,0.6521
0.0,0.0,0.645
0.0,0.0,0.6411
0.0,0.0,0.6431
0.0,0.0,0.6564
0.0,0.0,0.6438
0.0,0.0,0.6525
0.0,0.0,0.6513
0.0,0.0,0.6467
0.0,0.0,0.6638
0.0,0.0,0.6565
0.0,0.0,0.6434
0.0,0.0,0.6471
0.0,0.0,0.6535
0.0,0.0,0.6509
0.0,0.0,0.6465
0.0,0.0,0.6533
0.0,0.0,0.6522
0.0,0.0,0.6393
0.0,0.0,0.6443
0.0,0.0,0.6499
0.0,0.0,0.6517
0.0,0.0,0.6473
0.0,0.0,0.6461
0.0,0.0,0.6426
0.0,0.0,0.6483
0.0,0.0,0.6483
0.0,0.0,0.6536
0.0,0.0,0.6507
0.0,0.0,0.6517
0.0,0.0,0.6393
0.0,0.0,0.6441
0.0,0.0,0.6493
0.0,0.0,0.6545
0.0,0.0,0.6526
0.0,0.0,0.6525
0.0,0.0,0.647
0.0,0.0,0.6596
0.0,0.0,0.6428
0.0,0.0,0.6455
0.0,0.0,0.6628
0.0,0.0,0.6591
0.0,0.0,0.6415
0.0,0.0,0.6456
0.0,0.0,0.6542
0.0,0.0,0.6526
0.0,0.0,0.6418
0.0,0.0,0.6567
0.0,0.0,0.6493
0.0,0.0,0.6529
0.0,0.0,0.6484
0.0,0.0,0.6496
0.0,0.0,0.6563
0.0,0.0,0.65
0.0,0.0,0.6423
0.0,0.0,0.6497
0.0,0.0,0.652
0.0,0.0,0.6517
0.0,0.0,0.6544
0.0,0.0,0.6484
0.0,0.0,0.6391
0.0,0.0,0.6481
0.0,0.0,0.6474
0.0,0.0,0.6441
0.0,0.0,0.6439
