protected,f0,accuracy
0.2504,-0.5022,0.7507
0.2543,-0.5032,0.7452
0.2506,-0.5028,0.7591
0.2555,-0.5061,0.7542
0.2448,-0.4972,0.7403
0.2423,-0.4952,0.748
0.2543,-0.5076,0.752
0.2542,-0.4996,0.7481
0.2476,-0.4955,0.7467
0.24,-0.4865,0.7464
0.2491,-0.4976,0.7553
0.2418,-0.4992,0.7474
0.2409,-0.5008,0.7574
0.2501,-0.4934,0.7476
0.2553,-0.501,0.7415
0.2507,-0.5042,0.7542
0.2421,-0.4966,0.749
0.2552,-0.514,0.7447
0.2505,-0.5045,0.7426
0.2474,-0.4974,0.7454
0.25,-0.4959,0.7458
0.2484,-0.4932,0.7474
0.2491,-0.5009,0.7499
0.249,-0.5022,0.7509
0.2478,-0.5023,0.7512
0.251,-0.4973,0.7485
0.2566,-0.4994,0.7518
0.2461,-0.4962,0.737
0.2503,-0.5004,0.7437
0.2469,-0.4996,0.7524
0.2511,-0.4967,0.7617
0.2517,-0.499,0.7543
0.2426,-0.4981,0.7516
0.2454,-0.4898,0.746
0.2525,-0.5002,0.7454
0.248,-0.4981,0.7459
0.2439,-0.4956,0.7453
0.2489,-0.5032,0.7503
0.2526,-0.5006,0.743
0.2582,-0.505,0.7521
0.2532,-0.5008,0.7474
0.2511,-0.4999,0.7544
0.2482,-0.5036,0.7471
0.2482,-0.5014,0.7504
0.2495,-0.4977,0.7493
0.2458,-0.4953,0.7453
0.2497,-0.5045,0.7516
0.2415,-0.4979,0.7555
0.2561,-0.4978,0.7487
0.2542,-0.4967,0.752
0.2481,-0.4994,0.7438
0.2539,-0.5033,0.7476
0.2422,-0.4911,0.7429
0.2479,-0.4994,0.7509
0.2482,-0.5001,0.7533
0.2508,-0.4961,0.7497
0.2455,-0.5038,0.7492
0.2502,-0.4989,0.7453
0.2484,-0.4886,0.7485
0.2422,-0.4929,0.7486
0.2519,-0.5083,0.7458
0.2522,-0.4973,0.7606
0.2542,-0.5048,0.7448
0.2486,-0.5018,0.7493
0.2532,-0.5056,0.7508
0.2534,-0.496,0.7372
0.2571,-0.5023,0.7563
0.242,-0.4944,0.7492
0.2593,-0.5043,0.7487
0.2569,-0.5053,0.757
0.2554,-0.5051,0.7547
0.2456,-0.4941,0.7488
0.2519,-0.5039,0.7523
0.2523,-0.5055,0.7524
0.253,-0.498,0.7499
0.2479,-0.4985,0.7514
0.2471,-0.5013,0.7456
0.2414,-0.4912,0.7561
0.2556,-0.5068,0.7519
0.2503,-0.5032,0.7535
0.249,-0.497,0.751
0.2507,-0.4981,0.7474
0.2552,-0.5043,0.7479
0.2523,-0.4987,0.753
0.2446,-0.5013,0.7481
0.241,-0.4901,0.7489
0.2459,-0.5019,0.7571
0.2457,-0.5053,0.7422
0.2482,-0.5008,0.7516
0.2489,-0.4977,0.7531
0.2454,-0.4958,0.7491
0.249,-0.4984,0.7427
0.2545,-0.4945,0.7544
0.2471,-0.5024,0.7467
0.2515,-0.5051,0.7447
0.2547,-0.5105,0.7521
0.2498,-0.505,0.7494
0.2559,-0.5006,0.7503
0.2461,-0.5024,0.7548
0.2497,-0.4986,0.7494
