protected,f0,accuracy
0.0,-0.5008,0.8065
0.0,-0.4949,0.7934
0.0,-0.5049,0.7948
0.0,-0.5055,0.8009
0.0,-0.5032,0.8014
0.0,-0.5013,0.8055
0.0,-0.5024,0.8032
0.0,-0.5057,0.799
0.0,-0.5024,0.7989
0.0,-0.4941,0.8027
0.0,-0.5071,0.7981
0.0,-0.4956,0.8035
0.0,-0.4936,0.8023
0.0,-0.4991,0.8026
0.0,-0.502,0.7952
0.0,-0.4952,0.8041
0.0,-0.4957,0.797
0.0,-0.5018,0.799
0.0,-0.4977,0.7997
0.0,-0.4949,0.8045
0.0,-0.5,0.7924
0.0,-0.5092,0.8026
0.0,-0.4972,0.8031
0.0,-0.5073,0.8029
0.0,-0.4951,0.803
0.0,-0.4949,0.7985
0.0,-0.5004,0.7972
0.0,-0.5022,0.8028
0.0,-0.5073,0.8008
0.0,-0.4966,0.789
0.0,-0.5064,0.7975
0.0,-0.5046,0.7978
0.0,-0.4937,0.7985
0.0,-0.5085,0.8046
0.0,-0.5027,0.7978
0.0,-0.4929,0.802
0.0,-0.4875,0.7989
0.0,-0.4958,0.7986
0.0,-0.501,0.795
0.0,-0.5018,0.7931
0.0,-0.4962,0.7987
0.0,-0.4971,0.7989
0.0,-0.5,0.8022
0.0,-0.4943,0.8021
0.0,-0.4876,0.7964
0.0,-0.5077,0.7941
0.0,-0.5016,0.806
0.0,-0.5058,0.8056
0.0,-0.5068,0.7979
0.0,-0.5056,0.805
0.0,-0.4947,0.8063
0.0,-0.5024,0.7974
0.0,-0.4935,0.8026
0.0,-0.5001,0.8016
0.0,-0.4983,0.8059
0.0,-0.5041,0.796
0.0,-0.5002,0.7987
0.0,-0.4996,0.799
0.0,-0.4993,0.7951
0.0,-0.501,0.8004
0.0,-0.5006,0.7944
0.0,-0.5068,0.8094
0.0,-0.5038,0.8076
0.0,-0.5003,0.8026
0.0,-0.4978,0.7991
0.0,-0.4965,0.7934
0.0,-0.4932,0.7957
0.0,-0.5003,0.81
0.0,-0.4965,0.7978
0.0,-0.509,0.7945
0.0,-0.498,0.8074
0.0,-0.494,0.7996
0.0,-0.496,0.7959
0.0,-0.4997,0.7966
0.0,-0.4977,0.8054
0.0,-0.4999,0.8037
0.0,-0.4929,0.8058
0.0,-0.5062,0.8074
0.0,-0.4939,0.8028
0.0,-0.509,0.806
0.0,-0.4904,0.8025
0.0,-0.4939,0.807
0.0,-0.4982,0.8025
0.0,-0.5029,0.8024
0.0,-0.5,0.7924
0.0,-0.502,0.7976
0.0,-0.4874,0.8016
0.0,-0.5159,0.8045
0.0,-0.5062,0.7986
0.0,-0.4959,0.8023
0.0,-0.4995,0.7981
0.0,-0.4988,0.8094
0.0,-0.5027,0.8055
0.0,-0.5014,0.8092
0.0,-0.506,0.7958
0.0,-0.5061,0.7995
0.0,-0.5086,0.7938
0.0,-0.4967,0.7921
0.0,-0.501,0.7973
0.0,-0.5057,0.8063
